support_variant,alpha,n_rows,accuracy,frontier_n,frontier_accuracy,micro_n,micro_accuracy,edge_n,edge_accuracy,e95_e101_n,e95_e101_accuracy,e95_prob_mean,e101_prob_mean,e176_favorable_rate,e176_prob_mean,e176_prob_min,e176_prob_max,action_grade,first_e95_e101_failure_alpha
shape_support,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.185
shape_support_drop_subject,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.22
shape_support_drop_global,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.18
shape_support_drop_top16_33,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.17
shape_support_no_q2s3_targets,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.195
shape_support_keep_hard_only,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.285
shape_support_drop_visible,0.0,264,0.7954545454545454,60,0.8333333333333334,32,0.75,28,0.7857142857142857,4,1.0,0.7626770594679848,0.23732294053201516,1.0,0.9258988753184502,0.9208640171348337,0.9333240893587452,False,0.2
