example_slice,audit_source,source_path,candidate_family,pair_delta_vs_a2c8_p90,pair_beats_a2c8_rate,selector_p90_delta_vs_a2c8_public,beats_a2c8_scenario_rate,q3s4_move_share,dominant_target,move_abs_a2c8_Q3,move_abs_a2c8_S4,bad_axis_abs_load,mean_abs_move_vs_a2c8,pair_probe_bool,old_majority
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_inverse7blend_1db30ec6.csv,direct_inverse,1.4742182022657898e-06,0.7864864864864864,0.0005794864988242,0.3088803088803089,0.797657406681829,S4,0.0006495248123583,0.0006660913283011,0.0363720280232817,0.0002356214099725,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_inverse7blend_f35be744.csv,direct_inverse,1.5419577496706148e-06,0.7783783783783784,0.0005795106870296,0.3011583011583011,0.7957390991039374,S4,0.0006494904894518,0.000666009436286,0.0363873994170112,0.0002361685644423,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_inverse7blend_a113868d.csv,direct_inverse,1.7362175093714357e-06,0.8108108108108109,0.0005795211758695,0.2818532818532818,0.7384550189739221,S4,0.0006495248123583,0.0006660913283011,0.0363970561478891,0.0002545113216333,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_inverse7blend_b32dd1a5.csv,direct_inverse,1.828094008009359e-06,0.8108108108108109,0.0005795640215656,0.277992277992278,0.7345956779162028,S4,0.0006494904894518,0.000666009436286,0.0364239176099767,0.0002558258459236,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_public6entropy_efmicro5_q3s4_g180_e6feeb2a.csv,public6entropy,1.8695967793794692e-05,0.7378378378378379,0.0005740096419455,0.1698841698841698,0.8639415205876129,Q3,0.0135559239629127,0.0119182795358549,0.0470059548989719,0.0042122896533515,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_public6entropy_siggate_q3s4_g180_5c717402.csv,public6entropy,1.9249932209202797e-05,0.727027027027027,0.0005740997842849,0.1698841698841698,0.8519211438656152,Q3,0.0135681519244062,0.0119307690435392,0.046981492903889,0.0042758687485677,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_public6entropy_compatband_q3s4_g180_854fd1ec.csv,public6entropy,2.0070008400452208e-05,0.7135135135135136,0.0005742963593271,0.1698841698841698,0.8566212468561288,Q3,0.0135546022592711,0.0119174312226684,0.046823742079858,0.0042479239678258,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_public6entropy_energyfront_q3s4_g180_21676a2d.csv,public6entropy,2.0363685555586357e-05,0.7054054054054054,0.0005740806260692,0.1737451737451737,0.8523716696318124,Q3,0.0135560840984705,0.0119209582013023,0.0464209900572372,0.0042699418586337,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_public6entropy_efmicro3_q3s4_g180_4c4fa7a4.csv,public6entropy,2.043015482573645e-05,0.7108108108108108,0.0005742366681579,0.1737451737451737,0.8541863999994587,Q3,0.0135548075589102,0.0119179240963686,0.0467535025780488,0.0042601493829919,True,False
q3s4_shape,pairwise_scored_universe,analysis_outputs/submission_directcons_bf4f6c46.csv,directcons,9.914654337772742e-05,0.7702702702702703,0.000753164428871,0.1583011583011583,0.9999999999919078,Q3,0.0786970075168039,0.0448791403867502,0.0820708495535716,0.0176537354147934,False,False
