sensor,outcome,n_scenarios,rate,delta_mean,delta_p05,delta_p50,delta_p95,best_followup_id,best_followup_label,best_followup_family,best_followup_mean_vs_e95,best_followup_p95_vs_e95,best_followup_beat_e95_rate
control_e101,strong_win,465,0.1347045191193511,-3.5496424646725885e-05,-4.159944175261567e-05,-3.489721389759082e-05,-3.062986250133545e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-6.628286763609901e-05,-5.693272975147033e-05,1.0
control_e101,edge_win,1651,0.47827346465816917,-1.929394144104479e-05,-2.8759042413971038e-05,-1.87290444857095e-05,-1.1650335980877626e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-3.5685717471367854e-05,-2.1482326805719553e-05,1.0
control_e101,small_win,1031,0.29866743916570104,-6.992317133080145e-06,-1.0456192595778214e-05,-6.947891767547603e-06,-3.4289352567582354e-06,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-1.2708898341061271e-05,-6.011339570885368e-06,1.0
control_e101,tie,305,0.08835457705677868,-1.2178799310222333e-06,-2.8469568945560315e-06,-1.3834933596238725e-06,6.278376935136552e-07,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-1.703353763894816e-06,1.946585330796956e-06,0.7508196721311475
control_e101,small_loss,0,0.0,,,,,,,,,,
control_e101,large_loss,0,0.0,,,,,,,,,,
control_e89,strong_win,1,0.00028968713789107763,-3.1765154390623074e-05,-3.1765154390623074e-05,-3.1765154390623074e-05,-3.1765154390623074e-05,,,,,,
control_e89,edge_win,53,0.015353418308227115,-1.4627680277288882e-05,-2.0204392717904063e-05,-1.4014762964554658e-05,-1.1329552956486165e-05,,,,,,
control_e89,small_win,243,0.07039397450753186,-6.087048596965402e-06,-1.0172690313511759e-05,-6.033033352664788e-06,-3.235484031874495e-06,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-4.0075717226695866e-05,-6.144381686400204e-06,1.0
control_e89,tie,1152,0.33371958285052145,6.077553491989827e-07,-2.527716491693663e-06,1.0511062920582652e-06,2.8011648229836573e-06,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-2.9077462300008594e-05,-2.045381638324823e-06,0.9756944444444444
control_e89,small_loss,1991,0.5767670915411356,7.314190056391407e-06,3.3544357504051967e-06,6.621607175436912e-06,1.3536135646033152e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-2.877315464569315e-05,-2.4612180787602273e-06,0.9763937719738824
control_e89,large_loss,12,0.0034762456546929316,2.1331375101875507e-05,2.0120521652086562e-05,2.1186067344165492e-05,2.2983458185922332e-05,,,,,,
control_e85,strong_win,0,0.0,,,,,,,,,,
control_e85,edge_win,3,0.0008690614136732329,-1.8248468144977897e-05,-2.6727019711141976e-05,-1.443507879011875e-05,-1.2439289127215219e-05,,,,,,
control_e85,small_win,40,0.011587485515643106,-5.36327745075365e-06,-9.023974501030692e-06,-4.727852394319354e-06,-3.400786778169492e-06,,,,,,
control_e85,tie,334,0.09675550405561993,1.1685857368367729e-06,-1.8054642173260605e-06,1.6237234651449774e-06,2.8517429389800034e-06,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-1.7795977662764522e-05,9.873983893984412e-07,0.9131736526946108
control_e85,small_loss,3002,0.8696407879490151,1.0539726909652788e-05,3.986410306164364e-06,1.0333274705188078e-05,1.7838796668841656e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-3.0229381870875692e-05,-3.578897075904032e-06,0.9843437708194537
control_e85,large_loss,73,0.021147161066048668,2.167222414307648e-05,2.0070238488468394e-05,2.143042496146534e-05,2.395711229843866e-05,,,,,,
control_e90,strong_win,0,0.0,,,,,,,,,,
control_e90,edge_win,0,0.0,,,,,,,,,,
control_e90,small_win,1,0.00028968713789107763,-3.383178530288295e-06,-3.383178530288295e-06,-3.383178530288295e-06,-3.383178530288295e-06,,,,,,
control_e90,tie,164,0.047508690614136734,1.8050077445291974e-06,1.5354942812707257e-08,1.942827863085365e-06,2.9176760565443817e-06,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-2.9432239368173895e-05,1.8443223369908204e-07,0.9390243902439024
control_e90,small_loss,2636,0.7636152954808807,1.0552869616646039e-05,4.1913420763972065e-06,1.013665449218138e-05,1.8064099798904792e-05,c0287,e104_amp_active_all_a0.500_079aab57,e104_amp,-2.8235306346633573e-05,-2.2729182960479626e-06,0.9783763277693475
