candidate,base,public_lb,public_delta_vs_mixmin,active_cells,active_rows,subjects_touched,max_active_cells_per_row,max_active_rows_per_subject,l1_prob,mean_abs_prob,max_abs_prob,l1_logit,mean_abs_logit,max_abs_logit,entropy_mean_delta,q_l1_share,s_l1_share,q2s3_l1_share,s123_l1_share,e95_extreme_l1_share,e95_confident_l1_share,cosine_with_e95_from_mixmin,share_Q1,share_Q2,share_Q3,share_S1,share_S2,share_S3,share_S4
e101_q2s3_rollback,e95_frontier_hardtail,,,50,48,10,2,9,0.07962413496403276,4.5499505693733e-05,0.004576725740788323,0.5396219677554555,0.00030835541014597454,0.020333589154941212,-2.437631782961201e-05,0.0946936791855175,0.9053063208144825,0.9999999999999918,0.9053063208144825,0.22918582746377889,0.4343996554513745,,1.2200385561310351e-15,0.09469367918551627,0.0,4.182989335306406e-15,2.7886595568709374e-15,0.9053063208144755,0.0
e89_diffuse_tail,e95_frontier_hardtail,,,158,135,10,3,22,0.10746796817116464,6.141026752637979e-05,0.0032263153725338167,0.6174680144547204,0.0003528388654026974,0.019782649997467816,-1.8664338982365137e-05,0.2802056001790412,0.7197943998209588,0.2993760119176753,0.7197943998209577,0.10500131457192,0.2777391898632065,,0.0,0.2802056001790381,3.0992202891290367e-15,0.36941690356020007,0.3312070845221205,0.01917041173863723,1.0330734297096789e-15
e108_win_strict_amp038,e95_frontier_hardtail,,,50,48,10,2,9,0.12093004409677074,6.910288234101185e-05,0.006958943284166519,0.8202253909882742,0.00046870022342187096,0.03090705551550954,-3.709683426198234e-05,0.09474565724879527,0.9052543427512048,0.9999999999999946,0.9052543427512048,0.22857688442999474,0.4340813446738474,,8.033116615500788e-16,0.09474565724879447,0.0,2.7542114110288414e-15,1.836140940685894e-15,0.9052543427512001,0.0
e90_row_coherent,e95_frontier_hardtail,,,162,119,10,3,19,0.15137967960069487,8.650267405753992e-05,0.005155287214494486,0.7925681560692692,0.00045289608918243953,0.02206333283619777,1.9975405163151565e-05,0.38866660628975325,0.6113333937102469,0.49801685921349054,0.6113333937102446,0.0717348877342193,0.1677420296088813,,0.0,0.3886666062897518,1.4668058851143987e-15,0.3570288794965539,0.14495426128995198,0.10935025292373875,2.200208827671598e-15
e108_win_amp050,e95_frontier_hardtail,,,50,48,10,2,9,0.15899861991715958,9.08563542383769e-05,0.009159199881746183,1.0792439355108836,0.0006167108202919335,0.04066717830988109,-4.886583683946445e-05,0.0947937227952334,0.9052062772047667,0.999999999999996,0.9052062772047667,0.22801654348976122,0.43378993781856856,,6.109770934195202e-16,0.0947937227952328,0.0,2.0947786060097837e-15,1.396519070673189e-15,0.9052062772047632,0.0
e86_structure_retention,e95_frontier_hardtail,,,134,115,10,3,19,0.19852976115684545,0.00011344557780391169,0.005565893614565165,0.9027671174722265,0.0005158669242698437,0.024134324135923313,3.097954741676835e-05,0.5832486803467724,0.4167513196532275,0.6894897606098516,0.4167513196532269,0.02171253038057365,0.0948264677444274,,2.5864039018485966e-15,0.5832486803467686,1.3980561631614036e-15,0.2354545259612355,0.07505571342890821,0.10624108026308335,5.592224652645615e-16
e85_conservative_floor,e95_frontier_hardtail,,,444,248,10,3,32,0.21894161488421576,0.00012510949421955188,0.0032263153725338167,1.4331931088533656,0.0008189674907733517,0.019782649997467816,-5.501755061564425e-06,0.13753952868829808,0.8624604713117018,0.1469493670127558,0.8624604713116967,0.18183012288616632,0.38639823196821826,,3.3594470114927098e-15,0.13753952868828942,5.324406584252596e-15,0.32419497411582276,0.5288556588714078,0.009409838324466391,5.070863413573901e-15
mixmin,e95_frontier_hardtail,0.5763066405,0.0,550,250,10,4,32,1.5095615199642691,0.0008626065828367252,0.018338323528922007,9.709487240370283,0.005548278423068733,0.08133435661976707,-3.773066906936895e-05,0.019948260553268832,0.9800517394467311,0.20999299963377785,0.9800517394467294,0.17877915481501427,0.3862574874020389,,2.5741121079186117e-15,0.019948260553264204,2.0592896863348896e-15,0.36153630389730823,0.42847069646890773,0.1900447390805136,1.6455930975622553e-15
e72_failed_sparse,e95_frontier_hardtail,0.5764077772,0.00010113670000000408,1047,250,10,7,32,2.7610016207375736,0.001577715211850042,0.009930642458388927,15.443905077191834,0.008825088615538192,0.041004057474312516,0.0005618773213408981,0.3488551773411711,0.6511448226588288,0.11407491154200701,0.5307392534067756,0.10045845980317109,0.2592479744996593,,0.12835823008281774,0.0787956385166807,0.14170130874167275,0.18505997773322863,0.31040000264822076,0.03527927302532632,0.12040556925205312
e85_conservative_floor,mixmin,,,539,250,10,3,32,1.2969832488763164,0.0007411332850721809,0.018338323528922007,8.309146566921102,0.004748083752526344,0.0755221458388422,3.2228914007804525e-05,4.7829231067306025e-15,0.9999999999999953,0.2196050105009476,0.9999999999999942,0.17770764312335444,0.3853825885272343,0.9917357662985957,2.428911734290485e-15,8.560041354327701e-16,1.4980072370073477e-15,0.36739117335116267,0.4130038161478848,0.21960501050094675,1.059305117598053e-15
e108_win_amp050,mixmin,,,550,250,10,4,32,1.3505629000471104,0.0007717502285983488,0.009179123647175824,8.630243304859407,0.004931567602776804,0.040667178309885976,-1.1135167770095504e-05,0.011136878867070465,0.9888631211329294,0.1169873182406771,0.9888631211329275,0.17298255189682643,0.38066160288807405,0.9542014680320505,2.9490852300946637e-15,0.011136878867065214,2.3017250576348595e-15,0.40409912964027583,0.47891355211903985,0.10585043937361188,1.839324934449285e-15
e108_win_strict_amp038,mixmin,,,550,250,10,4,32,1.3886314758674991,0.0007935037004957138,0.011379380244755488,8.889261849382017,0.005079578199646866,0.05042730110425753,6.338348073866097e-07,0.013434471518591524,0.9865655284814083,0.14119463012298905,0.9865655284814066,0.17444248108774166,0.382092709871597,0.9758531287222922,2.8682376642474968e-15,0.013434471518586419,2.2386245184370706e-15,0.39302097202754166,0.4657843978494625,0.12776015860440265,1.7889008428581947e-15
e101_q2s3_rollback,mixmin,,,550,250,10,4,32,1.429937385000237,0.0008171070771429926,0.013761597788133684,9.169865272614832,0.005239923012922761,0.061000767464825856,1.335435123975694e-05,0.015786162713497948,0.9842138372865018,0.16600252516997477,0.9842138372865002,0.17597232722369824,0.3835767556955797,0.9905873233105947,2.7853842711036534e-15,0.015786162713492993,2.1739584554955346e-15,0.381667965435699,0.4523295093943196,0.1502163624564818,1.7372257300611637e-15
e89_diffuse_tail,mixmin,,,539,250,10,3,32,1.4747591128691238,0.0008427194930680708,0.018338323528922007,9.437774888314934,0.0053930142218942476,0.0755221458388422,1.9066330087003805e-05,8.695030817252208e-15,0.9999999999999915,0.1931325716204065,0.9999999999999898,0.17623916328267933,0.38618579091610966,0.9932051100976325,2.6348578234097597e-15,4.178131691406905e-15,1.882041302435543e-15,0.37284131038484736,0.4340261179947401,0.19313257162040234,1.6091453135823891e-15
e95_frontier_hardtail,mixmin,0.5762913298,-1.5310700000048527e-05,550,250,10,4,32,1.5095615199642691,0.0008626065828367252,0.018338323528922007,9.709487240370283,0.005548278423068733,0.08133435661976707,3.773066906936895e-05,0.019948260553268832,0.9800517394467311,0.20999299963377785,0.9800517394467294,0.17877915481501427,0.3862574874020389,0.9999999999999998,2.5741121079186117e-15,0.019948260553264204,2.0592896863348896e-15,0.36153630389730823,0.42847069646890773,0.1900447390805136,1.6455930975622553e-15
e90_row_coherent,mixmin,,,565,250,10,4,32,1.6226979028067348,0.0009272559444609913,0.018582831838802272,10.110447689253716,0.005777398679573552,0.07991374936557993,5.7706074232520514e-05,0.05481571936416108,0.9451842806358389,0.23963065036252792,0.9451842806358376,0.162165936906231,0.36168096063954636,0.9886715247391143,2.3946420214550857e-15,0.054815719364156905,1.7788769302237777e-15,0.35814393922139987,0.40222541041606663,0.18481493099837099,1.3256054047340652e-15
e86_structure_retention,mixmin,,,579,250,10,4,32,1.7080912811211078,0.000976052160640633,0.019814870446286104,10.612254357842469,0.006064145347338554,0.08161898573728976,6.871021648613731e-05,0.08542011152352387,0.9145798884764762,0.2657244341795826,0.9145798884764749,0.16052345631732315,0.3523847480667341,0.9837328493697298,1.9743104332723357e-15,0.08542011152352022,1.6574457958335658e-15,0.34688194347960954,0.38739362234080277,0.1803043226560624,1.3893295641546065e-15
e72_failed_sparse,mixmin,0.5764077772,0.00010113670000000408,893,249,10,6,32,2.2034815192758255,0.001259132296729043,0.012234707335867012,11.697387876887898,0.006684221643935942,0.05034809722589406,0.0005996079904102672,0.4507879135240211,0.549212086475979,0.19838882402014643,0.3983417619724153,0.07913599366232085,0.2225674064127247,0.32703278772091504,0.1608351502807872,0.11239849756236078,0.1775542656808731,0.17620386565432386,0.1361475698603058,0.08599032645778565,0.15087032450356366
