candidate_id,basename,source_path,target,view_id,split,rep,delta_mode,scale,train_actual_delta,train_dominance,train_min_mode_dominance,delta_mean,delta_std,delta_p90_abs,delta_max_abs,changed_cells_vs_current,l1_logit_delta_vs_current,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,public_free_submission_ready,final_decision
Q3_family_jepa_context_subject5_cluster6_raw,submission_e289_lifeslice_Q3_family_jepa_context_subject5_cluster6_raw_s050_09f712a2.csv,analysis_outputs/submission_e289_lifeslice_Q3_family_jepa_context_subject5_cluster6_raw_s050_09f712a2.csv,Q3,family_jepa_context,subject5,cluster6,raw,0.5,-0.0034369192882864885,0.9444444444444444,0.9444444444444444,0.035864915400921,0.06627408152089166,0.08,0.08,250,9.183468435370543,promote_candidate,True,-0.0006738819934856812,-0.000862379072143505,-0.0004174271326008905,1.0,0.006809282948432277,15,1.0,0.4666666666666667,0.7333333333333333,0.0,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_centered,submission_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_centered_s050_a5007702.csv,analysis_outputs/submission_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_centered_s050_a5007702.csv,Q3,family_jepa_context,dateblock5,pc,centered,0.5,-0.006199601019677647,0.9814814814814815,0.9444444444444444,0.03275293587346175,0.03807421038271354,0.08,0.08,115,4.094116984182719,promote_candidate,True,-0.0005830799127943776,-0.0007413157483371325,-0.00039867883852789314,1.0,0.0007095790269843749,15,1.0,0.8,0.4666666666666667,0.6,False,blocked_by_matched_nulls
Q3_raw_human_context_dateblock5_cluster6_raw,submission_e289_lifeslice_Q3_raw_human_context_dateblock5_cluster6_raw_s050_e502ea53.csv,analysis_outputs/submission_e289_lifeslice_Q3_raw_human_context_dateblock5_cluster6_raw_s050_e502ea53.csv,Q3,raw_human_context,dateblock5,cluster6,raw,0.5,-0.005295264017629031,0.9629629629629629,0.8888888888888888,0.03159258388602794,0.06660299193725013,0.08,0.08,250,8.881682796173404,promote_candidate,True,-0.0007193258708823446,-0.0009366765378007978,-0.0003858934039123248,1.0,-0.0007305321824896405,15,1.0,0.5333333333333333,0.9333333333333333,0.4,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_raw,submission_e289_lifeslice_S4_family_jepa_context_dateblock5_cluster6_raw_s050_a32b1096.csv,analysis_outputs/submission_e289_lifeslice_S4_family_jepa_context_dateblock5_cluster6_raw_s050_a32b1096.csv,S4,family_jepa_context,dateblock5,cluster6,raw,0.5,-0.01113070390183557,1.0,1.0,0.04333628012501786,0.06230208190738098,0.08,0.08,250,9.237637316437759,promote_candidate,True,-0.00086503509831281,-0.0015800461317219442,-0.00026872710048951126,0.9117647058823529,0.008941904391656375,15,1.0,0.8,0.4666666666666667,0.4,False,blocked_by_matched_nulls
S4_raw_human_context_dateblock5_cluster6_raw,submission_e289_lifeslice_S4_raw_human_context_dateblock5_cluster6_raw_s050_7a8e30f1.csv,analysis_outputs/submission_e289_lifeslice_S4_raw_human_context_dateblock5_cluster6_raw_s050_7a8e30f1.csv,S4,raw_human_context,dateblock5,cluster6,raw,0.5,-0.009936445201720101,1.0,1.0,0.03739028585105328,0.06795366503235568,0.08,0.08,250,9.567982341643468,promote_candidate,True,-0.0007423959328812105,-0.0013524108996434852,-0.0002381595252949758,0.9117647058823529,0.006330300585894955,15,1.0,0.6,0.5333333333333333,0.4,False,blocked_by_matched_nulls
Q3_family_jepa_context_subject5_cluster6_raw,submission_e289_lifeslice_Q3_family_jepa_context_subject5_cluster6_raw_s025_8e4a42d3.csv,analysis_outputs/submission_e289_lifeslice_Q3_family_jepa_context_subject5_cluster6_raw_s025_8e4a42d3.csv,Q3,family_jepa_context,subject5,cluster6,raw,0.25,-0.0034369192882864885,0.9444444444444444,0.9444444444444444,0.035864915400921,0.06627408152089166,0.08,0.08,250,4.591734217685271,promote_candidate,True,-0.00031760753291257027,-0.0004048051636328865,-0.00020968349387039725,1.0,-0.011167872996957928,15,1.0,0.6666666666666666,0.4,0.2,False,blocked_by_matched_nulls
Q3_raw_human_context_dateblock5_cluster6_raw,submission_e289_lifeslice_Q3_raw_human_context_dateblock5_cluster6_raw_s025_dcf6ef83.csv,analysis_outputs/submission_e289_lifeslice_Q3_raw_human_context_dateblock5_cluster6_raw_s025_dcf6ef83.csv,Q3,raw_human_context,dateblock5,cluster6,raw,0.25,-0.005295264017629031,0.9629629629629629,0.8888888888888888,0.03159258388602794,0.06660299193725013,0.08,0.08,250,4.440841398086702,promote_candidate,True,-0.0003425611481473193,-0.00044323141823261996,-0.00019408799463822209,1.0,-0.01056401780650501,15,1.0,0.8,0.7333333333333333,0.4,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_centered,submission_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_centered_s025_78b305b4.csv,analysis_outputs/submission_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_centered_s025_78b305b4.csv,Q3,family_jepa_context,dateblock5,pc,centered,0.25,-0.006199601019677647,0.9814814814814815,0.9444444444444444,0.03275293587346175,0.03807421038271354,0.08,0.08,115,2.0470584920913595,promote_candidate,True,-0.0002830698317816711,-0.00035913092722247424,-0.00018998927965518516,1.0,-0.011404785546244578,15,1.0,0.5333333333333333,0.6,0.4,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_centered,submission_e289_lifeslice_Q3_raw_human_context_subject5_pc_centered_s050_726a66f2.csv,analysis_outputs/submission_e289_lifeslice_Q3_raw_human_context_subject5_pc_centered_s050_726a66f2.csv,Q3,raw_human_context,subject5,pc,centered,0.5,-0.014465897699500574,0.9629629629629629,0.8888888888888888,0.01533613485603313,0.0587254495172975,0.08,0.08,250,7.101319142308454,promote_candidate,True,-0.000300163189580349,-0.00039236598718778094,-0.00015555284161519015,1.0,-0.013447463561279904,15,1.0,0.0,0.13333333333333333,0.0,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_raw,submission_e289_lifeslice_S4_family_jepa_context_dateblock5_cluster6_raw_s025_7028d955.csv,analysis_outputs/submission_e289_lifeslice_S4_family_jepa_context_dateblock5_cluster6_raw_s025_7028d955.csv,S4,family_jepa_context,dateblock5,cluster6,raw,0.25,-0.01113070390183557,1.0,1.0,0.04333628012501786,0.06230208190738098,0.08,0.08,250,4.6188186582188795,promote_candidate,True,-0.000446487269755161,-0.0008192207001313595,-0.00012742421882527545,0.9411764705882353,0.004470952195828187,15,1.0,0.8666666666666667,0.4,0.6,False,blocked_by_matched_nulls
