preset,method,blocks,weighted_logloss,delta_vs_subject_mean,rate_rmse_weighted,rate_mae_weighted,count_mae_mean,rate_r2_weighted
rt,rt:local:ridge_zctx_a12:blend0p2,369,0.5712025283219294,-0.041799245254640516,0.21045163951261645,0.1521838622628848,0.7015304870167128,0.5006744038378563
rt_bc,rt_bc:local:ridge_zctx_a12:blend0p2,369,0.5774452501864854,-0.03555652339008453,0.2137198752839238,0.15549073641756056,0.7167743703150959,0.48504529982117994
rt_bc_nb_sg,rt_bc_nb_sg:local:ridge_zctx_a12:blend0p2,369,0.5779727643414876,-0.03502900923508234,0.21375284817463677,0.15680077510236773,0.7228133291304268,0.4848863922339641
rt,rt:local:ridge_zctx_a12:blend0p1,369,0.5780900821802459,-0.034911691396323996,0.2200927831088618,0.16206376060590735,0.7470744086467436,0.4538765732083784
rt_bc_nb_sg,rt_bc_nb_sg:local:ridge_zctx_a12:blend0p1,369,0.5793666414950008,-0.0336351320815691,0.22123499826153845,0.164146243445115,0.756674146612847,0.4481934327925843
rt_bc,rt_bc:local:ridge_zctx_a12:blend0p1,369,0.5795224188591308,-0.033479354717439125,0.2211794219225862,0.1632586617589642,0.7525826115230304,0.44847063610206117
rt,rt:same:ridge_zctx_a12:blend0p1,369,0.5798431813683903,-0.03315859220817963,0.22119006821522405,0.1627348492540305,0.7501679636344334,0.44841753998424705
rt_bc_nb_sg,rt_bc_nb_sg:same:ridge_zctx_a12:blend0p1,369,0.5809007503339871,-0.032101023242582793,0.2220811182697307,0.16363014391362957,0.7542950536506342,0.44396455935820467
rt_bc,rt_bc:same:ridge_zctx_a12:blend0p1,369,0.5813129257923655,-0.031688847784204444,0.2226343413159837,0.16357139633899376,0.7540242416602395,0.44119084526567354
rt,rt:local:ridge_full_a24:blend0p2,369,0.5814326076926934,-0.03156916588387648,0.21900298080089828,0.16045487996647398,0.739657861308868,0.45927150766733504
rt,rt:same:ridge_full_a24:blend0p1,369,0.5815459348226721,-0.03145583875389779,0.22264709360439172,0.16434677838777598,0.7575985637875527,0.44112682729295494
rt,rt:local:ridge_full_a24:blend0p1,369,0.582989831282623,-0.03001194229394688,0.22451461789098132,0.1660870921571332,0.7656209857975166,0.4317120495834885
rt_bc_nb_sg,rt_bc_nb_sg:local:ridge_full_a24:blend0p1,369,0.5834653032049565,-0.029536470371613444,0.22473042007912164,0.16855065818271103,0.7769774243056681,0.4306190541810512
rt_bc,rt_bc:same:ridge_full_a24:blend0p1,369,0.5836693780552015,-0.02933239552136846,0.22456753045500835,0.16599072980159496,0.7651767788414988,0.43144415508135436
rt,rt:same:ridge_full_a24:blend0p2,369,0.5842108281432297,-0.028790945433340265,0.21925157503165818,0.15750673403640475,0.7260676276312318,0.4580432296273036
rt_bc_nb_sg,rt_bc_nb_sg:same:ridge_full_a24:blend0p1,369,0.5850308912074147,-0.027970882369155237,0.22600921192604603,0.16742510693048138,0.7717889075575853,0.42412067862198255
rt_bc,rt_bc:local:ridge_full_a24:blend0p1,369,0.5850692036665381,-0.02793256991003179,0.22659496025538106,0.16849562926537107,0.7767237544184179,0.4211317963168447
rt_bc_nb_sg,rt_bc_nb_sg:local:ridge_full_a24:blend0p2,369,0.5850698794677193,-0.027931894108850663,0.2202028972167202,0.1636139528061197,0.7542204165940638,0.45332997702928846
rt,rt:local:ridge_zctx_a12:blend0p35,369,0.5862958732708949,-0.02670590030567499,0.2044592318481344,0.14521910970749383,0.669424676456496,0.5287051957462374
rt_bc_nb_sg,rt_bc_nb_sg:same:ridge_zctx_a12:blend0p05,369,0.5894997384492133,-0.023502035127356602,0.23029283155262031,0.17301471381706843,0.7975556319859983,0.4020841838001614
rt,rt:same:ridge_zctx_a12:blend0p05,369,0.589650446327328,-0.023351327249241938,0.2302497790946665,0.1734189810629276,0.7994192053876419,0.4023077195411363
rt_bc,rt_bc:same:ridge_zctx_a12:blend0p05,369,0.5897742415691569,-0.02322753200741301,0.23060064566740188,0.17333110897133147,0.7990141364776016,0.4004847425419853
rt,rt:same:ridge_zctx_a12:blend0p2,369,0.5907179558239275,-0.022283817752642432,0.22413067363512512,0.1596145466837615,0.7357841298349005,0.43365405524245204
rt_bc_nb_sg,rt_bc_nb_sg:local:ridge_zctx_a12:blend0p05,369,0.591046753546585,-0.02195502002998495,0.23196518338451774,0.17438875168008122,0.8038896114033012,0.39336870396250057
rt_bc,rt_bc:same:ridge_full_a24:blend0p2,369,0.5910599858896536,-0.021941787686916348,0.2235054516774259,0.16085655953174874,0.7415095061341586,0.43680933994682436
rt,rt:local:ridge_zctx_a12:blend0p05,369,0.5911106578041811,-0.02189111577238878,0.23189523223676725,0.17431630320730526,0.8035556416141632,0.39373451883646426
rt_bc,rt_bc:local:ridge_zctx_a12:blend0p05,369,0.5912857607899621,-0.02171601278660784,0.23203060152825555,0.17441286456183522,0.8040007659069965,0.39302649494111574
rt,rt:same:ridge_full_a24:blend0p05,369,0.5919954358957987,-0.021006337680771203,0.2324473963881411,0.17521890144748697,0.8077163993554888,0.3908439323698908
rt_bc,rt_bc:local:ridge_full_a24:blend0p2,369,0.592377515838432,-0.02062425773813792,0.22595076751557341,0.1664417603374592,0.7672559196043849,0.42441847688808687
rt_bc,rt_bc:same:ridge_full_a24:blend0p05,369,0.5926010775007776,-0.020400696075792313,0.2330249234927215,0.17569670705731366,0.8099189666788361,0.38781321503013
rt_bc_nb_sg,rt_bc_nb_sg:same:ridge_full_a24:blend0p05,369,0.5929834040369327,-0.020018369539637204,0.23355176131460573,0.17617252726540955,0.8121123817844492,0.38504194285766014
rt_bc_nb_sg,rt_bc_nb_sg:local:ridge_full_a24:blend0p05,369,0.5933140424673146,-0.01968773110925537,0.23385545223751697,0.17708430748975737,0.8163154662332722,0.38344162436311924
rt_bc,rt_bc:local:ridge_full_a24:blend0p05,369,0.5934667806067947,-0.019534992969775233,0.23418845432127175,0.17634202216101888,0.8128937119129892,0.38168445853465527
rt,rt:local:ridge_full_a24:blend0p05,369,0.5934997428016504,-0.01950203077491952,0.23399345992109843,0.1758513336992694,0.8106317577844372,0.38271369692002044
rt_bc_nb_sg,rt_bc_nb_sg:same:ridge_full_a24:blend0p2,369,0.5959142459277826,-0.017087527648787293,0.22726175407818383,0.16432142127598018,0.7574816736868354,0.41771994941596624
