name,file,combo_weighted_mean_score,combo_p50_score,combo_p90_score,combo_worst_score,combo_weighted_delta_vs_a2c8,combo_weighted_win_vs_a2c8,combo_p50_delta_vs_a2c8,combo_p90_delta_vs_a2c8,combo_worst_delta_vs_a2c8,combo_weighted_delta_vs_b01_ladder,combo_weighted_win_vs_b01_ladder,combo_p50_delta_vs_b01_ladder,combo_p90_delta_vs_b01_ladder,combo_worst_delta_vs_b01_ladder,combo_weighted_delta_vs_898_ladder,combo_weighted_win_vs_898_ladder,combo_p50_delta_vs_898_ladder,combo_p90_delta_vs_898_ladder,combo_worst_delta_vs_898_ladder,combo_weighted_delta_vs_blockorth_3a28,combo_weighted_win_vs_blockorth_3a28,combo_p50_delta_vs_blockorth_3a28,combo_p90_delta_vs_blockorth_3a28,combo_worst_delta_vs_blockorth_3a28,combo_weighted_delta_vs_direns_c4af,combo_weighted_win_vs_direns_c4af,combo_p50_delta_vs_direns_c4af,combo_p90_delta_vs_direns_c4af,combo_worst_delta_vs_direns_c4af,is_generated
a2c8,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.5777841604763623,0.5777122177976818,0.5779887158214793,0.5780511485508438,0.0,0.0,0.0,0.0,0.0,0.00017054831631649285,0.5347516392664995,-0.00029182586610065897,0.0008193013162125991,0.0011084214493830569,0.000172445381289881,0.5347516392664995,-0.00032945866481814967,0.0008853408290097664,0.001194026473594345,0.00016497593708023232,0.5384483699359119,-0.0002774682633504,0.0007852988534804565,0.0010339906911527308,0.00018178928606718631,0.5347516392664995,-0.000267016946017212,0.0008141683378308684,0.0010864807427068968,False
raw05,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5778501495454362,0.5777145197471895,0.5781311019476945,0.5781593411480357,6.598906907383482e-05,0.5347516392664995,-1.081975110306388e-05,0.00017876655865503411,0.00033379430860636106,0.00023653738539032766,0.5347516392664995,-0.00030318797901698853,0.0009807239406291728,0.0013447995411521863,0.00023843445036371582,0.5347516392664995,-0.00034139166074353966,0.0010464270024955892,0.0014304045653634745,0.00023096500615406713,0.5347516392664995,-0.00028889531984524464,0.0009458418403621775,0.0012659935740924055,0.0002477783551410211,0.5347516392664995,-0.0002786992609305712,0.0009751906960262384,0.0013228588344760261,False
b01_ladder,submission_sparseladder_b01acaa1.csv,0.5776136121600458,0.5779604798405172,0.57802857069071,0.5780775716473887,-0.00017054831631649285,0.4652483607335006,0.00029179462312848794,0.00032658324516621207,0.0003625556468298541,0.0,0.0,0.0,0.0,0.0,1.8970649733881523e-06,0.5384483699359119,-3.659144419527847e-05,6.46356809470453e-05,8.560502421128824e-05,-5.572379236260521e-06,0.45143524944512103,1.0640289640559271e-05,2.08015224096827e-05,3.0777879626686655e-05,1.1240969750693458e-05,0.3655965247436208,2.0570608059600204e-05,2.6227223444638756e-05,3.2566820505230964e-05,False
898_ladder,submission_sparseladder_89817541.csv,0.5776117150950724,0.5780006950370062,0.5780735256195991,0.5781332185336512,-0.000172445381289881,0.4652483607335006,0.0003291173046793314,0.00037328316468276945,0.00041527475233316125,-1.8970649733881523e-06,0.4615516300640882,3.658988558652432e-05,4.79508300885888e-05,5.5646886262472606e-05,0.0,0.0,0.0,0.0,0.0,-7.46944420964867e-06,0.4613856163017763,4.8156333215088054e-05,6.763556378445399e-05,8.086952790664625e-05,9.343904777305307e-06,0.4576888856323639,6.0824990210539553e-05,7.145819942379129e-05,8.288675917667021e-05,False
f1ee_noq2,submission_sparseladder_f1ee16b0.csv,0.5776225956161284,0.5779709226032204,0.5780368751569478,0.5780999209936988,-0.0001615648602339781,0.4652483607335006,0.0002964507442961839,0.00033743661379230706,0.00038458883607095373,8.983456082514745e-06,0.15413701380470887,9.856955365164908e-06,1.971422273694401e-05,9.677458368573255e-05,1.0880521055902897e-05,0.5506645907462534,-2.7868000867847798e-05,7.583258600093976e-05,0.00016080744852819961,3.411076846254223e-06,0.4014822396619139,1.7736789515624973e-05,3.2488836983136815e-05,6.405703502609938e-05,2.02244258332082e-05,0.1542966450740957,2.9547061709767064e-05,3.732710202618134e-05,6.191008901867967e-05,False
blockorth_3a28,submission_blockorth_3a28f87f.csv,0.5776191845392821,0.5779437905346294,0.5780117680659524,0.5780641363069692,-0.00016497593708023232,0.4615516300640882,0.0002774645276828081,0.00030800166383193606,0.0003452271834307741,5.572379236260521e-06,0.5444044767614382,-1.0683756549223489e-05,3.903469897155616e-05,0.00010290134350432467,7.46944420964867e-06,0.5386143836982238,-4.851029975632896e-05,9.905611405598207e-05,0.00017697686972861781,0.0,0.0,0.0,0.0,0.0,1.6813348986953983e-05,0.05554660880264712,1.16231482134083e-05,3.630710701973646e-05,0.00010127852984886943,False
target_q3stage,submission_targetabl_b19056bb.csv,0.5776378788019959,0.5777689382157053,0.5778314474175336,0.577924270420809,-0.00014628167436640352,0.4615516300640882,0.00010757368623526276,0.00012674129118247154,0.00015213343015840763,2.4266641950089326e-05,0.5347516392664995,-0.00018107779798981483,0.0003199775787939863,0.0005134316864350286,2.6163706923477472e-05,0.5347516392664995,-0.00021962739083614125,0.00038521872561721735,0.0005990367106463168,1.8694262713828808e-05,0.5347516392664995,-0.0001645722440768438,0.0002896091966470458,0.000466231245742188,3.55076117007828e-05,0.5347516392664995,-0.0001575501500231459,0.00031552462301056677,0.0004914909797588685,False
direns_c4af,submission_direns_c4af1fd8.csv,0.5776023711902951,0.5779373185432751,0.5780032043029814,0.5780553777973696,-0.00018178928606718631,0.4652483607335006,0.00026690368258641683,0.00030153634726957766,0.0003397845117167897,-1.1240969750693458e-05,0.6344034752563792,-2.0809392369285544e-05,6.804785324675036e-06,3.486449466705288e-05,-9.343904777305307e-06,0.5423111143676362,-6.095942295463237e-05,7.07023907203229e-05,0.00010754573088744834,-1.6813348986953983e-05,0.9444533911973529,-1.1718312819960436e-05,-2.0691106246320926e-06,1.6990931722915548e-05,0.0,0.0,0.0,0.0,0.0,False
direns_2a96,submission_direns_2a96ae73.csv,0.5776046853845318,0.5779115640417348,0.5779780803370789,0.5780338069935849,-0.00017947509183047417,0.4652483607335006,0.00024468768991336987,0.00027587328211934676,0.0003151161251553347,-8.926775513981316e-06,0.5623969207111592,-4.3434650013551845e-05,4.395143912351113e-05,0.00010130823254761445,-7.0297105405931665e-06,0.5347516392664995,-8.309298043904421e-05,0.00011021729555787413,0.0001869132567589027,-1.4499154750241836e-05,0.6596746979522083,-2.8581032090770074e-05,1.7329478945175494e-05,5.624280969485085e-05,2.314194236712144e-06,0.5425800419121058,-1.998586196694497e-05,3.966046792408607e-05,8.95778724316898e-05,False
direns_c0fd,submission_direns_c0fdb76b.csv,0.5776032231737488,0.5779274287392501,0.5779922243974179,0.5780439223893545,-0.00018093730261347285,0.4652483607335006,0.00025813302057331455,0.00029084250146731296,0.00032914115903093233,-1.0388986296979977e-05,0.5732726205406138,-2.9094419129998415e-05,2.173112299170514e-05,5.851617694085931e-05,-8.491921323591824e-06,0.5384483699359119,-6.975447058152539e-05,8.674391092743698e-05,0.00013195742808047584,-1.59613655332405e-05,0.9184875637613418,-1.632304710375429e-05,-1.280650033170007e-06,3.132711143516431e-05,8.519834537134828e-07,0.5384483699359119,-8.822649575357389e-06,1.5934128884583036e-05,2.4411697193027493e-05,False
