target,n_selected,inner_delta_mean,holdout_delta_mean,holdout_delta_median,holdout_win_rate,mean_weight,top_features
Q1,8,-0.01394039471222934,0.003807454748285033,0.0034743965968899726,0.375,0.45,deep__phone_activity_m_activity_afternoon_count|subject_rank:2; deep__phone_screen_m_screen_use_afternoon_count|subject_z:2; deep__ambience_afternoon_hour_sum|subject_rank:1; deep__phone_activity_m_activity_afternoon_count|subject_z:1; deep__watch_light_w_light_all_log_mean|subject_z:1
Q2,8,-0.010547451680269562,0.008381958810525822,0.007609159466097137,0.0,0.45,deep__phone_activity_all_transitions|global_z:1; deep__phone_charge_m_charging_morning_mean|subject_z:1; deep__phone_light_m_light_all_q90|subject_z:1; deep__phone_screen_m_screen_use_afternoon_mean|global_z:1; deep__phone_screen_m_screen_use_afternoon_mean|subject_rank:1
Q3,8,-0.013577540320022799,0.008577539363336564,0.006707831203361991,0.0,0.45,deep__ble_morning_unique_max|subject_rank:3; deep__ble_morning_unique_max|subject_center:1; deep__phone_charge_m_charging_morning_max|subject_center:1; deep__phone_charge_m_charging_morning_std|subject_center:1; deep__phone_light_m_light_all_max|subject_z:1
S4,8,-0.01138587464650831,0.008746907002841725,0.007554517523575166,0.125,0.45,deep__ambience_afternoon_top_is_silence_max|subject_center:1; deep__ambience_early_top_is_vehicle_max|subject_z:1; deep__hr_morning_mean|subject_rank:1; deep__phone_activity_m_activity_late_sum|subject_z:1; deep__phone_charge_m_charging_afternoon_mean|subject_center:1
S3,8,-0.008403138183124992,0.009303969309095723,0.007711242214289482,0.125,0.45,deep__phone_light_m_light_late_std|subject_center:2; deep__gps_morning_lon_std_mean|subject_rank:1; deep__hr_morning_rows|subject_z:1; deep__phone_activity_m_activity_all_max|subject_z:1; deep__phone_charge_m_charging_late_q10|subject_center:1
S1,8,-0.009032460903124526,0.009876089452231361,0.008858841628916536,0.0,0.45,deep__ambience_afternoon_hour_sum|subject_rank:3; deep__watch_light_w_light_early_median|subject_rank:2; deep__ambience_afternoon_hour_count|global_z:1; deep__phone_activity_m_activity_afternoon_count|subject_rank:1; deep__watch_light_w_light_all_median|subject_z:1
S2,8,-0.00882179003883704,0.012463361698981233,0.01150427719758304,0.0,0.45,deep__ambience_early_top_is_water_max|subject_center:1; deep__usage_all_time_sum_max|global_z:1; deep__usage_all_usage_kw_home_time_max|subject_rank:1; deep__usage_all_usage_kw_search_time_sum|subject_center:1; deep__watch_light_w_light_all_median|subject_center:1
