model,known_rows,feature_count,loo_spearman,loo_mae,pred_std
extratrees,13,129,0.8956043956043955,0.0002556169767387924,0.00060781637476915
ridge_1,13,129,0.7692307692307693,0.0009750813670083662,0.0028016209170519286
ridge_10,13,129,0.6868131868131868,0.0009450497336324197,0.002596755354286263
knn3,13,129,0.6428571428571429,0.0003674952497540931,0.0005855589417610551
