contrast,prior,n_cells,n_rows,expected_delta,expected_delta_minus_focus,support_mean,support_swing_weighted,hard_support_rate,flank_conflict_rate,between_train_runs_rate,e72_active_rate
e176_vs_e174_q2_damping,global,21,21,9.833196570430382e-07,9.009709781246093e-07,0.5088888888888887,0.4959941534829465,0.5714285714285714,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,subject,21,21,4.2223347339458137e-08,-4.012533157897068e-08,0.6727455904645394,0.6519121794864358,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,nearest_beta,21,21,-4.795840873688017e-07,-5.619327662872305e-07,0.7500843618969946,0.7383636768887392,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,both_distance_beta,21,21,-3.228756878269557e-07,-4.052243667453845e-07,0.7362782602668362,0.7124006972629593,0.9523809523809523,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,edge_endpoint_beta,21,21,-4.795840873688017e-07,-5.619327662872305e-07,0.7500843618969946,0.7383636768887392,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,nearest_hard085,21,21,-7.784969676272093e-07,-8.608456465456382e-07,0.7833333333333333,0.7878866701853421,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,conflict_flat,21,21,-2.9959239010603506e-07,-3.819410690244639e-07,0.7275336715222475,0.7085431900322265,0.9523809523809523,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,focus_mean,21,21,8.234867891842881e-08,0.0,0.6549892708955873,0.6452643343849082,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,flank_mean,21,21,-3.9540906316764837e-07,-4.777577420860772e-07,0.7409951638957682,0.724417810268166,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
e176_vs_e174_q2_damping,visible_mean,21,21,-1.906557451307581e-07,-2.730044240491869e-07,0.7041354954671191,0.690494892032484,0.9047619047619048,0.047619047619047616,0.7142857142857143,0.0
