basename,source_path,family,tag,nonzero_rows,pos_rows,neg_rows,mean_abs_s4_delta,max_abs_s4_delta,active_latent_mean,inactive_latent_mean,active_current_logit_mean,active_mismatch_mean,active_overconf_mean,active_underconf_mean,delta_latent_alignment,delta_current_alignment,active_minus_inactive_latent,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,selection_score,actual_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,worst_mode_mean_dominance,public_free_ready,decision,dateblock_p90_dominance,dateblock_mean_dominance,dateblock_null_strict_rate,row_p90_dominance,row_mean_dominance,row_null_strict_rate,sign_p90_dominance,sign_mean_dominance,sign_null_strict_rate,subject_p90_dominance,subject_mean_dominance,subject_null_strict_rate
submission_e307_s4latentcensor_up_underconf_top64_a0_0520_170cc538.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top64_a0_0520_170cc538.csv,up_underconf,up_underconf_top64_a0.0520,64,64,0,0.013312000000000001,0.052,0.7134825226104571,-0.2454993626186519,-0.4382489048681708,1.491403393067873,-1.4742205716963865,1.5085862144393594,0.41852061423592307,-0.4563194054699186,0.958981885229109,promote_candidate,True,False,-0.0005249940296396944,-0.000966566635541282,-0.00013971561248621268,0.9411764705882353,0.002365534282108339,-0.00039544015380945307,True,-0.0005249940296396944,-0.000966566635541282,-0.00013971561248621268,0.9411764705882353,128,0.75,0.421875,0.546875,0.09375,0.3125,False,do_not_submit,0.09375,0.34375,1.0,0.34375,0.3125,1.0,1.0,1.0,0.0,0.25,0.53125,1.0
submission_e307_s4latentcensor_up_underconf_top64_a0_0700_c4504a0a.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top64_a0_0700_c4504a0a.csv,up_underconf,up_underconf_top64_a0.0700,64,64,0,0.017920000000000002,0.07,0.7134825226104571,-0.2454993626186519,-0.4382489048681708,1.491403393067873,-1.4742205716963865,1.5085862144393594,0.4185206142359231,-0.45631940546991934,0.958981885229109,promote_candidate,True,False,-0.0006900688502730003,-0.001265852767551557,-0.0001978433672527529,0.9411764705882353,0.0031843730720689245,-0.0005278515778609812,True,-0.0006900688502730003,-0.001265852767551557,-0.0001978433672527529,0.9411764705882353,128,0.75,0.4765625,0.515625,0.21875,0.28125,False,do_not_submit,0.21875,0.40625,1.0,0.4375,0.28125,1.0,1.0,1.0,0.0,0.25,0.375,1.0
submission_e307_s4latentcensor_up_underconf_top50_a0_0520_53596ba2.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top50_a0_0520_53596ba2.csv,up_underconf,up_underconf_top50_a0.0520,50,50,0,0.0104,0.052,0.7715209906459208,-0.19288024766148015,-0.5360739319403663,1.6493534930545206,-1.6154939031762745,1.6832130829327665,0.38576049532296103,-0.4389162512043,0.964401238307401,promote_candidate,True,False,-0.0003969510827438122,-0.0007295190473916383,-0.00010964675626051955,0.9411764705882353,0.0026510476412225092,-0.0003091574409378232,True,-0.0003969510827438122,-0.0007295190473916383,-0.00010964675626051955,0.9411764705882353,128,0.75,0.4453125,0.5078125,0.15625,0.09375,False,do_not_submit,0.15625,0.5625,1.0,0.21875,0.09375,1.0,1.0,1.0,0.0,0.40625,0.375,1.0
submission_e307_s4latentcensor_up_underconf_top40_a0_0700_d4798834.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top40_a0_0700_d4798834.csv,up_underconf,up_underconf_top40_a0.0700,40,40,0,0.011200000000000002,0.07,0.7288457398010375,-0.13882775996210242,-0.7052590698076776,1.7794720939683917,-1.7377016796877556,1.8212425082490271,0.31809435929374613,-0.45853093286546387,0.8676734997631399,promote_candidate,True,False,-0.00040828758872959764,-0.0007460550787509953,-0.0001259487077721442,0.9117647058823529,0.0022691254678175454,-0.0003320581529688017,True,-0.00040828758872959764,-0.0007460550787509953,-0.0001259487077721442,0.9117647058823529,128,0.75,0.640625,0.4765625,0.4375,0.15625,False,do_not_submit,0.4375,0.40625,1.0,0.625,0.15625,1.0,1.0,1.0,0.0,0.5,0.34375,1.0
submission_e307_s4latentcensor_up_underconf_top50_a0_0700_f2b169c1.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top50_a0_0700_f2b169c1.csv,up_underconf,up_underconf_top50_a0.0700,50,50,0,0.014000000000000002,0.07,0.7715209906459208,-0.19288024766148015,-0.5360739319403663,1.6493534930545206,-1.6154939031762745,1.6832130829327665,0.38576049532296014,-0.43891625120429933,0.964401238307401,promote_candidate,True,False,-0.0005207324382028358,-0.0009531417740182329,-0.00015567592906933546,0.9117647058823529,0.0035687179785687806,-0.0004108882237031998,True,-0.0005207324382028358,-0.0009531417740182329,-0.00015567592906933546,0.9117647058823529,128,0.75,0.5546875,0.4609375,0.21875,0.125,False,do_not_submit,0.21875,0.53125,1.0,0.375,0.125,1.0,1.0,1.0,0.0,0.625,0.1875,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_12_cap0_0900_0e6969eb.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_12_cap0_0900_0e6969eb.csv,control_sharpen,control_sharpen_overconf_top50_s0.12_cap0.0900,50,47,3,0.015989840804973347,0.09,-0.5378087662275248,0.1344521915568812,1.354301136800357,1.590672975799686,1.772679795475942,-1.4086661561234295,-0.12746866264674428,0.5931368103333061,-0.6722609577844061,promote_candidate,True,False,-0.000370532605983074,-0.0006771785069384864,-0.00011626533079879158,0.9117647058823529,0.003429967221217023,-0.0003048431013525048,True,-0.000370532605983074,-0.0006771785069384864,-0.00011626533079879158,0.9117647058823529,128,0.75,0.4921875,0.28125,0.0,0.0,False,do_not_submit,0.65625,0.125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3125,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_30_cap0_0900_8c836b44.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_30_cap0_0900_8c836b44.csv,control_sharpen,control_sharpen_overconf_top64_s0.30_cap0.0900,64,60,4,0.021990093472321354,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14099191042561518,0.5828139207942735,-0.6744013911361292,promote_candidate,True,False,-0.0005485447800946119,-0.00100085011253119,-0.00017371951089441062,0.9117647058823529,0.0053404217795786635,-0.00044061048509105367,True,-0.0005485447800946119,-0.00100085011253119,-0.00017371951089441062,0.9117647058823529,128,0.75,0.4375,0.28125,0.0,0.0,False,do_not_submit,0.375,0.125,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.375,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_30_cap0_0900_9bcb0e28.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top50_s0_30_cap0_0900_9bcb0e28.csv,control_sharpen,control_sharpen_overconf_top50_s0.30_cap0.0900,50,47,3,0.01738288915426792,0.09,-0.5378087662275248,0.1344521915568812,1.354301136800357,1.590672975799686,1.772679795475942,-1.4086661561234295,-0.13573194480390469,0.5643634279662706,-0.6722609577844061,promote_candidate,True,False,-0.0003963609622427571,-0.0007307114142164956,-0.0001209057783200069,0.9117647058823529,0.003617629112095677,-0.00032081857536690717,True,-0.0003963609622427571,-0.0007307114142164956,-0.0001209057783200069,0.9117647058823529,128,0.75,0.46875,0.2734375,0.0,0.0,False,do_not_submit,0.59375,0.09375,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.28125,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0700_41b622f6.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0700_41b622f6.csv,control_sharpen,control_sharpen_overconf_top64_s0.16_cap0.0700,64,60,4,0.016735184281101132,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.1447613257173542,0.5910613666019808,-0.6744013911361292,promote_candidate,True,False,-0.000436092670645271,-0.0007938063761287363,-0.0001399968933851888,0.9117647058823529,0.004207500751653159,-0.00035636689278770547,True,-0.000436092670645271,-0.0007938063761287363,-0.0001399968933851888,0.9117647058823529,128,0.75,0.328125,0.2734375,0.0,0.0,False,do_not_submit,0.1875,0.09375,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.125,0.0,1.0
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_30_cap0_0700_1fcab085.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_30_cap0_0700_1fcab085.csv,control_sharpen,control_sharpen_overconf_top64_s0.30_cap0.0700,64,60,4,0.017266876823764248,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.1313350060405527,0.5792449047952176,-0.6744013911361292,promote_candidate,True,False,-0.0004289851952651153,-0.0007812503020832546,-0.00013786439980469905,0.9117647058823529,0.003991757960524062,-0.000350917870668078,True,-0.0004289851952651153,-0.0007812503020832546,-0.00013786439980469905,0.9117647058823529,128,0.75,0.359375,0.265625,0.0,0.0,False,do_not_submit,0.21875,0.0625,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.21875,0.0,1.0
