target,feature,mode,corr,abs_corr
Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_z,0.22038338969455323,0.22038338969455323
Q1,deep__usage_early_time_sum_max,subject_rank,-0.20295018977342374,0.20295018977342374
Q1,deep__phone_screen_m_screen_use_afternoon_count,subject_rank,0.19816837389638153,0.19816837389638153
Q1,deep__phone_activity_m_activity_afternoon_count,subject_z,0.1978896256168224,0.1978896256168224
Q1,deep__watch_light_w_light_all_log_mean,subject_center,-0.19659949887316808,0.19659949887316808
Q1,deep__ambience_len_afternoon_sum,subject_z,0.19133562586381078,0.19133562586381078
Q1,deep__ambience_afternoon_hour_count,subject_z,0.19133562586381056,0.19133562586381056
Q1,deep__ambience_afternoon_top_prob_count,subject_z,0.19133562586381056,0.19133562586381056
Q1,deep__ambience_afternoon_top_is_speech_count,subject_z,0.19133562586381056,0.19133562586381056
Q1,deep__ambience_afternoon_top_is_music_count,subject_z,0.19133562586381056,0.19133562586381056
Q2,deep__usage_early_usage_kw_home_time_sum,subject_z,0.22559612160667025,0.22559612160667025
Q2,deep__usage_early_usage_kw_home_time_max,global_z,0.21906752997864767,0.21906752997864767
Q2,deep__phone_activity_all_transitions,global_z,-0.21397198068925366,0.21397198068925366
Q2,deep__usage_early_usage_kw_home_time_max,subject_z,0.21285642803823654,0.21285642803823654
Q2,deep__usage_early_usage_kw_home_time_max,subject_center,0.2090663003650215,0.2090663003650215
Q2,deep__phone_screen_m_screen_use_evening_std,subject_rank,0.2057491952520475,0.2057491952520475
Q2,deep__phone_screen_m_screen_use_evening_mean,subject_rank,0.19875200865758347,0.19875200865758347
Q2,deep__phone_activity_morning_frac_7,subject_rank,-0.19872410807546048,0.19872410807546048
Q2,deep__phone_activity_evening_transitions,global_z,-0.196353009763298,0.196353009763298
Q2,deep__usage_early_usage_kw_home_time_mean,subject_z,0.19528635333181948,0.19528635333181948
Q3,deep__phone_charge_m_charging_morning_std,subject_center,0.180289296045675,0.180289296045675
Q3,deep__watch_light_w_light_late_high_frac,subject_z,-0.1799341730665101,0.1799341730665101
Q3,deep__watch_light_w_light_late_max,subject_z,-0.1794512158414125,0.1794512158414125
Q3,deep__watch_light_w_light_evening_sum,subject_z,-0.17401365073942565,0.17401365073942565
Q3,deep__watch_light_w_light_late_std,subject_z,-0.17308022236063095,0.17308022236063095
Q3,deep__hr_evening_mean,subject_rank,0.167779617673931,0.167779617673931
Q3,deep__gps_evening_speed_max,global_z,-0.16602167909117801,0.16602167909117801
Q3,deep__hr_evening_min,subject_rank,0.16447485917482754,0.16447485917482754
Q3,quiet__quiet_w23_32_screen_step_activity_pre_screen_on,subject_rank,0.16154723032826004,0.16154723032826004
Q3,deep__watch_light_w_light_evening_sum,subject_center,-0.16140234988972793,0.16140234988972793
S1,deep__ambience_afternoon_hour_sum,subject_rank,0.20560420656149497,0.20560420656149497
S1,deep__ambience_afternoon_hour_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_prob_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_speech_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_music_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_vehicle_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_inside_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_outside_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_silence_count,subject_rank,0.20494032248342542,0.20494032248342542
S1,deep__ambience_afternoon_top_is_animal_count,subject_rank,0.20494032248342542,0.20494032248342542
S2,quiet__quiet_w23_32_screen_dur,subject_z,0.1682883353716264,0.1682883353716264
S2,quiet__quiet_w23_33_screen_step_dur,subject_rank,0.16528523470330117,0.16528523470330117
S2,quiet__quiet_w23_33_screen_step_speed_dur,subject_rank,0.16528523470330117,0.16528523470330117
S2,quiet__quiet_w23_36_screen_step_dur,subject_rank,0.1636087749764636,0.1636087749764636
S2,quiet__quiet_w23_36_screen_step_speed_dur,subject_rank,0.1636087749764636,0.1636087749764636
S2,quiet__quiet_w23_32_screen_step_dur,subject_z,0.163515507664977,0.163515507664977
S2,quiet__quiet_w23_32_screen_step_speed_dur,subject_z,0.163515507664977,0.163515507664977
S2,quiet__quiet_w23_35_screen_step_dur,subject_rank,0.1609617691864,0.1609617691864
S2,quiet__quiet_w23_35_screen_step_speed_dur,subject_rank,0.1609617691864,0.1609617691864
S2,deep__phone_light_m_light_late_zero_frac,subject_center,-0.1606903210832556,0.1606903210832556
S3,deep__watch_pedo_burned_calories_all_max,subject_rank,0.17663492412666282,0.17663492412666282
S3,deep__phone_screen_m_screen_use_late_std,subject_rank,0.17594520349565398,0.17594520349565398
S3,deep__watch_pedo_step_morning_count,global_z,0.17366783994407664,0.17366783994407664
S3,deep__watch_pedo_step_frequency_morning_count,global_z,0.17366783994407664,0.17366783994407664
S3,deep__watch_pedo_distance_morning_count,global_z,0.17366783994407664,0.17366783994407664
S3,deep__watch_pedo_speed_morning_count,global_z,0.17366783994407664,0.17366783994407664
