pred_index,filter,n_scenarios,tag,strategy,source,mask_name,alpha,local_delta,mean_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate
1,broad,3452,e143_control_e142,control_e142,,none,,-3.6874173200418525e-05,-4.781231237607057e-05,-2.3645886854877152e-05,-1.940471301553773e-05,-3.250161237602204e-05,-8.335186854828626e-06,-4.0940130154892034e-06,0.985225955967555
1,tight,2790,e143_control_e142,control_e142,,none,,-3.6874173200418525e-05,-4.1886192285650434e-05,-2.3382680772283002e-05,-1.9598271053464763e-05,-2.6575492285601906e-05,-8.071980772234473e-06,-4.2875710534162355e-06,0.9842293906810036
1,e101_order,57,e143_control_e142,control_e142,,none,,-3.6874173200418525e-05,-2.9690290653840194e-05,-1.9923486812247183e-05,-1.9073042536085248e-05,-1.4379590653791665e-05,-4.612786812198656e-06,-3.7623425360367202e-06,1.0
1,e101_sensor,57,e143_control_e142,control_e142,,none,,-3.6874173200418525e-05,-2.9690290653840194e-05,-1.9923486812247183e-05,-1.9073042536085248e-05,-1.4379590653791665e-05,-4.612786812198656e-06,-3.7623425360367202e-06,1.0
2,broad,3452,e143_e101_active_74f51c42,active_q2s3_repair,,e101_active,,-3.660742318456478e-05,-5.288241981566662e-05,-2.5370783562091356e-05,-2.2055091204552186e-05,-3.757171981561809e-05,-1.006008356204283e-05,-6.744391204503659e-06,0.996234067207416
2,tight,2790,e143_e101_active_74f51c42,active_q2s3_repair,,e101_active,,-3.660742318456478e-05,-4.606489471537284e-05,-2.518253265028005e-05,-2.2532160683467407e-05,-3.075419471532431e-05,-9.871832650231522e-06,-7.22146068341888e-06,0.996415770609319
2,e101_order,57,e143_e101_active_74f51c42,active_q2s3_repair,,e101_active,,-3.660742318456478e-05,-2.9391742455035146e-05,-1.983654706512341e-05,-1.897895559086365e-05,-1.4081042454986612e-05,-4.525847065074884e-06,-3.668255590815123e-06,1.0
2,e101_sensor,57,e143_e101_active_74f51c42,active_q2s3_repair,,e101_active,,-3.660742318456478e-05,-2.9391742455035146e-05,-1.983654706512341e-05,-1.897895559086365e-05,-1.4081042454986612e-05,-4.525847065074884e-06,-3.668255590815123e-06,1.0
3,broad,3452,e143_e101_active_d07b813e,active_q2s3_repair,,e101_active,,-3.667757924352699e-05,-5.1630291677000415e-05,-2.4950783582397674e-05,-2.1855690082966224e-05,-3.631959167695189e-05,-9.640083582349145e-06,-6.544990082917698e-06,0.9953650057937428
3,tight,2790,e143_e101_active_d07b813e,active_q2s3_repair,,e101_active,,-3.667757924352699e-05,-4.5032859403700444e-05,-2.4761522479113233e-05,-2.2094737990674453e-05,-2.9722159403651914e-05,-9.450822479064704e-06,-6.7840379906259266e-06,0.9956989247311828
3,e101_order,57,e143_e101_active_d07b813e,active_q2s3_repair,,e101_active,,-3.667757924352699e-05,-2.947026153204958e-05,-1.985941248091674e-05,-1.9003700741320012e-05,-1.4159561532001054e-05,-4.548712480868213e-06,-3.6930007412714843e-06,1.0
3,e101_sensor,57,e143_e101_active_d07b813e,active_q2s3_repair,,e101_active,,-3.667757924352699e-05,-2.947026153204958e-05,-1.985941248091674e-05,-1.9003700741320012e-05,-1.4159561532001054e-05,-4.548712480868213e-06,-3.6930007412714843e-06,1.0
4,broad,3452,e143_e101_active_1a0d7634,active_q2s3_repair,,e101_active,,-3.674060694869308e-05,-5.035066077670696e-05,-2.4496557567111375e-05,-2.1206991799072892e-05,-3.5039960776658435e-05,-9.185857567062846e-06,-5.896291799024367e-06,0.9936268829663963
4,tight,2790,e143_e101_active_1a0d7634,active_q2s3_repair,,e101_active,,-3.674060694869308e-05,-4.39783357121956e-05,-2.4302873915427897e-05,-2.145639489785563e-05,-2.866763571214708e-05,-8.992173915379368e-06,-6.1456948978071e-06,0.9942652329749104
4,e101_order,57,e143_e101_active_1a0d7634,active_q2s3_repair,,e101_active,,-3.674060694869308e-05,-2.9540802513244736e-05,-1.9879954608089222e-05,-1.9025931608765034e-05,-1.4230102513196205e-05,-4.569254608040695e-06,-3.715231608716506e-06,1.0
4,e101_sensor,57,e143_e101_active_1a0d7634,active_q2s3_repair,,e101_active,,-3.674060694869308e-05,-2.9540802513244736e-05,-1.9879954608089222e-05,-1.9025931608765034e-05,-1.4230102513196205e-05,-4.569254608040695e-06,-3.715231608716506e-06,1.0
5,broad,3452,e143_e101_active_95991de4,active_q2s3_repair,,e101_active,,-3.680853940091211e-05,-4.908659317042826e-05,-2.4135370690945077e-05,-2.0398923983870637e-05,-3.377589317037973e-05,-8.824670690896552e-06,-5.088223983822111e-06,0.9907300115874855
5,tight,2790,e143_e101_active_95991de4,active_q2s3_repair,,e101_active,,-3.680853940091211e-05,-4.293645604318279e-05,-2.3896275599385757e-05,-2.0700521110715457e-05,-2.762575604313426e-05,-8.585575599337231e-06,-5.389821110666929e-06,0.9906810035842294
5,e101_order,57,e143_e101_active_95991de4,active_q2s3_repair,,e101_active,,-3.680853940091211e-05,-2.9616832916412608e-05,-1.990209530112167e-05,-1.9049892457990257e-05,-1.4306132916364082e-05,-4.5913953010731426e-06,-3.7391924579417306e-06,1.0
5,e101_sensor,57,e143_e101_active_95991de4,active_q2s3_repair,,e101_active,,-3.680853940091211e-05,-2.9616832916412608e-05,-1.990209530112167e-05,-1.9049892457990257e-05,-1.4306132916364082e-05,-4.5913953010731426e-06,-3.7391924579417306e-06,1.0
6,broad,3452,e143_q2s3_7e4aa05e,active_q2s3_repair,,q2s3,,-3.376596492121742e-05,-4.271356357171839e-05,-2.2605243114959196e-05,-2.0094023871974e-05,-2.7402863571669858e-05,-7.294543114910669e-06,-4.783323871925473e-06,0.9933371958285052
6,tight,2790,e143_q2s3_7e4aa05e,active_q2s3_repair,,q2s3,,-3.376596492121742e-05,-3.776932325256105e-05,-2.2250968893778046e-05,-2.019436312999342e-05,-2.2458623252512517e-05,-6.940268893729519e-06,-4.883663129944892e-06,0.992831541218638
6,e101_order,57,e143_q2s3_7e4aa05e,active_q2s3_repair,,q2s3,,-3.376596492121742e-05,-2.6211565525010237e-05,-1.8568969313343857e-05,-1.7870080047537965e-05,-1.0900865524961712e-05,-3.2582693132953313e-06,-2.559380047489437e-06,1.0
6,e101_sensor,57,e143_q2s3_7e4aa05e,active_q2s3_repair,,q2s3,,-3.376596492121742e-05,-2.6211565525010237e-05,-1.8568969313343857e-05,-1.7870080047537965e-05,-1.0900865524961712e-05,-3.2582693132953313e-06,-2.559380047489437e-06,1.0
7,broad,3452,e143_q2s3_58c7c775,active_q2s3_repair,,q2s3,,-3.4680259861419316e-05,-4.448239373604039e-05,-2.30561946316694e-05,-2.0386272930953382e-05,-2.917169373599187e-05,-7.745494631620874e-06,-5.075572930904856e-06,0.9936268829663963
7,tight,2790,e143_q2s3_58c7c775,active_q2s3_repair,,q2s3,,-3.4680259861419316e-05,-3.920173181613052e-05,-2.2801244945393555e-05,-2.059570134027767e-05,-2.389103181608199e-05,-7.4905449453450274e-06,-5.285001340229144e-06,0.9935483870967742
7,e101_order,57,e143_q2s3_58c7c775,active_q2s3_repair,,q2s3,,-3.4680259861419316e-05,-2.7234849841227247e-05,-1.8963093822523445e-05,-1.8299214637756467e-05,-1.1924149841178719e-05,-3.6523938224749168e-06,-2.988514637707938e-06,1.0
7,e101_sensor,57,e143_q2s3_58c7c775,active_q2s3_repair,,q2s3,,-3.4680259861419316e-05,-2.7234849841227247e-05,-1.8963093822523445e-05,-1.8299214637756467e-05,-1.1924149841178719e-05,-3.6523938224749168e-06,-2.988514637707938e-06,1.0
8,broad,3452,e143_q2s3_6c7d8202,active_q2s3_repair,,q2s3,,-3.557441673340822e-05,-4.617716268057074e-05,-2.3325167115231343e-05,-2.0215613987160456e-05,-3.086646268052221e-05,-8.014467115182814e-06,-4.904913987111929e-06,0.9913093858632677
8,tight,2790,e143_q2s3_6c7d8202,active_q2s3_repair,,q2s3,,-3.557441673340822e-05,-4.0573670440522475e-05,-2.3092760517563674e-05,-2.059504579849322e-05,-2.5262970440473948e-05,-7.782060517515145e-06,-5.284345798444694e-06,0.9913978494623656
8,e101_order,57,e143_q2s3_6c7d8202,active_q2s3_repair,,q2s3,,-3.557441673340822e-05,-2.823559551213937e-05,-1.9398363725488652e-05,-1.861459789411745e-05,-1.2924895512090843e-05,-4.0876637254401245e-06,-3.303897894068924e-06,1.0
8,e101_sensor,57,e143_q2s3_6c7d8202,active_q2s3_repair,,q2s3,,-3.557441673340822e-05,-2.823559551213937e-05,-1.9398363725488652e-05,-1.861459789411745e-05,-1.2924895512090843e-05,-4.0876637254401245e-06,-3.303897894068924e-06,1.0
9,broad,3452,e143_q2s3_547ecbae,active_q2s3_repair,,q2s3,,-3.6274497351884705e-05,-4.7175392539810594e-05,-2.3554315483208586e-05,-2.001369617455333e-05,-3.186469253976207e-05,-8.24361548316006e-06,-4.702996174504804e-06,0.9889918887601391
9,tight,2790,e143_q2s3_547ecbae,active_q2s3_repair,,q2s3,,-3.6274497351884705e-05,-4.137733267367943e-05,-2.335602249374895e-05,-2.0243082993909843e-05,-2.6066632673630906e-05,-8.045322493700422e-06,-4.932382993861316e-06,0.9885304659498207
9,e101_order,57,e143_q2s3_547ecbae,active_q2s3_repair,,q2s3,,-3.6274497351884705e-05,-2.901912988980561e-05,-1.9728039151406785e-05,-1.8861527389474578e-05,-1.3708429889757084e-05,-4.41733915135826e-06,-3.5508273894260517e-06,1.0
9,e101_sensor,57,e143_q2s3_547ecbae,active_q2s3_repair,,q2s3,,-3.6274497351884705e-05,-2.901912988980561e-05,-1.9728039151406785e-05,-1.8861527389474578e-05,-1.3708429889757084e-05,-4.41733915135826e-06,-3.5508273894260517e-06,1.0
