basename,source_path,recipe,source_note,seed_count,seed_basenames,weight,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,signed_delta_sum,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e314_humanready_single_rank1_k12_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k12_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682
submission_e314_humanready_single_rank1_k20_w18_0_b333d023.csv,analysis_outputs/submission_e314_humanready_single_rank1_k20_w18_0_b333d023.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,18.0,3,3,0.0004527587317008718,0.35,0.7923277804765256,0.7923277804765256,1.0,0.0,0.0,0.0,0.7923277804765256,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011052273361235166,-0.00014102773667082748,-7.169616395803447e-05,1.0,-0.007444837078021682
submission_e314_humanready_single_rank7_kall_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_kall_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379
submission_e314_humanready_single_rank7_k8_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_k8_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379
submission_e314_humanready_single_rank7_k12_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_k12_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379
submission_e314_humanready_single_rank7_k20_w26_0_d5dd85d8.csv,analysis_outputs/submission_e314_humanready_single_rank7_k20_w26_0_d5dd85d8.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,26.0,6,6,0.0007005190834450602,0.35,1.2259083960288555,0.8526578647732591,1.0,0.0,0.0,0.0,1.2259083960288555,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.00011797151161518443,-0.00015134021723921696,-7.156697009767854e-05,1.0,-0.007292245869133379
submission_e314_humanready_single_rank2_kall_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_kall_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426
submission_e314_humanready_single_rank2_k3_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k3_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426
submission_e314_humanready_single_rank2_k5_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k5_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426
submission_e314_humanready_single_rank2_k8_w26_0_ed9b6ac1.csv,analysis_outputs/submission_e314_humanready_single_rank2_k8_w26_0_ed9b6ac1.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,26.0,3,3,0.00040862625473722663,0.35,0.7150959457901466,0.7150959457901466,1.0,0.0,0.0,0.0,0.7150959457901466,0.0,0.0,0.0,0.0,promote_candidate,True,False,-9.51306027547689e-05,-0.00012110375687689038,-6.387978161735698e-05,1.0,-0.0069901621214426
