band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,translator,base_anchor_delta,translator_anchor_delta,anchor_minus_base,mean_anchor_minus_base,max_set_minus_base,min_set_minus_base,hidden_core_minus_base,hidden_all_minus_base,q2_hidden_minus_base,s3_hidden_minus_base,mean_move_minus_base,beats_base,tail_neutral_vs_base
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_meanneg_m1.00,-2.370842647758664e-06,-3.09458984981692e-06,-7.237472020582558e-07,-1.323653416318571e-06,7.441549961795246e-07,-3.2287742478542825e-06,-2.5401323668627906e-05,-2.21578558499453e-05,-0.00011004102379316705,-6.776824188742259e-05,0.00023855935154602293,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_p90_nonpos_m1.00,-2.370842647758664e-06,-2.7774147794978887e-06,-4.065721317392246e-07,-4.597928250360539e-07,-2.447471119104705e-07,-6.865741979389384e-07,-5.652043192250211e-06,-4.546918577256028e-06,-2.534324048367176e-05,-1.4221061862038087e-05,5.669692956238276e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_meanneg_m0.50,-2.370842647758664e-06,-2.758310038486478e-06,-3.8746739072781367e-07,-6.84894990832241e-07,3.467005962320968e-07,-1.6284963039181477e-06,-1.2724355172161195e-05,-1.1102621262804035e-05,-5.511328113644298e-05,-3.39572050687964e-05,0.0001192796757730093,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_soft_p90_m1.00,-2.370842647758664e-06,-2.583717267246044e-06,-2.1287461948737985e-07,-2.759663126905565e-07,-4.94130280026539e-08,-4.829811894868641e-07,-4.084103031126718e-06,-3.2323164829785355e-06,-1.978420886705745e-05,-8.804512350621407e-06,3.7459817095126255e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_p90_nonpos_m0.50,-2.370842647758664e-06,-2.578492846239122e-06,-2.0765019848045796e-07,-2.3446230412726976e-07,-1.261646767058977e-07,-3.4831684203595614e-07,-2.8311129288416392e-06,-2.278550621308864e-06,-1.2691761562266812e-05,-7.126028939277718e-06,2.8348464781188234e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_soft_max_m1.00,-2.370842647758664e-06,-2.4997114195235426e-06,-1.2886877176487843e-07,-1.8244898192243397e-07,1.7667722840286615e-09,-3.4114868041612567e-07,-2.4948431716076414e-06,-1.9374528237779372e-06,-1.1495947425860242e-05,-5.967954775448758e-06,2.3124107367527864e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_soft_p90_m0.50,-2.370842647758664e-06,-2.4781106324756053e-06,-1.072679847169411e-07,-1.387833163946084e-07,-2.5562178596061358e-08,-2.422913049082709e-07,-2.0428431662111723e-06,-1.6169498921232033e-06,-9.895883450822263e-06,-4.404018712642066e-06,1.8729908547559983e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_max_nonpos_m1.00,-2.370842647758664e-06,-2.4732007324335115e-06,-1.023580846748473e-07,-1.1670957889009514e-07,-6.14958473033056e-08,-1.6776568312337758e-07,-5.885666015115198e-07,-4.121902619542311e-07,0.0,-4.119966210303083e-06,1.0997092234003641e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_soft_max_m0.50,-2.370842647758664e-06,-2.43565386015554e-06,-6.481121239687582e-08,-9.158793112806762e-08,4.758026195261778e-10,-1.7093655868549718e-07,-1.2477864410054273e-06,-9.69091267027136e-07,-5.749668259530383e-06,-2.9848368268831083e-06,1.1562053683758945e-05,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,tail_max_nonpos_m0.50,-2.370842647758664e-06,-2.4223474988094296e-06,-5.150485105076541e-08,-5.86735050545073e-08,-3.108340240753904e-08,-8.421864494678744e-08,-2.9457985128988895e-07,-2.0639168150726013e-07,0.0,-2.0620589590569782e-06,5.498546117000411e-06,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q20.20_s30.00,-2.370842647758664e-06,-2.3647658012881934e-06,6.076846470470798e-09,-1.9280548602118586e-08,1.2075889255225292e-07,-2.0353768204195433e-07,-5.641395602107302e-06,-4.385695969024063e-06,-3.948976921472336e-05,0.0,4.955965625373692e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q20.05_s30.05,-2.370842647758664e-06,-2.3623756302271204e-06,8.467017531543775e-09,-3.299577100435158e-08,1.2333347287896146e-07,-1.897234115366686e-07,-2.2077852309121404e-06,-1.965740703197764e-06,-9.877644099431926e-06,-5.576852517077957e-06,2.122410102638325e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q20.10_s30.10,-2.370842647758664e-06,-2.3530745094646477e-06,1.7768138294016467e-08,-6.518635764507508e-08,2.475287613767918e-07,-3.786459467081116e-07,-4.414738251912187e-06,-3.930649196491403e-06,-1.9751820440533363e-05,-1.1151347322907457e-05,4.2448202052771484e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q20.00_s30.20,-2.370842647758664e-06,-2.3380972445918857e-06,3.274540316677843e-08,-1.0787134196998949e-07,3.7759750126653557e-07,-5.505528617444355e-07,-3.184751972223898e-06,-3.4722734943822757e-06,0.0,-2.2293263805206465e-05,3.5336747851812556e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q20.20_s30.20,-2.370842647758664e-06,-2.332042052577421e-06,3.8800595181243125e-08,-1.2715189035006347e-07,4.982884937998477e-07,-7.54088463339464e-07,-8.826147574303445e-06,-7.857969463438079e-06,-3.948976921472336e-05,-2.2293263805206465e-05,8.489640410554969e-05,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q20.35_s30.35,-2.370842647758664e-06,-2.291513840901871e-06,7.932880685679322e-08,-2.1406076189389722e-07,8.786951140038468e-07,-1.3112461306752365e-06,-1.5437019422664955e-05,-1.3742707728628785e-05,-6.907068023701002e-05,-3.898845572090914e-05,0.00014856870718471939,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.08,uniform_q21.00_s31.00,-2.370842647758664e-06,-2.0401713705098246e-06,3.306712772488396e-07,-5.06905605823782e-07,2.6164918041082785e-06,-3.6457002811074446e-06,-4.399755921516424e-05,-3.9156668660976295e-05,-0.0001968938279436061,-0.00011108908656240479,0.0004244820205277951,False,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_meanneg_m1.00,-3.2854648646107876e-06,-4.287117249535122e-06,-1.0016523849243342e-06,-1.9070304960733253e-06,1.1943221155386041e-06,-4.783253519602404e-06,-3.787226802745569e-05,-3.3042959891244885e-05,-0.00016436916475617847,-0.00010073671143565055,0.00035504393977888707,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_meanneg_m0.50,-3.2854648646107876e-06,-3.8363254513118505e-06,-5.50860586701063e-07,-1.005221719641014e-06,5.402951606114925e-07,-2.4429228058231445e-06,-1.8989227145244092e-05,-1.6574573077101013e-05,-8.239231469789332e-05,-5.053227531844062e-05,0.00017752196988944494,True,False
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_p90_nonpos_m1.00,-3.2854648646107876e-06,-3.830689337291915e-06,-5.452244726811273e-07,-6.709521633840865e-07,-3.5306261625400737e-07,-8.998544189786628e-07,-8.423094722265212e-06,-6.7607000694096925e-06,-3.7954407123425016e-05,-2.1007255932320446e-05,8.425403485748991e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_soft_p90_m1.00,-3.2854648646107876e-06,-3.5930007284967758e-06,-3.075358638859882e-07,-4.0927432098936123e-07,-6.864001811379694e-08,-7.105193403633692e-07,-6.102850858807907e-06,-4.833149519505649e-06,-2.9631979747229975e-05,-1.3087976264217205e-05,5.577934319256155e-05,True,True
all,all,grad_all_4of6,all,core_gain,0.07,0.12,tail_p90_nonpos_m0.50,-3.2854648646107876e-06,-3.5671927501867984e-06,-2.817278855760108e-07,-3.457163284537046e-07,-1.8491095510331235e-07,-4.605698782356171e-07,-4.222956451138682e-06,-3.3917591247029804e-06,-1.9022538207763562e-05,-1.0538156950110067e-05,4.212701742874452e-05,True,True
