basename,actual__min_prob,actual__max_prob,actual__mean_prob,actual__prob_span,actual__mean_abs_move_vs_stage2,actual__mean_abs_move_vs_raw05,actual__mean_abs_move_vs_a2c8,actual__rms_move_vs_a2c8,actual__max_abs_move_vs_a2c8,actual__move_abs_a2c8_Q1,actual__mean_prob_Q1,actual__move_abs_a2c8_Q2,actual__mean_prob_Q2,actual__move_abs_a2c8_Q3,actual__mean_prob_Q3,actual__move_abs_a2c8_S1,actual__mean_prob_S1,actual__move_abs_a2c8_S2,actual__mean_prob_S2,actual__move_abs_a2c8_S3,actual__mean_prob_S3,actual__move_abs_a2c8_S4,actual__mean_prob_S4,actual__proj_a2c8,actual__cos_a2c8,actual__proj_raw05,actual__cos_raw05,actual__proj_final9,actual__cos_final9,actual__proj_ordinal,actual__cos_ordinal,actual__proj_q2_bad,actual__cos_q2_bad,actual__proj_resid_bad,actual__cos_resid_bad,actual__proj_lejepa_bad,actual__cos_lejepa_bad,actual__bad_axis_abs_load,actual__bad_axis_positive_load,actual__good_axis_load,actual__good_span_residual_ratio,actual__bad_to_good_load_ratio,actual__raw05_a2c8_compat_energy,policy,recipe,group_key,base_variant,meta_source_count,meta_weight,meta_nonzero_rows,meta_nonzero_cells,meta_mean_abs_delta,meta_max_abs_delta,meta_l1_delta,meta_signed_delta_sum,meta_q_abs_share,meta_s_abs_share,meta_abs_Q1,meta_abs_Q2,meta_abs_Q3,meta_abs_S1,meta_abs_S2,meta_abs_S3,meta_abs_S4,mix_actual,mix_row,mix_subject,mix_dateblock,mix_actual_share,mix_row_share,mix_subject_share,mix_dateblock_share,previously_null_evaluated,old_strict_promote,old_info_sensor,actual_p90,actual_mean,actual_beats_current_rate,incremental_bad_axis_vs_current,pred_target_worst_placement_dominance,pred_null_strict_rate,pred_target_adversarial_health,pred_row_p90_dominance,pred_subject_p90_dominance,pred_dateblock_p90_dominance,pred_worst_placement_dominance,pred_adversarial_health,pred_ready_score,source_path,parent_basename,parent_fresh_null_strict_rate,parent_fresh_actual_p90,parent_fresh_worst_mode_p90_dominance,ref_null_reps,ref_null_abs_mean,ref_centered_abs_mean,ref_unique75_cells,ref_unique90_cells
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_5f3a9116.csv,0.0681101766719186,0.9797766514642752,0.5944435283258283,0.9116664747923566,0.06635362739929059,0.04914414721712366,0.046061802994716516,0.059894181327258905,0.2357370747111478,0.054017898800545944,0.4945849093828004,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.03730721945231359,0.6603843020440072,0.03301601284580745,0.6346331809966811,0.06337858621056368,0.6491176672203968,0.04142229484797425,0.5654989620215859,1.078831350481941,0.724845760814379,1.1238537528983383,0.6822318382017608,0.16926187018894162,0.45650134517733204,0.1716470605930451,0.37008507410182917,-0.01264962033049761,-0.017509862353795664,-0.09132061464670543,-0.15025116255025137,0.015058436259674122,0.026997104362053076,0.20485220153339972,0.10088196655619668,2.2026851033802792,0.6713846568891877,0.09300112899752616,0.07505240785716731,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,0.5,30.0,32.0,0.0026775183824773443,0.17595125020729382,4.685657169335353,1.8127936663959456,0.17984987128829888,0.820150128711701,0.8427148388060581,0.0,0.0,0.6251813750477306,0.0,3.217760955481564,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.00019751054538789869,-0.00033945771010112307,1.0,0.005291936710974943,0.7681164251628256,0.7476035047495968,0.02051292041322854,1.1541749682549063,0.9261620301570022,0.7695603085352425,0.7681164251628256,0.02051292041322854,-0.1663879557741705,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_5f3a9116.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_4f4e307c.csv,0.0681101766719186,0.9797766514642752,0.5944922356278279,0.9116664747923566,0.06761126298197913,0.05048290640836233,0.04740056218595518,0.06392544734842831,0.3202947275399959,0.055703328478158065,0.4942937458431948,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.038557582202409034,0.6605214978189866,0.03301601284580745,0.6346331809966811,0.0698141081215268,0.6496125860990214,0.04142229484797425,0.5654989620215859,1.0867410686881909,0.7046982578305097,1.1313358956127033,0.6628249123179462,0.17089199085267182,0.44482553421503457,0.17191531314319203,0.35773780273771183,-0.01264962033049761,-0.01689926457567298,-0.09358949583286938,-0.14861450390096756,0.01530139715392415,0.026476066988398966,0.20749816988888714,0.10125905372552016,2.218076964300894,0.6929358423125346,0.09354867893898303,0.07711493414490529,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,0.75,30.0,32.0,0.004016277573716016,0.2639268753109407,7.02848575400303,2.7191904995939185,0.17984987128829885,0.8201501287117011,1.264072258209087,0.0,0.0,0.937772062571596,0.0,4.826641433222346,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0003065898981074785,-0.000527216007942978,1.0,0.007937905066462358,0.8553549495734014,0.6477697339690438,0.2075852156043574,1.2084331147163325,0.9624380380770796,0.881978610319558,0.8553549495734014,0.2075852156043574,0.0456427821120966,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_4f4e307c.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_873b8ad1.csv,0.0681101766719186,0.9797766514642752,0.5945363945483574,0.9116664747923566,0.06894769362308974,0.05182047952683303,0.04873813530442588,0.06915187385200437,0.4063678522290553,0.05738875815577018,0.4939967066086559,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.039799642443128704,0.660660123683867,0.03301601284580745,0.6346331809966811,0.07624963003248993,0.6500801119123866,0.04142229484797425,0.5654989620215859,1.0946499284292264,0.6789978031643032,1.1388182612763735,0.6382306795084,0.1725139640846503,0.42954458882552393,0.17218137533712535,0.34273025417350933,-0.01264962033049761,-0.01616530128619804,-0.09585617075535152,-0.14560294600834214,0.015533379105475673,0.02571013300461993,0.21012985785988747,0.10162406677403835,2.2334681897056,0.7188401041373456,0.09408231499975067,0.07921917579265386,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,1.0,30.0,32.0,0.005353850692186718,0.35,9.369238711326757,3.6235117054479433,0.1798897145799636,0.8201102854200364,1.6854296776121163,0.0,0.0,1.2482871227515124,0.0,6.435521910963128,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004136328551885089,-0.0007164390374997448,1.0,0.010569593037462688,0.940695620302367,0.5413513985974099,0.39934422170495687,1.2506849710762546,1.0053250694478668,1.0029010328133061,0.940695620302367,0.39934422170495687,0.2640063720556045,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_873b8ad1.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_c2c0e700.csv,0.0681101766719186,0.9797766514642752,0.594549212354487,0.9116664747923566,0.06994315086848603,0.05281593677222932,0.049733592549822174,0.07357428132076341,0.4336166779137747,0.05894414012380558,0.49372567359429037,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.04034792956588022,0.6606729260207566,0.03301601284580745,0.6346331809966811,0.08111416165947705,0.6504280672327691,0.04142229484797425,0.5654989620215859,1.1010577897411504,0.658250247493094,1.1449873694435257,0.6184601923747668,0.17369642977443878,0.41683357268631055,0.17256054165067733,0.33105150526812954,-0.01264962033049761,-0.015580148918472286,-0.09759881637859262,-0.14288361789443701,0.0154866898184096,0.02470499570650097,0.21201539735283847,0.10176696064374827,2.246045159184676,0.738514305504078,0.09439498417538762,0.08078806818000044,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,1.25,30.0,32.0,0.0063493079375830045,0.35,11.111288890770254,4.195195842658237,0.18668177832582422,0.8133182216741759,2.074275169620966,0.0,0.0,1.3853589034393905,0.0,7.651654817709899,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.00047389152546340564,-0.000845006931936184,1.0,0.012455132530413693,1.0271569886422065,0.4728835668957178,0.5542734217464884,1.290308473387428,1.0649110684135972,1.089360096676908,1.0,0.5542734217464884,0.4156847885409043,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_c2c0e700.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_87e2c984.csv,0.0681101766719186,0.9797766514642752,0.5945474765984333,0.9116664747923566,0.06999384293090304,0.05286662883464632,0.04978428461223917,0.07379113604310052,0.43414978128267045,0.059047039445321706,0.49370416348674534,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.04040649395212266,0.6606697831574843,0.03301601284580745,0.6346331809966811,0.08130754238863747,0.6504405699112105,0.04142229484797425,0.5654989620215859,1.1010466441131412,0.6571407904895549,1.1450135574411735,0.6174381716818417,0.17362693513995323,0.41596873458388667,0.17248958320523497,0.3303609721405464,-0.01264962033049761,-0.015554046588769299,-0.09766570062810437,-0.14274199043333857,0.015507238382737137,0.024696330975371113,0.21206735094395662,0.10175202998535463,2.2460602015543145,0.7395712907068803,0.0944174829787664,0.08086785162015818,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,1.5,30.0,32.0,0.0063999999999999994,0.35,11.199999999999996,4.199999999999999,0.18750000000000008,0.8125,2.1,0.0,0.0,1.4,0.0,7.699999999999997,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.00047822211342751986,-0.0008531096141642299,1.0,0.01250708612153184,1.0340357441043828,0.46854640173591994,0.5654893423684628,1.2951689994426703,1.0705933102807634,1.091808718904546,1.0,0.5654893423684628,0.42282593385619577,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k32_87e2c984.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_8ff6970f.csv,0.0681101766719186,0.9797766514642752,0.5943398976878512,0.9116664747923566,0.06711662985770574,0.05025896938170751,0.047265827052860476,0.062346364680244924,0.24701510143908334,0.0557642174349096,0.49434645887443013,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.040912179936885326,0.6602756244790494,0.03301601284580745,0.6346331809966811,0.06645547549863605,0.6487393808278866,0.04142229484797425,0.5654989620215859,1.0762217365030429,0.7098919484041238,1.1197310382230612,0.6673203146674759,0.17036429001302508,0.45108661487418966,0.17319404346391673,0.36660349172117307,-0.01264962033049761,-0.017190209848305722,-0.08965891999928942,-0.14482414210162584,0.015119998090385275,0.026612611435157963,0.2040255601521307,0.10171701982234364,2.195952774726104,0.6869031990158947,0.09290981227256516,0.07673142424264959,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,0.5,53.0,64.0,0.004995948697398561,0.17595125020729382,8.742910220447481,0.04809398184843583,0.18388939802182772,0.8161106019781724,1.6077284973969723,0.0,0.0,1.7406329894753438,0.0,5.394548733575165,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0003226991032285711,-0.00048041649512542813,1.0,0.0044652953297059095,0.7029808525009014,0.7103204563409258,-0.007339603840024619,1.0816765136818196,0.8667716296963044,0.7441055587039918,0.7029808525009014,-0.007339603840024619,-0.18491971792525586,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_8ff6970f.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_4e86b066.csv,0.0681101766719186,0.9797766514642752,0.5943358905333861,0.9116664747923566,0.06936535538626004,0.0527569437304068,0.04976380140155976,0.06896917831965595,0.3202947275399959,0.058979674429703546,0.4939357489076562,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.044393445915835994,0.6603490747826015,0.03301601284580745,0.6346331809966811,0.0772445729657864,0.6490485904098519,0.04142229484797425,0.5654989620215859,1.0828266477198436,0.675717053265176,1.125151823599788,0.6343766817619957,0.172545620588797,0.4322159275250346,0.17423578744949947,0.34891244598013543,-0.01264962033049761,-0.016262849077946704,-0.09109695386174543,-0.1392088256368391,0.015393739899990893,0.02563275899746588,0.20625820781698367,0.10251163362474063,2.2079784713196315,0.7212295423424571,0.09341495417765346,0.08048044276163203,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,0.75,53.0,64.0,0.007493923046097842,0.2639268753109407,13.114365330671225,0.07214097277265274,0.18388939802182766,0.8161106019781723,2.4115927460954585,0.0,0.0,2.6109494842130156,0.0,8.09182310036275,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0004307317061044413,-0.0007649408570194878,1.0,0.006697942994558892,0.7894206503525727,0.5935710291006702,0.19584962125190236,1.096703539282796,0.9155830866212125,0.8747683041046018,0.7894206503525727,0.19584962125190236,0.047456863976735,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_4e86b066.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_814e6313.csv,0.0681101766719186,0.9797766514642752,0.5943267102386105,0.9116664747923566,0.0718262430658101,0.05525373200633811,0.05226058967749108,0.07726509668016986,0.4063678522290553,0.06219513142449748,0.49351922044093766,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.047866409385410896,0.6604175372619121,0.03301601284580745,0.6346331809966811,0.08803367043293674,0.6493323943338307,0.04142229484797425,0.5654989620215859,1.08943070047143,0.6354977914224637,1.1305728319258193,0.5958584724526247,0.1747188037328172,0.40911458740826906,0.17527534107886858,0.32810164754371607,-0.01264962033049761,-0.015202153839046518,-0.09253278146051958,-0.13218038819278038,0.01565650276689798,0.024369940031369088,0.20847657509734946,0.10329417330633227,2.220003532397249,0.7579123067450784,0.09390821769473486,0.08425121008737102,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,1.0,53.0,64.0,0.009990711322029151,0.35,17.483744813551013,0.09411233635292326,0.18391122892057776,0.8160887710794223,3.2154569947939446,0.0,0.0,3.4791903516067393,0.0,10.78909746715033,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.000549618629556614,-0.0010498648677785708,1.0,0.008916310274924677,0.8698131483006983,0.46475601365446517,0.40505713464623305,1.0991532330410723,0.9647819289040018,1.0166510991175195,0.8698131483006983,0.40505713464623305,0.2888681312326168,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_814e6313.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_2b9c371c.csv,0.0649639260261907,0.9797766514642752,0.594285548657679,0.9148127254380845,0.073980915468667,0.05740840440919501,0.05441526208034797,0.08523976424725913,0.4348221229274316,0.06528054070971472,0.4931289565872521,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.05064559973701766,0.6603536528542711,0.03301601284580745,0.6346331809966811,0.09725177761611106,0.6494984115286362,0.04142229484797425,0.5654989620215859,1.0945337547939054,0.5997057262235724,1.1346805827553328,0.5617108298763703,0.17645247933464744,0.3880857378952717,0.1764279988278564,0.31020564637688586,-0.01264962033049761,-0.014279063447398635,-0.09344457976005276,-0.1253776488904953,0.01564059439518748,0.022866913837537202,0.20994879389966603,0.10385459380911569,2.229214337549238,0.7874954419716281,0.0941806224143972,0.08747793246552807,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,1.25,53.0,64.0,0.012145383724886044,0.35,21.254421518550583,-0.21655336871053787,0.18757552693770638,0.8124244730622936,3.986809316098251,0.0,0.0,4.173987939508424,0.0,13.093624262943907,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0006260420630122118,-0.001272985595846415,1.0,0.010388529077241249,0.8425919973772029,0.3628197620551934,0.4797722353220094,1.052547738162753,0.8979044055173346,1.0287102649493804,0.8425919973772029,0.4797722353220094,0.38906729480821123,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_2b9c371c.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_9f4e20ae.csv,0.063156583280465,0.9797766514642752,0.594258195525067,0.9166200681838101,0.07463553174378096,0.058063020684308964,0.055069878355461926,0.08776786056298191,0.47181042044685273,0.0661333034453217,0.4930709798428167,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.052149647978983964,0.6602888781584773,0.03301601284580745,0.6346331809966811,0.09947728056433547,0.6494296910405823,0.04142229484797425,0.5654989620215859,1.0932469940925114,0.5879521701961103,1.1327649545472125,0.5504192930457704,0.1768418742760594,0.38176815276887915,0.1767154796312613,0.304980065923431,-0.01264962033049761,-0.014015687089553447,-0.0936448380409723,-0.12332880371082271,0.015717836893642475,0.02255598250322178,0.21037003508074303,0.10407557670927313,2.226011948639724,0.796540141631525,0.09450534850668302,0.08845843005124704,human_regime_only,null_common_residual,human_regime_only__recipe_family_consensus,meanresid_l0.50,18.0,1.5,53.0,64.0,0.012799999999999999,0.35,22.39999999999999,-0.7000000000000006,0.18750000000000008,0.8125,4.2,0.0,0.0,4.55,0.0,13.649999999999991,0.0,0.0,0.0,0.0,0.0,,,,,False,True,False,-0.0006418819459497843,-0.001324163871035514,1.0,0.010809770258318252,0.7755429247923507,0.3210763773540137,0.4544665474383369,1.004051647343232,0.8170915111875108,0.9981305418595379,0.7755429247923507,0.4544665474383369,0.3741974530998335,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l0_50__k64_9f4e20ae.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.1363636363636363,-0.0010768453906677,0.8,8,0.021469389059860948,0.020516343492586648,51,19
