feature_set,group_col,n_rows,n_groups,accuracy,auc,logloss,brier,frontier_accuracy,frontier_auc,micro_accuracy,e95_edge_accuracy,reciprocity_mae,frontier_reciprocity_mae,micro_reciprocity_mae,e95_edge_reciprocity_mae,frontier_n,frontier_logloss,micro_n,micro_auc,micro_logloss,e95_edge_n,e95_edge_auc,e95_edge_logloss
shape_only,file,264,12,0.7386363636363636,0.798611111111111,0.9736563363287294,0.20880935968353218,0.7666666666666667,0.7755555555555556,0.53125,0.5714285714285714,0.12309696599956095,0.2216586246014929,0.2697492019171228,0.28617294158582035,60,1.4296375908599608,32,0.4765625,2.635710250144185,28,0.5357142857142858,2.743736385823937
shape_only,pair,132,66,0.9242424242424242,0.9578741965105602,0.4952234381000857,0.061316164820346734,0.8666666666666667,0.908888888888889,0.6875,0.7857142857142857,0.10457643358476593,0.1712758221159615,0.27475726911694054,0.2865050218501232,30,1.180343895287051,16,0.7578125,2.2410180833064546,14,0.846938775510204,2.3382334056622285
shape_support,file,264,12,0.803030303030303,0.8357438016528925,0.7401561201550848,0.16975445041558987,0.8,0.828888888888889,0.65625,0.6785714285714286,0.050291642833845324,0.04307653406258713,0.0454929541745469,0.051119715502300454,60,0.6456319265358386,32,0.59765625,1.2537129501263093,28,0.6326530612244898,1.1621211041517572
shape_support,pair,132,66,0.9090909090909091,0.960514233241506,0.24057866920624954,0.06408858609395804,0.8,0.8622222222222222,0.625,0.7142857142857143,0.03832862721775945,0.01773822128046766,0.040311547323978,0.02221047071914371,30,0.5244847976650543,16,0.6875,1.0630258560558419,14,0.7142857142857143,0.9790378573044103
shape_support_public_axis,file,264,12,0.8106060606060606,0.8390151515151515,0.7457599234759056,0.16738840523749318,0.8333333333333334,0.8611111111111112,0.6875,0.7142857142857143,0.05746805637863722,0.06120581374782932,0.07134554956457273,0.08104494221834235,60,0.655807933645361,32,0.65234375,1.2710254290786542,28,0.7040816326530612,1.1819698453286178
shape_support_public_axis,pair,132,66,0.9318181818181818,0.9657943067033976,0.2570356980887536,0.05749024242242744,0.8666666666666667,0.9155555555555557,0.6875,0.7857142857142857,0.05190946227853859,0.07962776347246632,0.14713212606237003,0.146044395505765,30,0.5800277126696718,16,0.78125,1.1659394471206412,14,0.8367346938775511,1.0965035463016701
