solution_id,mask_index,mask_kind,mask_name,prior_name,lambda,target,n_cells,solution_rate,prior_rate,rate_delta_vs_prior,mean_abs_shift_vs_prior,confidence_abs_y_minus_half,solution_score
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,Q1,100,0.49721835496137723,0.5081847369199191,-0.010966381958541889,0.019373264383335274,0.192594058277922,0.0003841925814824777
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,Q2,100,0.5521049104400234,0.552185026665404,-8.011622538066032e-05,0.006182501044774627,0.10946468638949605,0.0003841925814824777
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,Q3,100,0.6203935192590145,0.6202776414981332,0.00011587776088129637,0.011114857142550399,0.15751385564685721,0.0003841925814824777
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,S1,100,0.6808235476903957,0.6847666359282557,-0.003943088237860114,0.014617361982469481,0.2708490839824055,0.0003841925814824777
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,S2,100,0.6448700400998207,0.6449112273626625,-4.118726284185026e-05,0.014034691917770696,0.225057021852837,0.0003841925814824777
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,S3,100,0.6590199981141143,0.6517274113833359,0.007292586730778245,0.014768922069802251,0.25130995505561105,0.0003841925814824777
d0690b07,1174,random_rows,frac0.40_rep009,entropy_g075,3e-10,S4,100,0.5779520760657504,0.5765293548344913,0.0014227212312591755,0.009553324022131082,0.182383776390047,0.0003841925814824777
0d90297c,243,subject_contiguous,frac0.40_rep052,entropy_g075,3e-10,Q1,101,0.4979050815523276,0.5083148608420482,-0.01040977928972066,0.021045705886444468,0.21974387317170074,0.00041922256073627227
0d90297c,243,subject_contiguous,frac0.40_rep052,entropy_g075,3e-10,Q2,101,0.539765447174282,0.539255283519783,0.0005101636544990663,0.00522672152416253,0.12067886127936936,0.00041922256073627227
0d90297c,243,subject_contiguous,frac0.40_rep052,entropy_g075,3e-10,Q3,101,0.5997734088869955,0.5971722685187462,0.0026011403682490676,0.012276143280193833,0.14661251628438676,0.00041922256073627227
0d90297c,243,subject_contiguous,frac0.40_rep052,entropy_g075,3e-10,S1,101,0.6561744934148981,0.6599807345945146,-0.0038062411796166242,0.016216910496288435,0.26311522793589803,0.00041922256073627227
0d90297c,243,subject_contiguous,frac0.40_rep052,entropy_g075,3e-10,S2,101,0.6370868720001491,0.6363215772314404,0.000765294768708691,0.01602097810248652,0.2049828221519042,0.00041922256073627227
