set,n_cells,n_rows,targets,swing_sum,top1_swing,support_prob_min_mean,support_prob_range_mean,all_prior_support_rate,all_prior_adverse_rate,prior_split_rate,ambiguous_visible_rate,flank_conflict_rate,both_flanks_rate,between_train_runs_rate,e72_active_rate,expected_delta_global,support_mean_global,support_swing_weighted_global,hard_support_rate_global,expected_delta_subject,support_mean_subject,support_swing_weighted_subject,hard_support_rate_subject,expected_delta_nearest_beta,support_mean_nearest_beta,support_swing_weighted_nearest_beta,hard_support_rate_nearest_beta,expected_delta_both_distance_beta,support_mean_both_distance_beta,support_swing_weighted_both_distance_beta,hard_support_rate_both_distance_beta,expected_delta_edge_endpoint_beta,support_mean_edge_endpoint_beta,support_swing_weighted_edge_endpoint_beta,hard_support_rate_edge_endpoint_beta,expected_delta_nearest_hard085,support_mean_nearest_hard085,support_swing_weighted_nearest_hard085,hard_support_rate_nearest_hard085,expected_delta_conflict_flat,support_mean_conflict_flat,support_swing_weighted_conflict_flat,hard_support_rate_conflict_flat,expected_delta_focus_mean,support_mean_focus_mean,support_swing_weighted_focus_mean,hard_support_rate_focus_mean,expected_delta_flank_mean,support_mean_flank_mean,support_swing_weighted_flank_mean,hard_support_rate_flank_mean,expected_delta_visible_mean,support_mean_visible_mean,support_swing_weighted_visible_mean,hard_support_rate_visible_mean
all_moved,904,193,"Q1,Q2,Q3,S1,S2,S3,S4",0.00109592808478776,5.831957756260338e-06,0.24288726652851128,0.37258343225873547,0.13495575221238937,0.3053097345132743,0.5597345132743363,0.06637168141592921,0.2688053097345133,0.8196902654867256,0.8196902654867256,0.2688053097345133,-0.00013174270623654178,0.4831293018682399,0.4702047753612729,0.4723451327433628,-2.1099071427104265e-05,0.4139128348862878,0.36924592929714906,0.3440265486725664,5.3213853835919104e-06,0.39246106396548974,0.3451380912214301,0.336283185840708,-3.2910065385086858e-06,0.40022437298907154,0.3529966286945057,0.3307522123893805,5.208186003586497e-06,0.3935672586557552,0.34524138210481625,0.3396017699115044,-8.605229609715955e-06,0.3946902654867256,0.3578456905489945,0.3495575221238938,-4.130298965530193e-06,0.40089559157271204,0.3537624567070108,0.46349557522123896,-5.381566909112064e-05,0.4305774674137511,0.3990987984024722,0.3396017699115044,7.770664707848792e-07,0.3967870717957572,0.34928463968194073,0.32964601769911506,-2.2619820198603223e-05,0.41126866991775457,0.3706335648478828,0.3307522123893805
top1_swing,1,1,S1,5.831957756260338e-06,5.831957756260338e-06,0.038461538461538436,0.2793162393162394,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4418941495227264e-06,0.3177777777777778,0.3177777777777778,0.0,4.687506658928797e-08,0.0625,0.0625,0.0,1.6837418651137858e-07,0.04166666666666663,0.04166666666666663,0.0,1.870663588070847e-07,0.038461538461538436,0.038461538461538436,0.0,1.6837418651137858e-07,0.04166666666666663,0.04166666666666663,0.0,-4.634212370834918e-07,0.15000000000000002,0.15000000000000002,0.0,1.870663588070847e-07,0.038461538461538436,0.038461538461538436,0.0,-6.194801066723093e-07,0.17675925925925917,0.17675925925925917,0.0,1.777202726592316e-07,0.04006410256410253,0.04006410256410253,0.0,-1.6393703276857181e-07,0.09864774114774111,0.0986477411477411,0.0
top4_e95_edge,4,4,"Q3,S1",1.939105676195335e-05,5.831957756260338e-06,0.19622252747252747,0.39572191697191694,0.0,0.25,0.75,0.0,0.25,1.0,1.0,0.75,-5.541358394922499e-06,0.5294444444444445,0.5151202485721507,0.75,-1.9702989743647717e-06,0.35044642857142855,0.3309601244285092,0.0,-1.3414796778693705e-06,0.3169642857142857,0.298531809447286,0.25,-1.1181911971388167e-06,0.30503949175824174,0.28701678561585353,0.25,-1.3414796778693705e-06,0.3169642857142857,0.298531809447286,0.25,-1.6331369983965233e-06,0.32499999999999996,0.31357262563938776,0.25,-8.107163231539842e-07,0.28807520604395603,0.2711602555793822,0.25,-3.0482647892279295e-06,0.40163029100529096,0.38655099954668254,0.25,-1.1529667190078855e-06,0.30676081730769234,0.288810165022452,0.25,-1.9652373205307624e-06,0.34741916317809174,0.33069909410426507,0.25
top8_swing,8,8,"Q3,S1,S4",3.5937642040753074e-05,5.831957756260338e-06,0.13969585969585968,0.38072080697080696,0.0,0.375,0.625,0.0,0.125,1.0,1.0,0.625,-1.101481421285814e-05,0.48916666666666664,0.4856606528243355,0.625,-2.949214297127903e-06,0.2655911796536797,0.26122745527108776,0.0,-1.3303175939615617e-06,0.2187274531024531,0.2161800728821563,0.125,-1.0968813369816473e-06,0.21214159461861667,0.20968448097005485,0.125,-1.3303175939615617e-06,0.2187274531024531,0.2161800728821563,0.125,-2.1238078929667934e-06,0.23750000000000002,0.23825971567300547,0.125,-7.894064629968148e-07,0.20365945176147382,0.2011286922058349,0.125,-5.3626121343176106e-06,0.33075261544011536,0.32838260792280954,0.125,-1.1367307469753961e-06,0.2133139881462492,0.2107933297350506,0.125,-2.94782277012206e-06,0.263644828415049,0.26118873467266157,0.125
top16_swing,16,16,"Q1,Q3,S1,S2,S3,S4",6.698249677134261e-05,5.831957756260338e-06,0.14611061126837993,0.37597272206495347,0.0,0.5,0.5,0.0,0.1875,0.875,0.875,0.375,-1.716981188497354e-05,0.4329166666666667,0.4347452481114288,0.375,-3.3623265316278392e-06,0.22887247679005082,0.22860952581251004,0.0625,-3.577505399923051e-06,0.2359149845267005,0.2318219899436959,0.125,-2.0009796191858562e-06,0.21036015162164123,0.20828560571306676,0.125,-3.577505399923051e-06,0.2359149845267005,0.2318219899436959,0.125,-9.267725623358791e-06,0.325,0.3167728427442474,0.25,-2.1468040660141985e-06,0.21347465075886762,0.21046265873224793,0.1875,-9.933288013320055e-06,0.32892971448557246,0.32670920555606203,0.1875,-2.825698621261539e-06,0.22391619285847747,0.22059806108317662,0.125,-5.8718083607151915e-06,0.2689219878415182,0.26607426585727045,0.125
top32_expected_flip,32,29,"Q1,Q2,Q3,S1,S2,S3,S4",0.00012237381655897831,5.831957756260338e-06,0.132055225212289,0.34767337456095365,0.0,0.65625,0.34375,0.0,0.125,0.78125,0.78125,0.375,-3.0728863910082206e-05,0.4236805555555556,0.425997437453286,0.21875,-6.320157704504434e-06,0.2252559681716367,0.22653723516553645,0.0625,-3.5440493033532603e-06,0.20225397878109114,0.20385175816390003,0.0625,-3.1751847371664468e-06,0.19997874998232773,0.20083751396886804,0.0625,-3.5440493033532603e-06,0.20225397878109114,0.20385175816390003,0.0625,-1.0529734727956073e-05,0.259375,0.26093656291243905,0.15625,-4.299410473890887e-06,0.21001814240808384,0.21002432997523665,0.125,-1.5859585447514234e-05,0.3027705079090641,0.3044904118437538,0.125,-3.640673454440964e-06,0.20362621248814847,0.2046413400679762,0.0625,-8.87735002290094e-06,0.24611662481139804,0.24743379940045238,0.0625
top32_expected_benefit,32,27,"Q1,Q3,S1,S3,S4",9.65115604730476e-05,5.831957756260338e-06,0.2323176431645967,0.4802581788308682,0.03125,0.21875,0.75,0.0625,0.1875,0.75,0.75,0.375,-2.7429762631618173e-05,0.4745138888888889,0.46835651753767304,0.46875,-8.669030802292448e-06,0.29631073267137986,0.27396807601449447,0.125,-1.724576708315675e-05,0.4162904884475866,0.36283552607773834,0.34375,-1.0855817935370017e-05,0.33712256455810524,0.2966263681647728,0.34375,-1.724576708315675e-05,0.4162904884475866,0.36283552607773834,0.34375,-3.322458510227741e-05,0.609375,0.5283992983429584,0.65625,-1.1244668828895089e-05,0.3438183707455382,0.30065542843091225,0.4375,-2.3107792845396006e-05,0.46006654052008955,0.4235746306317086,0.5625,-1.4148005232644654e-05,0.3783804780497042,0.3307382121877904,0.34375,-1.798791420953809e-05,0.4133887905370123,0.3705252486637554,0.34375
between_train_runs,741,156,"Q1,Q2,Q3,S1,S2,S3,S4",0.000916187724597232,5.831957756260338e-06,0.24508567436281822,0.36904318776659556,0.14304993252361672,0.300944669365722,0.5560053981106613,0.07017543859649122,0.32793522267206476,1.0,1.0,0.26720647773279355,-0.00011161318926949754,0.4856830109461688,0.47318882487112174,0.48043184885290147,-2.0547130871489032e-05,0.4202678771886209,0.3737921008667237,0.3468286099865047,1.3731700396424046e-05,0.3939887512341594,0.33637746372673966,0.34143049932523617,-8.368811231628376e-07,0.404992815663236,0.35227876989845397,0.33873144399460187,1.3618501016418632e-05,0.39533827889947654,0.33650101851465736,0.34547908232118757,1.6749376411194408e-05,0.3890013495276653,0.3330837326127401,0.34143049932523617,-1.6761735501843458e-06,0.40581168421871644,0.3531948402675374,0.5006747638326585,-3.847031457659737e-05,0.43165074588748503,0.3933548861168618,0.33873144399460187,6.209286684873872e-06,0.4000328825038971,0.3445880231018471,0.33738191632928477,-1.2939113855756675e-05,0.4135833953825777,0.36548810725113917,0.34143049932523617
not_e72_active,661,193,"Q1,Q2,Q3,S1,S2,S3,S4",0.000785318059851251,5.831957756260338e-06,0.24223140746792518,0.37283197862630557,0.13010590015128592,0.31164901664145234,0.5582450832072617,0.06202723146747353,0.2708018154311649,0.8214826021180031,0.8214826021180031,0.0,-9.892977713125383e-05,0.48684484787359217,0.47370046784292313,0.48411497730711045,-1.0063204436981565e-05,0.41075853220067365,0.36054049198409116,0.3267776096822995,7.465217765473747e-06,0.38881632857755455,0.33822033522394307,0.3313161875945537,-5.249576323721942e-07,0.39826038846095907,0.3483947802116967,0.3177004538577912,7.602749005132794e-06,0.3893206150122494,0.33804520714948477,0.3328290468986384,-6.109538890684467e-06,0.3914523449319213,0.3555060151925528,0.34493192133131617,-1.1084793135221512e-07,0.3986402338558891,0.3478674655831519,0.4508320726172466,-3.8367506819639934e-05,0.42968524166872907,0.3965823250065223,0.33434190620272314,3.6080403017205294e-06,0.39375939147666306,0.3431319470420692,0.32526475037821484,-1.4381479893148259e-05,0.4091561844161199,0.3660392518839777,0.3267776096822995
between_and_not_e72,543,156,"Q1,Q2,Q3,S1,S2,S3,S4",0.0006571577867344536,5.831957756260338e-06,0.24479952059364887,0.3685006461881115,0.143646408839779,0.30755064456721914,0.5488029465930019,0.06629834254143646,0.3296500920810313,1.0,1.0,0.0,-8.374207138900087e-05,0.49018211581747495,0.4798687986078597,0.4990791896869245,-1.186869278441133e-05,0.41852939152134794,0.3704987507206658,0.3333333333333333,1.1592258869957412e-05,0.39074457900072673,0.33479811363173956,0.3333333333333333,-4.859457654235713e-07,0.4039256022493914,0.3531775726889014,0.3259668508287293,1.172979010961646e-05,0.391358452542777,0.3345888317173572,0.3351749539594843,1.1868479383036831e-05,0.38462246777163905,0.3343777876177209,0.3351749539594843,-7.183606440359251e-08,0.40438799231577954,0.3525474200689686,0.4880294659300184,-2.7914094930125102e-05,0.4311113250368206,0.39491511231541554,0.3296500920810313,5.691066787436674e-06,0.3976041565271687,0.3437779845267417,0.3314917127071823,-8.711145377232672e-06,0.4119643716027338,0.3656938964361733,0.3351749539594843
