selector,rows,selected_cells,selected_s3_cells,selected_q2_cells,pass_rows,dominates_e101,mean_better_rows,mean_p95_better_but_beat_worse_rows,scale1_mean_vs_e95,scale1_p95_vs_e95,scale1_beat,best_mean_scale,best_mean_vs_e95,best_mean_p95_vs_e95,best_mean_beat,best_pass_scale,best_pass_mean_vs_e95,best_pass_p95_vs_e95,best_pass_beat,edge_support_mean,edge_expected_delta_basis
active_all,7,50,39,11,6,0,3,3,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,2.0,-2.9942366768145188e-05,-2.4969429703519638e-06,0.9779837775202781,1.5,-2.3425065038646862e-05,-2.1589024694917964e-06,0.9808806488991889,0.5917905423732492,3.0144465355723137e-06
flip_benefit_best_top45,7,45,39,6,6,0,3,3,-1.6014353811076126e-05,-1.3508417182507562e-06,0.9785631517960602,2.0,-2.957807576966768e-05,-2.078128457038574e-06,0.973638470451912,1.5,-2.3160858891255903e-05,-1.8392206641947563e-06,0.9765353418308227,0.6075175312017418,2.230468209840713e-06
flip_benefit_best_top40,7,40,39,1,6,0,3,1,-1.5761947969810696e-05,-1.219496391781683e-06,0.973638470451912,2.0,-2.914027434264589e-05,-1.6907547732007508e-06,0.9690034762456546,1.5,-2.2798453721390738e-05,-1.537695799877258e-06,0.9716106604866744,0.6148624740964966,8.696508357674859e-07
active_s3_all,7,39,39,0,6,0,3,1,-1.57277187314601e-05,-1.1945263639024126e-06,0.9733487833140209,2.0,-2.912442808986334e-05,-1.593871449628072e-06,0.9687137891077636,1.5,-2.275588567874507e-05,-1.4904587421891122e-06,0.9710312862108922,0.6080951560274868,1.0736737329172583e-06
flip_benefit_best_top35,7,35,35,0,6,0,3,0,-1.4894385673685921e-05,-4.975984939052741e-07,0.9623406720741599,2.0,-2.7586211118793054e-05,-5.212592432783578e-07,0.955388180764774,1.5,-2.157252380585543e-05,-5.558968917997201e-07,0.9594438006952491,0.6260163782988704,7.030099484896568e-07
near_edge_first_top45,7,45,36,9,6,0,3,0,-1.4420968561042119e-05,-1.0134575789593628e-06,0.973638470451912,2.0,-2.6632348375379785e-05,-1.3384064674684338e-06,0.9672653534183082,1.5,-2.084609014693497e-05,-1.2540048327269312e-06,0.97045191193511,0.5874215595653338,2.8238338054513306e-06
flip_x_edge_support_best_top45,7,45,35,10,6,0,3,0,-1.3810111192862213e-05,-8.538722728496047e-07,0.9707415990730012,2.0,-2.548626574265255e-05,-9.76835289158685e-07,0.9632097334878331,1.5,-1.9923348164231642e-05,-1.0613088509408978e-06,0.9678447276940904,0.6442583864370037,6.336646963912267e-07
subject_expected_best_top45,7,45,36,9,6,0,3,0,-1.377209033682522e-05,-7.653034110318143e-07,0.9669756662804172,2.0,-2.5394877504680143e-05,-8.248461496615912e-07,0.959154113557358,1.5,-1.9846137919851276e-05,-8.559420386803424e-07,0.9643684820393974,0.6262989122638247,-8.822722160523164e-07
edge_expected_best_top45,7,45,34,11,6,0,2,0,-1.2442728848233867e-05,-2.2218719535106278e-07,0.955388180764774,2.0,-2.307156761580607e-05,3.254497621710508e-07,0.9458285052143685,1.5,-1.796146150454933e-05,-5.544498149771401e-08,0.9501738122827347,0.6267975132636787,-3.538132400157573e-06
near_edge_first_top40,7,40,32,8,5,0,2,0,-1.1678131425049423e-05,-1.1802113005984435e-07,0.9539397450753186,2.0,-2.1529545155492976e-05,3.111051089861894e-07,0.9426419466975666,1.25,-1.4299045396539446e-05,-3.663535566399444e-08,0.951332560834299,0.603838193969773,1.1252331945278415e-06
subject_expected_best_top40,7,40,33,7,4,0,2,0,-1.1897089509085695e-05,-4.405281497813379e-08,0.9516222479721901,2.0,-2.1945369071297013e-05,5.573337424885091e-07,0.9400347624565469,1.0,-1.1897089509085695e-05,-4.405281497813379e-08,0.9516222479721901,0.6469064639412384,-1.6790269797902293e-06
edge_support_best_top45,7,45,34,11,3,0,1,0,-1.0203074825601624e-05,5.095256492616504e-08,0.947856315179606,2.0,-1.84195401590852e-05,8.411660852953738e-07,0.9325028968713789,0.75,-7.841741109020827e-06,-4.511912968823667e-08,0.9524913093858632,0.6485793740913248,-2.240868916637451e-07
