source,context_variant,semantic_family,semantic_k,coarse_family,coarse_k,mode,folds,pred_rate_r2_mean,pred_rate_r2_std,pred_rate_r2_min,oracle_rate_r2_mean,semantic_acc_mean,semantic_logloss_mean,stress_pass
two_level_proto,past_label,label_rate,10,raw_mean,8,context_plus_true_coarse_train,4,0.026047387068996397,0.1141667595484133,-0.0778886776640561,0.34711848881834734,0.32787698412698413,2.1950686520285525,True
semantic_proto,strict_surround,hybrid_oracle,10,none,0,direct,4,0.092777593200022,0.027918093930216104,0.0692024976212776,0.0030455282534353756,0.5601966873706004,2.249501493161855,False
semantic_proto,strict_labelonly,hybrid_oracle,10,none,0,direct,4,0.08657366100406842,0.04384392226712272,0.0224161986191107,0.0030455282534353756,0.6779244306418218,1.3402498588857559,False
semantic_proto,strict_prior,label_state,10,none,0,direct,4,0.06529115148797959,0.06461376198515884,-0.0248968602827557,0.22595301077532876,0.25033643892339547,3.4006237052376846,False
semantic_proto,strict_prior,hybrid_oracle,10,none,0,direct,4,0.06505411774046133,0.030290022639181784,0.0227745189794389,0.0030455282534353756,0.6573757763975154,1.2571825785430182,False
semantic_proto,strict_labelonly,mean_latent,10,none,0,direct,4,0.06439127788500808,0.0809484608844131,0.0051666547408083,0.03077638184174515,0.643840579710145,1.0825260183791687,False
semantic_proto,strict_surround,mean_latent,6,none,0,direct,4,0.05991897998721117,0.091456925502701,-0.0657190699134375,-0.04017331790449025,0.7441252587991718,1.4086783650032082,False
semantic_proto,strict_labelonly,label_state,8,none,0,direct,4,0.0578699481639728,0.1645084617603423,-0.178823670608383,0.18876416687241282,0.3813146997929606,2.2765739049806664,False
semantic_proto,strict_labelonly,label_state,10,none,0,direct,4,0.05419032076040042,0.16100897860736124,-0.1791581029446893,0.22595301077532876,0.29604037267080746,2.6793721393993852,False
semantic_proto,strict_surround,mean_latent,10,none,0,direct,4,0.05247460634534697,0.11144222919717957,-0.0564569790535496,0.03077638184174515,0.6643892339544514,1.7078382626764517,False
semantic_proto,strict_labelonly,label_state,6,none,0,direct,4,0.0462546679943726,0.14412281395159035,-0.1614595005671963,0.18081749479842774,0.4008281573498964,1.8637504715439035,False
semantic_proto,strict_labelonly,mean_latent,8,none,0,direct,4,0.045937247334432246,0.12578593027426424,-0.1381872567200934,0.003790678230825399,0.6797101449275362,0.9545186353247518,False
semantic_proto,strict_prior,label_state,8,none,0,direct,4,0.04440099838315997,0.09477678542402018,-0.0953637615213556,0.18876416687241282,0.35898033126293993,2.664328405876086,False
semantic_proto,strict_labelonly,modality_state,6,none,0,direct,4,0.031818838756038054,0.05606784644821686,-0.0505388653534792,-0.025000454408792575,0.7246635610766045,1.158110921946645,False
semantic_proto,strict_labelonly,mean_latent,6,none,0,direct,4,0.03054065586862967,0.060512688809708996,-0.0306689916138034,-0.04017331790449025,0.7342908902691512,0.8108326182725847,False
semantic_proto,strict_surround,hybrid_raw,8,none,0,direct,4,0.03009376956189695,0.0670822773037197,-0.0512221551613711,-0.07262525196884449,0.6130693581780537,2.2709485136803402,False
semantic_proto,strict_prior,label_state,6,none,0,direct,4,0.028593368257542773,0.08256895374906102,-0.0934317166026383,0.18081749479842774,0.4783385093167702,1.9342495182709252,False
two_level_proto,past_label,label_rate,10,hybrid_raw,4,context_plus_true_coarse_train,4,0.022316290723313374,0.13207198404812942,-0.1326324833109096,0.34711848881834734,0.3257936507936508,2.1965736419380386,False
two_level_proto,full_strict,label_rate,10,raw_mean,8,coarse_prob_only,4,0.020993127607092925,0.10003378078086601,-0.113175279078413,0.34711848881834734,0.24345238095238092,2.040768568825701,False
two_level_proto,past_label,label_rate,10,hybrid_raw,4,context_plus_coarse_prob,4,0.02002757028767148,0.1220269103064562,-0.1016759909691109,0.34711848881834734,0.3014880952380952,2.271052774252699,False
two_level_proto,past_label,label_rate,10,raw_mean,4,context_plus_true_coarse_train,4,0.017371965038872648,0.12241403038499749,-0.1201033714058561,0.34711848881834734,0.3530753968253968,2.204523991068838,False
two_level_proto,past_label,label_rate,10,none,0,direct_semantic,4,0.015667287923937748,0.11694876669906058,-0.1174543626968727,0.34711848881834734,0.329265873015873,2.166988669476521,False
two_level_proto,full_strict,label_rate,8,raw_mean,8,coarse_prob_only,4,0.011834669209646678,0.11557821972187794,-0.1329374032057408,0.3338681877355345,0.2865079365079365,1.786058160295967,False
two_level_proto,bidir_label,label_rate,8,none,0,direct_semantic,4,0.011437164395875724,0.11204957008718913,-0.1180953656833343,0.3338681877355345,0.3444444444444444,2.0700116093050385,False
two_level_proto,past_label,label_rate,10,raw_mean,4,context_plus_coarse_prob,4,0.011424552217944597,0.1291065090285477,-0.1332061600941771,0.34711848881834734,0.3530753968253968,2.224146766290784,False
two_level_proto,bidir_label,label_rate,8,raw_mean,4,context_plus_true_coarse_train,4,0.011306031642232928,0.10989868433491713,-0.1137401890722518,0.3338681877355345,0.33194444444444443,2.079956892354934,False
two_level_proto,bidir_label,label_rate,8,raw_mean,4,context_plus_coarse_prob,4,0.010568961186019549,0.10864258551173014,-0.1021253574178955,0.3338681877355345,0.3423611111111111,2.0629107914107876,False
semantic_proto,strict_prior,label_rate_only,6,none,0,direct,4,0.009519151129186176,0.08887915194127498,-0.072061744195037,0.28950495605334836,0.4273033126293996,2.437024420676912,False
two_level_proto,past_label,label_rate,10,raw_mean,8,context_plus_coarse_prob,4,0.007918620894136578,0.11039740127574213,-0.0994312819320031,0.34711848881834734,0.34037698412698414,2.2193891398762577,False
two_level_proto,bidir_label,label_rate,8,raw_mean,8,context_plus_true_coarse_train,4,0.007018136175460776,0.08587214332953402,-0.0937693057716431,0.3338681877355345,0.308234126984127,2.1050589206450065,False
semantic_proto,strict_labelonly,modality_state,8,none,0,direct,4,0.006787002730595602,0.05485962182597754,-0.0536062261191885,-0.055775840852661226,0.5939958592132506,1.2530285897782667,False
two_level_proto,past_label,label_rate,10,raw_mean,8,coarse_prob_only,4,0.006483922383827175,0.07542804346352737,-0.0716241217115294,0.34711848881834734,0.20148809523809522,2.051394148780281,False
semantic_proto,strict_prior,hybrid_raw,8,none,0,direct,4,0.006358655748776976,0.04284296306856633,-0.0568532663699319,-0.07262525196884449,0.6993788819875777,1.3097263145691715,False
semantic_proto,strict_prior,mean_latent,6,none,0,direct,4,0.005339148641191949,0.09717701881412905,-0.1205221206564475,-0.04017331790449025,0.7441252587991718,1.0265245598913681,False
semantic_proto,strict_labelonly,hybrid_oracle,6,none,0,direct,4,0.005087336968360973,0.09219316656648886,-0.0755383171983385,-0.02215843996838362,0.7496635610766046,0.855088398242217,False
