proxy_view,cosine,pearson,spearman,tv_distance,js_divergence,top20_overlap,truth_mass_in_pred_top20,pred_mass_in_truth_top20,top50_overlap,truth_mass_in_pred_top50,pred_mass_in_truth_top50,top100_overlap,truth_mass_in_pred_top100,pred_mass_in_truth_top100,top200_overlap,truth_mass_in_pred_top200,pred_mass_in_truth_top200,proxy_mass_on_e101_active,proxy_mass_on_q2s3
broad_tail_equal,0.9453881544724567,0.9357779537160481,0.9020532640693277,0.1736498060911793,0.03800232464194803,0.65,0.15087545425036814,0.16335932343224055,0.76,0.29396901160060784,0.31120886051672814,0.74,0.4494115298250185,0.46737442010104624,0.825,0.6559800990604718,0.6919423701330802,0.0,0.16961773156428428
broad_low_alpha,0.7808013620932579,0.7349886438524769,0.8471480243131276,0.32969249402393463,0.1036084183853725,0.3,0.09800944557713931,0.09748155154732585,0.54,0.22848704948578571,0.21245545863111928,0.57,0.36101893895804515,0.34904952473023143,0.57,0.5443486355402217,0.4992089850644471,0.12042076781910808,0.25040554651578906
broad_all_or_top50,0.5019854971746669,0.433020715370088,0.8367804151778255,0.36602877745291995,0.1443270640939065,0.3,0.06984242031890289,0.09532260394219433,0.46,0.1946486085705322,0.18184942558837774,0.62,0.3552765115238652,0.2948593706815127,0.605,0.5619718032715709,0.43373247024254047,0.24734723216313756,0.3748439993087791
broad,0.4106428778516989,0.35222839416502716,0.8417840449378204,0.4430527450908752,0.19822493490798676,0.3,0.06984242031890289,0.12347908778587706,0.48,0.19186263278488,0.21904799353870588,0.59,0.3552335464254111,0.3214082982289444,0.55,0.5226678379931851,0.4286565127181653,0.3549778026408452,0.5215444924156712
broad_q2s3,0.32375358757396944,0.2885943710620875,0.10850433316535732,0.8194874367447944,0.5086597188702039,0.4,0.08475321626070083,0.24850885266500825,0.36,0.17090486553096362,0.2984713672226089,0.24,0.189873324279065,0.35968432981445814,0.185,0.23915377391220047,0.3787566691272041,0.5848395189874573,1.0
