candidate_id,split,mode,rep,null_delta
full_qsleep,subject_oof,row,100,-0.00017901502743222775
full_qsleep,subject_oof,row,101,0.0006721316136056865
full_qsleep,subject_oof,row,102,0.00019048205589700107
full_qsleep,subject_oof,row,103,-0.0001325048478894031
full_qsleep,subject_oof,row,104,9.252435349194066e-05
full_qsleep,subject_oof,row,105,0.0002621693245427048
full_qsleep,subject_oof,row,106,-0.00030450384927183105
full_qsleep,subject_oof,row,107,-4.5466099873214816e-05
full_qsleep,subject_oof,row,108,0.0003646035597834052
full_qsleep,subject_oof,row,109,0.0002766521485775275
full_qsleep,subject_oof,row,110,0.0007743696584281423
full_qsleep,subject_oof,row,111,0.0007670890346874737
full_qsleep,subject_oof,row,112,0.00010396301045045853
full_qsleep,subject_oof,row,113,-0.00023876750329687724
full_qsleep,subject_oof,row,114,-0.000411995182756697
full_qsleep,subject_oof,row,115,2.8519073777433235e-05
full_qsleep,subject_oof,row,116,-0.0003292800260771278
full_qsleep,subject_oof,row,117,0.00029040922233047883
full_qsleep,subject_oof,row,118,0.0005180993639452014
full_qsleep,subject_oof,row,119,0.00045417983830575714
full_qsleep,subject_oof,row,120,0.0004596660048932222
full_qsleep,subject_oof,row,121,0.0005214828583577358
full_qsleep,subject_oof,row,122,0.0004998735111980679
full_qsleep,subject_oof,row,123,3.891629836383359e-05
full_qsleep,subject_oof,row,124,0.0008123343407114847
full_qsleep,subject_oof,row,125,0.000254014136156
full_qsleep,subject_oof,row,126,0.00022943199946168225
full_qsleep,subject_oof,row,127,0.00019029769952960685
full_qsleep,subject_oof,row,128,5.704275658457991e-05
full_qsleep,subject_oof,row,129,0.00013776277258026326
full_qsleep,subject_oof,row,130,-2.5279335621908317e-05
full_qsleep,subject_oof,row,131,-6.6220364093316775e-06
full_qsleep,subject_oof,row,132,-0.0002486682665840956
full_qsleep,subject_oof,row,133,0.000177391251332093
full_qsleep,subject_oof,row,134,0.0002350327661302387
full_qsleep,subject_oof,row,135,-8.637274943956719e-05
full_qsleep,subject_oof,row,136,1.95114977979971e-05
full_qsleep,subject_oof,row,137,0.00017604319425146286
full_qsleep,subject_oof,row,138,0.0003312626017211162
full_qsleep,subject_oof,row,139,0.0002281542772053502
full_qsleep,subject_oof,row,140,-0.00012623766491992594
full_qsleep,subject_oof,row,141,0.00013588234055661452
full_qsleep,subject_oof,row,142,-3.818519678322474e-05
full_qsleep,subject_oof,row,143,-0.0002618853328691939
full_qsleep,subject_oof,row,144,0.00022627079530535
full_qsleep,subject_oof,row,145,0.00065389181875386
full_qsleep,subject_oof,row,146,-6.660041702311048e-05
full_qsleep,subject_oof,row,147,0.00032444259042796464
full_qsleep,subject_oof,row,148,-9.898078747372363e-05
full_qsleep,subject_oof,row,149,0.0007246983209638902
full_qsleep,subject_oof,row,150,0.00039107355222478546
full_qsleep,subject_oof,row,151,-0.00023668784301145163
full_qsleep,subject_oof,row,152,-0.0006208709859187866
full_qsleep,subject_oof,row,153,-7.944185471076004e-05
full_qsleep,subject_oof,row,154,0.00023440965042098583
full_qsleep,subject_oof,row,155,0.00011576153019854374
full_qsleep,subject_oof,row,156,-0.0002508762738758774
full_qsleep,subject_oof,row,157,-0.00020545650617198596
full_qsleep,subject_oof,row,158,-0.000398786995927658
full_qsleep,subject_oof,row,159,0.00043515132768301434
full_qsleep,subject_oof,row,160,-0.00039979499403264285
full_qsleep,subject_oof,row,161,0.0001713182002168745
full_qsleep,subject_oof,row,162,0.00019945759884465453
full_qsleep,subject_oof,row,163,0.00040693655193235756
full_qsleep,subject_oof,row,164,-6.262319796312976e-05
full_qsleep,subject_oof,row,165,0.0001482952823229633
full_qsleep,subject_oof,row,166,-0.00037896540919335475
full_qsleep,subject_oof,row,167,0.0006244899501487433
full_qsleep,subject_oof,row,168,0.0003092227567933481
full_qsleep,subject_oof,row,169,0.00035759497080489755
full_qsleep,subject_oof,row,170,0.000535912552490192
full_qsleep,subject_oof,row,171,-8.171624348030093e-05
full_qsleep,subject_oof,row,172,0.0005357958687413067
full_qsleep,subject_oof,row,173,0.00026199551836703083
full_qsleep,subject_oof,row,174,9.2312994143251e-06
full_qsleep,subject_oof,row,175,-0.0003486231791715033
full_qsleep,subject_oof,row,176,0.00010946481802032171
full_qsleep,subject_oof,row,177,0.00013950533155338007
full_qsleep,subject_oof,row,178,8.506448894585183e-05
full_qsleep,subject_oof,row,179,8.629611743615762e-05
full_qsleep,subject_oof,row,180,-0.0006270270053349014
full_qsleep,subject_oof,row,181,-0.0001463238352398255
full_qsleep,subject_oof,row,182,-0.00010889631413935064
full_qsleep,subject_oof,row,183,-0.00026124806941074663
full_qsleep,subject_oof,row,184,1.5702999966338282e-05
full_qsleep,subject_oof,row,185,-0.0008526712522030078
full_qsleep,subject_oof,row,186,8.35549520405987e-05
full_qsleep,subject_oof,row,187,-0.0001082995445187418
full_qsleep,subject_oof,row,188,-3.2510487162129564e-05
full_qsleep,subject_oof,row,189,8.201983078337527e-05
full_qsleep,subject_oof,row,190,-9.496327577795949e-05
full_qsleep,subject_oof,row,191,0.00010091615295593215
full_qsleep,subject_oof,row,192,-9.507119918650275e-06
full_qsleep,subject_oof,row,193,-4.9405315721839926e-05
full_qsleep,subject_oof,row,194,0.0005514768054691865
full_qsleep,subject_oof,row,195,-4.873133753224845e-05
full_qsleep,subject_oof,row,196,-0.00022168935535438195
full_qsleep,subject_oof,row,197,-0.0003493775479677108
full_qsleep,subject_oof,row,198,-1.1584090081728782e-05
full_qsleep,subject_oof,row,199,0.0002632719716332277
full_qsleep,subject_oof,subject,0,-0.00039703978264338247
full_qsleep,subject_oof,subject,1,-0.0003198019130197238
full_qsleep,subject_oof,subject,2,-0.0005378335221959407
full_qsleep,subject_oof,subject,3,-0.000660128286502859
full_qsleep,subject_oof,subject,4,-0.00044783784978963403
full_qsleep,subject_oof,subject,5,-0.0009596267590314955
full_qsleep,subject_oof,subject,6,-0.0007824208309740177
full_qsleep,subject_oof,subject,7,-3.575644573439174e-05
full_qsleep,subject_oof,subject,8,-0.0005781229370345198
full_qsleep,subject_oof,subject,9,-0.0007786946132291028
full_qsleep,subject_oof,subject,10,-0.001018897214983383
full_qsleep,subject_oof,subject,11,-0.0007168931917935772
full_qsleep,subject_oof,subject,12,-0.0005950956857454504
full_qsleep,subject_oof,subject,13,-0.0008902561096792994
full_qsleep,subject_oof,subject,14,-0.0007038149240974345
full_qsleep,subject_oof,subject,15,-0.0005235876226652447
full_qsleep,subject_oof,subject,16,-0.00037206202085160456
full_qsleep,subject_oof,subject,17,-0.0002582671334732112
full_qsleep,subject_oof,subject,18,-0.0007404037524696427
full_qsleep,subject_oof,subject,19,-0.00035779547815195656
full_qsleep,subject_oof,subject,20,-0.0009487247411570365
full_qsleep,subject_oof,subject,21,-0.00015797288111574215
