pred_index,filter,tag,strategy,fallback,selector,target_scope,graft_alpha,n_scenarios,local_delta,mean_pred_delta,median_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate
2,broad_plausible,e101_control_a3f7c96f,control,,,,,3452,-2.7705869828476004e-05,5.033944904413055e-06,5.69397556289017e-07,2.6675888816097644e-05,3.129572555627938e-05,2.0344644904461583e-05,1.5880097556337544e-05,4.198658881614617e-05,4.660642555632791e-05,0.00028968713789107763
2,broad_q2s3,e101_control_a3f7c96f,control,,,,,368,-2.7705869828476004e-05,2.487548290270845e-05,2.4745330519484917e-05,3.1627423929364886e-05,3.3868519919841326e-05,4.018618290275698e-05,4.0056030519533445e-05,4.693812392941341e-05,4.917921991988985e-05,0.0
2,broad_not_q2s3,e101_control_a3f7c96f,control,,,,,3084,-2.7705869828476004e-05,2.666342445472489e-06,-1.3980542630944137e-06,2.233022547243166e-05,2.9791524375192787e-05,1.7977042445521016e-05,1.3912645736954113e-05,3.764092547248019e-05,4.510222437524131e-05,0.00032425421530479895
2,tight_plausible,e101_control_a3f7c96f,control,,,,,2790,-2.7705869828476004e-05,3.170313020004565e-06,-9.558169352672918e-07,2.519468968462264e-05,3.06766958997831e-05,1.8481013020053092e-05,1.4354883064781236e-05,4.050538968467117e-05,4.598739589983163e-05,0.00035842293906810036
2,near_unit_tail,e101_control_a3f7c96f,control,,,,,2354,-2.7705869828476004e-05,1.977582109812559e-06,-1.51430275767488e-06,1.7441640169073203e-05,2.987065510688572e-05,1.7288282109861087e-05,1.3796397242373647e-05,3.275234016912173e-05,4.518135510693425e-05,0.0004248088360237893
3,broad_plausible,e101_control_a85c4e39,control,,,,,3452,-2.6946089001889106e-05,-2.0916471251677766e-08,-1.1788709973002795e-06,1.3658398755600705e-05,1.618156907420849e-05,1.528978352879685e-05,1.4131829002748248e-05,2.896909875564923e-05,3.149226907425702e-05,0.023174971031286212
3,broad_q2s3,e101_control_a85c4e39,control,,,,,368,-2.6946089001889106e-05,-1.5310032569137685e-06,-1.3992320777342593e-06,1.0951365231476858e-05,1.3859313706243666e-05,1.3779696743134758e-05,1.3911467922314268e-05,2.6262065231525385e-05,2.917001370629219e-05,0.07336956521739131
3,broad_not_q2s3,e101_control_a85c4e39,control,,,,,3084,-2.6946089001889106e-05,1.5927546685586078e-07,-1.1209236127276126e-06,1.3854923280730506e-05,1.65496468669323e-05,1.546997546690439e-05,1.4189776387320915e-05,2.9165623280779035e-05,3.186034686698083e-05,0.017185473411154346
3,tight_plausible,e101_control_a85c4e39,control,,,,,2790,-2.6946089001889106e-05,-2.4951968440133097e-06,-2.997178162522948e-06,7.797262596010427e-06,1.0374070656605735e-05,1.2815503156035217e-05,1.2313521837525579e-05,2.3107962596058954e-05,2.5684770656654262e-05,0.028315412186379927
3,near_unit_tail,e101_control_a85c4e39,control,,,,,2354,-2.6946089001889106e-05,-3.577571354414221e-06,-3.935218131741306e-06,5.5304968952777185e-06,7.496952374757321e-06,1.1733128645634306e-05,1.1375481868307221e-05,2.0841196895326245e-05,2.280765237480585e-05,0.029736618521665252
