strategy,gate_class,mask_name,ranker,top_n,keep_factor,rollback_s3_cells,source_tag,source_family,source_projection_mode,all_minus_base,all_four,e154_submit,beats_e144_local,relaxed_structural_tol1e12,budget_ok,post101_ok,gate_strict_actionable,gate_cos95_resid025,gate_active_q2s3_not_more_than_e101,q2s3_delta95_l1,e101_active_delta95_l1,tail_equal_law_cosine,tail_equal_law_resid_ratio,post101_p95_vs_e95_e101_sensor,e72_plausible_gap_vs_e95,tag
s3_active_boundary_repair,all_four,top_s3_e101_3,s3_e101,3,0.25,3,e152_efe33e46,e138,e144_plus_orth_full,-1.2158049659705128e-05,True,True,True,True,True,True,True,True,True,0.0010765290008004193,0.0002715583507410413,0.9724001850977175,0.24081773737894216,-4.653086188939566e-06,-2.859820270717907e-06,e154_9f2e2e73
s3_active_boundary_repair,all_four,s3_e101_active,full,5,0.25,5,e152_efe33e46,e138,e144_plus_orth_full,-1.2153586834817709e-05,True,True,True,True,True,True,True,True,True,0.001071345826765049,0.00021972661038733966,0.9724001850977175,0.24081773737894216,-4.651512080089481e-06,-2.859820270717907e-06,e154_145ca297
s3_active_boundary_repair,all_four,top_s3_e101_2,s3_e101,2,0.1,2,e152_efe33e46,e138,e144_plus_orth_full,-1.2145034615884676e-05,True,True,True,True,True,True,True,True,True,0.0010694668136980044,0.00020093647971689335,0.9724001850977175,0.24081773737894216,-4.648495577347392e-06,-2.859820270717907e-06,e154_5f3e8c76
s3_active_boundary_repair,all_four,top_s3_e101_3,s3_e101,3,0.25,3,e152_50b3194b,e138,e144_plus_orth_full,-1.2142629304823238e-05,True,True,True,True,True,True,True,True,True,0.0010750308064009758,0.0002590964907341875,0.9723916826854706,0.24085452357525203,-4.645524667553896e-06,-2.845983221182657e-06,e154_d4039203
s3_active_boundary_repair,all_four,s3_e101_active,full,4,0.25,4,e152_50b3194b,e138,e144_plus_orth_full,-1.2138656895310795e-05,True,True,True,True,True,True,True,True,True,0.0010707910456435115,0.00021669888315954512,0.9723916826854706,0.24085452357525203,-4.644123535955092e-06,-2.845983221182657e-06,e154_c7204c7c
s3_active_boundary_repair,all_four,top_s3_e101_1,s3_e101,1,0.0,1,e152_83890456,e139,e144_plus_orth_full,-1.2138530084304655e-05,True,True,True,True,True,True,True,True,True,0.0010784058950565334,0.0004977152218978132,0.9712529384999136,0.24610871067800427,-4.62613289297369e-06,-1.8260194836021426e-06,e154_4fe9b135
s3_active_boundary_repair,all_four,top_s3_e101_3,s3_e101,3,0.1,3,e152_efe33e46,e138,e144_plus_orth_full,-1.2134292959875559e-05,True,True,True,True,True,True,True,True,True,0.0010643820389842642,0.00015008873257948974,0.9724001850977175,0.24081773737894216,-4.644706825555631e-06,-2.859820270717907e-06,e154_7dda52b2
s3_active_boundary_repair,all_four,top_s3_e101_2,s3_e101,2,0.1,2,e152_50b3194b,e138,e144_plus_orth_full,-1.2129608254807245e-05,True,True,True,True,True,True,True,True,True,0.001067964538471868,0.00018843381144311,0.9723916826854706,0.24085452357525203,-4.6409319374816585e-06,-2.845983221182657e-06,e154_93e04b8a
s3_active_boundary_repair,all_four,top_s3_e101_3,s3_e101,3,0.1,3,e152_50b3194b,e138,e144_plus_orth_full,-1.2118861095755662e-05,True,True,True,True,True,True,True,True,True,0.0010628768255629098,0.00013755668235352847,0.9723916826854706,0.24085452357525203,-4.637141244679868e-06,-2.845983221182657e-06,e154_6183cc59
s3_active_boundary_repair,all_four,s3_e101_active,full,5,0.0,5,e152_efe33e46,e138,e144_plus_orth_full,-1.2111643119872006e-05,True,True,True,True,True,True,True,True,True,0.0010493731657263386,2.34257058195908e-16,0.9724001850977175,0.24081773737894216,-4.63671786912063e-06,-2.859820270717907e-06,e154_a37b00e0
