target,model,rows,groups,oof_spearman,oof_mae,target_mean,target_std,feature_count,numeric_feature_count,cat_feature_count
y_action_health,extratrees,653,4,0.8522398699250547,0.04442167270238639,0.5007656967840735,0.1133090265739323,161,148,13
y_action_health,randomforest,653,4,0.8257170145282826,0.04876756838567176,0.5007656967840735,0.1133090265739323,161,148,13
y_bad_margin,randomforest,653,4,0.9942717111120202,0.0009637890162697139,0.0014950491071528934,0.003636380387487954,161,148,13
y_bad_margin,extratrees,653,4,0.9763412655119822,0.0011726225095908004,0.0014950491071528934,0.003636380387487954,161,148,13
y_q1_specificity,randomforest,653,4,0.9768854481341402,0.03591954448310356,0.2926638777417121,0.1184501527179629,161,148,13
y_q1_specificity,extratrees,653,4,0.9438057752586583,0.03874592022287518,0.2926638777417121,0.1184501527179629,161,148,13
y_risk_good,extratrees,653,4,0.8493526487249388,0.007769733523157826,-0.04769835467904817,0.05172855738646112,161,148,13
y_risk_good,randomforest,653,4,0.8074698077206701,0.008492064888610212,-0.04769835467904817,0.05172855738646112,161,148,13
y_visibility,extratrees,653,4,0.7491596919507938,6.9116947967057635e-06,4.1857215151744235e-05,1.6209618134858827e-05,161,148,13
y_visibility,randomforest,653,4,0.2315443428473504,7.955774120490889e-06,4.1857215151744235e-05,1.6209618134858827e-05,161,148,13
