probability_source,mean_delta_vs_e95,p_e101_beats_e95,p_e101_beats_by_5e_6,p_e101_matches_e95_edge,p_e101_worse_by_2e_5,p05_delta,p50_delta,p95_delta,mean_support_probability,expected_delta_sum,weighted_support_minus_subject
global_prior_y1,2.4463711147057447e-05,0.01649,0.004665,0.000185,0.64457,5.416069892187439e-06,2.435964670051614e-05,4.3910919966215164e-05,0.49800000000000005,2.447494222031102e-05,-0.13327845456964757
subject_prior_y1,3.900417752232064e-06,0.336655,0.15934,0.0122,0.03871,-1.0353802778459365e-05,3.704289454953772e-06,1.8871523595226498e-05,0.5876858135598737,3.92637595908892e-06,0.0
full_subject_prior_y1,4.463135102481069e-06,0.31695,0.146915,0.01079,0.046055,-9.993674871853784e-06,4.2514644842335145e-06,1.962872670450404e-05,0.5858466643765794,4.4442875123622705e-06,-0.003359185772211274
raw_plus_prior_y1,6.996584893611779e-06,0.238325,0.105785,0.0076,0.09295,-8.576127696194414e-06,6.788010542678644e-06,2.3290175844364544e-05,0.5794262159512763,7.010412250323707e-06,-0.020003127493530285
validation_gated_raw_y1,7.246390377166674e-06,0.23071,0.101005,0.00694,0.096715,-8.288576055732322e-06,7.015311320611658e-06,2.361302296982426e-05,0.5758354432271378,7.228540047532497e-06,-0.02141790920341199
