candidate_id,basename,source_path,contrast_policy_id,parent_policy_id,target,view_id,split,rep,block_scheme,label_mode,cv_group,rule,base_block_frac,delta_mode,scale,train_actual_delta,train_dominance,train_min_mode_dominance,train_selected_null_max,test_selected_blocks,test_selected_rows,test_null_mean_rate,test_null_max_rate,test_contrast_score,test_delta_mean,test_delta_p90_abs,test_delta_l1
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70_raw_s025,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_1f248446.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_1f248446.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_half,0.7,raw,0.25,-0.014723075500705285,0.9722222222222222,0.9583333333333334,0.9166666666666666,18,96,0.7366255144032922,0.9197530864197532,-0.029886018118584545,0.005197134813664018,0.02,1.7541934555510337
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70_raw_s050,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_711a4e72.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_711a4e72.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_half,0.7,raw,0.5,-0.014723075500705285,0.9722222222222222,0.9583333333333334,0.9166666666666666,18,96,0.7366255144032922,0.9197530864197532,-0.029886018118584545,0.010394269627328036,0.04,3.5083869111020674
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70_centered_s025,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_190257af.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_190257af.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_half,0.7,centered,0.25,-0.014723075500705285,0.9722222222222222,0.9583333333333334,0.9166666666666666,18,25,0.7366255144032922,0.9197530864197532,-0.029886018118584545,-0.0015730456820659243,4.402248275135148e-06,0.39326142051648105
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70_centered_s050,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_62a1ea7c.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_62a1ea7c.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_half,0.7,centered,0.5,-0.014723075500705285,0.9722222222222222,0.9583333333333334,0.9166666666666666,18,25,0.7366255144032922,0.9197530864197532,-0.029886018118584545,-0.0031460913641318485,8.804496550270296e-06,0.7865228410329621
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70_raw_s025,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_6e2c8394.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_6e2c8394.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_third,0.7,raw,0.25,-0.012807572629326525,0.9861111111111112,0.9583333333333334,0.9166666666666667,13,68,0.7542735042735041,0.9337606837606837,0.051006373623579584,0.003444557382993157,0.02,1.2034071926377758
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70_raw_s050,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_698ee75c.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_698ee75c.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_third,0.7,raw,0.5,-0.012807572629326525,0.9861111111111112,0.9583333333333334,0.9166666666666667,13,68,0.7542735042735041,0.9337606837606837,0.051006373623579584,0.006889114765986314,0.04,2.4068143852755517
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70_centered_s025,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_4282ab00.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_4282ab00.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_third,0.7,centered,0.25,-0.012807572629326525,0.9861111111111112,0.9583333333333334,0.9166666666666667,13,20,0.7542735042735041,0.9337606837606837,0.051006373623579584,-0.0013109069232278695,0.0,0.3277267308069674
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70_centered_s050,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_3ed48e9b.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_3ed48e9b.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_third_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_third,0.7,centered,0.5,-0.012807572629326525,0.9861111111111112,0.9583333333333334,0.9166666666666667,13,20,0.7542735042735041,0.9337606837606837,0.051006373623579584,-0.002621813846455739,0.0,0.6554534616139348
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50_raw_s025,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_c6e9e3a6.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_c6e9e3a6.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_half,0.5,raw,0.25,-0.01164190084108141,0.9861111111111112,0.9791666666666666,0.7301587301587301,13,69,0.5455840455840455,0.7435897435897434,0.20983752750748333,0.003590185925969286,0.02,1.2907297393271293
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50_raw_s050,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_8d3265d8.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_8d3265d8.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,contrast_half,0.5,raw,0.5,-0.01164190084108141,0.9861111111111112,0.9791666666666666,0.7301587301587301,13,69,0.5455840455840455,0.7435897435897434,0.20983752750748333,0.007180371851938572,0.04,2.5814594786542586
