basename,source_path,parent_basename,parent_source_path,parent_highrep_actual_mean,parent_highrep_actual_p90,parent_highrep_null_strict_rate,parent_highrep_p90_dominance,parent_highrep_mean_dominance,parent_highrep_worst_mode_p90_dominance,support_target_count,support_targets,support_feature_count,semantic_q,semantic_policy,semantic_scale,semantic_type,semantic_active_cells,semantic_kept_cells,semantic_kept_frac,semantic_l1_retained_frac,semantic_alignment_mean_active,semantic_alignment_mean_kept,semantic_alignment_p10_kept,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_70__s1_25_3535e82d.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_70__s1_25_3535e82d.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.7,keep_l1,1.25,semantic_censor,643,194,0.30171073094867806,0.5897246220838561,0.15817728411014778,1.3146589454189876,0.7776764824069945,146,194,0.017471726231085397,0.35,30.57552090439944,0.2797694179880828,0.7202305820119174,8.55409568810629,0.0,0.0,8.7646029921314,0.0,13.256822224161752,0.0,promote_candidate,True,False,-0.0009286138246096092,-0.0013435523074827376,-0.000430608385222049,1.0,-0.0051927114641789895
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_60__s1_25_136440d3.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_60__s1_25_136440d3.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_de5d9c5d.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_de5d9c5d.csv,-0.0007611038277911,-7.560917621505604e-05,0.0813953488372093,0.9186046511627908,0.9031007751937984,0.796875,3,Q1|S1|S3,19,0.6,keep_l1,1.25,semantic_censor,640,257,0.4015625,0.8519868550580688,0.16719808526702,1.135808882470533,0.49742960910829453,174,257,0.017476843841980932,0.35,30.58447672346663,0.26295873341987,0.73704126658013,8.04245526151228,0.0,0.0,8.589485261235007,0.0,13.952536200719344,0.0,promote_candidate,True,False,-0.0008939246621088656,-0.0013531349887252984,-0.00030207400169534595,0.9705882352941176,-0.010663189979159826
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_50__s1_25_edb9a10f.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_50__s1_25_edb9a10f.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.5,keep_l1,1.25,semantic_censor,643,322,0.5007776049766719,0.8853068907081838,0.15817728411014778,0.9548100885139036,0.280195908808092,198,322,0.026228919474804248,0.35,45.90060908090743,0.2824392302310477,0.7175607697689524,12.964132695947733,0.0,0.0,13.231473684244541,0.0,19.70500270071516,0.0,promote_candidate,True,False,-0.001134546004678101,-0.0018316808999994001,-0.00028742755708020633,0.9705882352941176,-0.009286114078061736
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__boost125_damp25__q0_70__s1_25_4a21ec1e.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__boost125_damp25__q0_70__s1_25_4a21ec1e.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.7,boost125_damp25,1.25,semantic_censor,643,643,1.0,0.7248342034634214,0.15817728411014778,0.15817728411014778,-1.1295142122074997,249,643,0.021474607455069045,0.35,37.58056304637081,0.27280507593268,0.7271949240673199,10.252168355458057,0.0,0.0,10.310086564587309,0.0,17.018308126325444,0.0,promote_candidate,True,False,-0.0009462522020234031,-0.0013861045591412535,-0.000283371306876487,1.0,-0.007439100080530503
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__anti_keep__q0_60__s1_25_f9f411a2.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__anti_keep__q0_60__s1_25_f9f411a2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.6,anti_keep,1.25,anti_control,643,258,0.401244167962675,0.41534829935289047,0.15817728411014778,-0.8003339687865618,-1.5225942210033092,176,258,0.012305492267217421,0.35,21.534611467630477,0.22216920051175854,0.7778307994882414,4.78432741309481,0.0,0.0,5.315968531806532,0.0,11.434315522729134,0.0,promote_candidate,True,False,-0.0007817120431813399,-0.0011395364565958796,-0.00028118381253041736,1.0,-0.007058183820038699
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_70__s1_00_8508531a.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_70__s1_00_8508531a.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.7,keep_l1,1.0,semantic_censor,643,194,0.30171073094867806,0.5287395546629534,0.15817728411014778,1.3146589454189876,0.7776764824069945,146,194,0.015664926307424103,0.35,27.41362103799218,0.27992268257034353,0.7200773174296565,7.6736943399215765,0.0,0.0,7.758236460291373,0.0,11.98169023777923,0.0,promote_candidate,True,False,-0.00080067941498586,-0.001176973257475181,-0.0002685936132291848,1.0,-0.004036760325701272
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_80__s1_25_f86e25c2.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_80__s1_25_f86e25c2.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.8,keep_l1,1.25,semantic_censor,643,130,0.20217729393468117,0.4251562032597144,0.15817728411014778,1.5416947954532478,1.1400956703208855,109,130,0.012596070285403771,0.35,22.043122999456592,0.2650932677934188,0.7349067322065813,5.843483508298216,0.0,0.0,6.051345732256634,0.0,10.148293758901744,0.0,promote_candidate,True,False,-0.0006365766489856702,-0.000981114266387802,-0.0002677471407732404,1.0,0.005031212627604059
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__boost125_damp25__q0_60__s1_25_821eba26.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__boost125_damp25__q0_60__s1_25_821eba26.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.6,boost125_damp25,1.25,semantic_censor,643,643,1.0,0.8321362336571401,0.15817728411014778,0.15817728411014778,-1.1295142122074997,249,643,0.024653636488925,0.35,43.14386385561875,0.26345927611688874,0.7365407238831112,11.366651140286915,0.0,0.0,11.842293452916216,0.0,19.93491926241561,0.0,promote_candidate,True,False,-0.0010079648435174229,-0.0016004010315945848,-0.00024833777663923085,0.9705882352941176,-0.00771450909414928
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__anti_damp25__q0_60__s1_25_922b7bce.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__anti_damp25__q0_60__s1_25_922b7bce.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.6,anti_damp25,1.25,anti_control,643,643,1.0,0.6203616687999252,0.15817728411014778,0.15817728411014778,-1.1295142122074997,249,643,0.018379407668670036,0.35,32.163963420172564,0.24310581883483043,0.7568941811651696,7.819246664234584,0.0,0.0,8.156212924219682,0.0,16.188503831718297,0.0,promote_candidate,True,False,-0.0008962329342081311,-0.0013343685548094198,-0.00023374314284934218,0.9705882352941176,-0.009433700228968167
submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_60__s1_25_ad737083.csv,analysis_outputs/submission_e326_semcensor_null_common_residual__src_human_regime_only__recipe_fami__keep_l1__q0_60__s1_25_ad737083.csv,submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,-0.0011850879889902,-0.0001092214223475,0.0930232558139534,0.9263565891472868,0.9031007751937984,0.8125,3,Q1|S1|S3,17,0.6,keep_l1,1.25,semantic_censor,643,258,0.401244167962675,0.7474691048635047,0.15817728411014778,1.1241735204599852,0.507190343686936,175,258,0.02214520994599511,0.35,38.75411740549143,0.26257244185207645,0.7374275581479237,10.175763238981942,0.0,0.0,11.06096469594924,0.0,17.51738947056025,0.0,promote_candidate,True,False,-0.0010238406216123248,-0.0015721196429729955,-0.00023292790511812467,0.9411764705882353,-0.0055451995876928395
