scenario,band,role,anchors,worlds,better_rate,max_delta,adverse_in_band,adverse_min_rank,adverse_max_rank
all,low_half,inverse7blend_1040,7,15,1.0,-2.461859097972654e-05,0,26,28
all,low_half,mixmin_0c916,7,15,1.0,-0.0005370960828407,0,26,28
all,low_half,pair_sensor_1bb,7,15,0.4,0.0023328880931438,0,26,28
all,low_half,pair_sensor_1bb_s0p65,7,15,0.4,0.0014848820015084,0,26,28
all,low_half,pair_sensor_6b,7,15,0.3333333333333333,0.0028177427190922,0,26,28
all,low_half_random_plus_fit,inverse7blend_1040,7,12,1.0,-2.461859097972654e-05,0,26,28
all,low_half_random_plus_fit,mixmin_0c916,7,12,1.0,-0.0005370960828407,0,26,28
all,low_half_random_plus_fit,pair_sensor_1bb,7,12,0.5,0.0004907685983111,0,26,28
all,low_half_random_plus_fit,pair_sensor_1bb_s0p65,7,12,0.5,0.0002875043298671,0,26,28
all,low_half_random_plus_fit,pair_sensor_6b,7,12,0.4166666666666667,0.0006149607566271,0,26,28
all,low_quarter,inverse7blend_1040,7,7,1.0,-3.527368882586863e-05,0,26,28
all,low_quarter,mixmin_0c916,7,7,1.0,-0.0005370960828407,0,26,28
all,low_quarter,pair_sensor_1bb,7,7,0.5714285714285714,0.0004907685983111,0,26,28
all,low_quarter,pair_sensor_1bb_s0p65,7,7,0.5714285714285714,0.0002875043298671,0,26,28
all,low_quarter,pair_sensor_6b,7,7,0.42857142857142855,0.0006149607566271,0,26,28
no_bad_jepa,low_half,inverse7blend_1040,4,14,1.0,-2.461859097972654e-05,0,27,28
no_bad_jepa,low_half,mixmin_0c916,4,14,1.0,-0.0005370960828407,0,27,28
no_bad_jepa,low_half,pair_sensor_1bb,4,14,0.42857142857142855,0.0023328880931438,0,27,28
no_bad_jepa,low_half,pair_sensor_1bb_s0p65,4,14,0.42857142857142855,0.0014848820015084,0,27,28
no_bad_jepa,low_half,pair_sensor_6b,4,14,0.35714285714285715,0.0028177427190922,0,27,28
no_bad_jepa,low_half_random_plus_fit,inverse7blend_1040,4,11,1.0,-2.461859097972654e-05,0,27,28
no_bad_jepa,low_half_random_plus_fit,mixmin_0c916,4,11,1.0,-0.0005370960828407,0,27,28
no_bad_jepa,low_half_random_plus_fit,pair_sensor_1bb,4,11,0.5454545454545454,0.0004907685983111,0,27,28
no_bad_jepa,low_half_random_plus_fit,pair_sensor_1bb_s0p65,4,11,0.5454545454545454,0.0002875043298671,0,27,28
no_bad_jepa,low_half_random_plus_fit,pair_sensor_6b,4,11,0.45454545454545453,0.0006149607566271,0,27,28
no_bad_jepa,low_quarter,inverse7blend_1040,4,7,1.0,-2.461859097972654e-05,0,27,28
no_bad_jepa,low_quarter,mixmin_0c916,4,7,1.0,-0.0005480183149896,0,27,28
no_bad_jepa,low_quarter,pair_sensor_1bb,4,7,0.5714285714285714,0.0004907685983111,0,27,28
no_bad_jepa,low_quarter,pair_sensor_1bb_s0p65,4,7,0.5714285714285714,0.0002875043298671,0,27,28
no_bad_jepa,low_quarter,pair_sensor_6b,4,7,0.42857142857142855,0.0006149607566271,0,27,28
no_medium_non_jepa,low_half,inverse7blend_1040,4,14,0.9285714285714286,6.0149446781226554e-05,0,18,29
no_medium_non_jepa,low_half,mixmin_0c916,4,14,1.0,-0.0003153376627865,0,18,29
no_medium_non_jepa,low_half,pair_sensor_1bb,4,14,0.35714285714285715,0.0023328880931438,0,18,29
no_medium_non_jepa,low_half,pair_sensor_1bb_s0p65,4,14,0.35714285714285715,0.0014848820015084,0,18,29
no_medium_non_jepa,low_half,pair_sensor_6b,4,14,0.2857142857142857,0.0028177427190922,0,18,29
no_medium_non_jepa,low_half_random_plus_fit,inverse7blend_1040,4,11,0.9090909090909091,6.0149446781226554e-05,0,18,29
no_medium_non_jepa,low_half_random_plus_fit,mixmin_0c916,4,11,1.0,-0.0003153376627865,0,18,29
no_medium_non_jepa,low_half_random_plus_fit,pair_sensor_1bb,4,11,0.45454545454545453,0.000268853376089,0,18,29
no_medium_non_jepa,low_half_random_plus_fit,pair_sensor_1bb_s0p65,4,11,0.45454545454545453,0.0001432594354227,0,18,29
no_medium_non_jepa,low_half_random_plus_fit,pair_sensor_6b,4,11,0.36363636363636365,0.0003143349195776,0,18,29
no_medium_non_jepa,low_quarter,inverse7blend_1040,4,7,1.0,-0.0001282540152646,0,18,29
no_medium_non_jepa,low_quarter,mixmin_0c916,4,7,1.0,-0.0005370960828407,0,18,29
