candidate_id,basename,source_path,policy_id,target,view_id,split,rep,block_scheme,label_mode,cv_group,block_frac,delta_mode,scale,train_actual_delta,train_dominance,train_min_mode_dominance,test_selected_rows,test_delta_mean,test_delta_p90_abs,test_delta_l1,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,public_free_submission_ready,final_decision
Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s050,submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s050_11303716.csv,analysis_outputs/submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s050_11303716.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,Q3,family_jepa_context,dateblock5,pc,subject_weekend,strong35,subject_cv,0.7,centered,0.5,-0.016740756494282416,0.8402777777777778,0.625,89,0.012879644489378837,0.04,3.219911122344709,promote_candidate,True,-0.00046927179946250585,-0.0005975247685533501,-0.0003141511233707986,1.0,-0.0067183696823245875,15,1.0,0.8,0.5333333333333333,0.6,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_bf70_centered_s050,submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_bf70_centered_s050_f6ca17d0.csv,analysis_outputs/submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_bf70_centered_s050_f6ca17d0.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv,Q3,family_jepa_context,dateblock5,pc,subject_weekday,strong35,subject_cv,0.7,centered,0.5,-0.013682708981415659,1.0,1.0,87,0.012050341504507948,0.04,3.012585376126987,promote_candidate,True,-0.00041106465518963876,-0.0005204379252591495,-0.00026858789749012473,1.0,-0.007348589313313225,15,1.0,0.26666666666666666,0.3333333333333333,0.2,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_bf70_raw_s050,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_bf70_0ebf52a3.csv,analysis_outputs/submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv_bf70_0ebf52a3.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,mean_good,dateblock_cv,0.7,raw,0.5,-0.014676205569045586,0.8055555555555556,0.6458333333333334,211,0.01945229141015624,0.04,7.819884941316682,promote_candidate,True,-0.0007956203968677919,-0.0014555979833788073,-0.0002399850768156555,0.9117647058823529,0.009205631319672058,15,1.0,0.7333333333333333,0.5333333333333333,0.6,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf70_raw_s050,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf70_ra_b3f307cb.csv,analysis_outputs/submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf70_ra_b3f307cb.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,0.7,raw,0.5,-0.014734683630404422,0.9375,0.8541666666666666,199,0.01881424288341966,0.04,7.418765281009392,promote_candidate,True,-0.0007491944166360459,-0.0013704785835756458,-0.00022654056625006638,0.9117647058823529,0.007785114822704997,15,1.0,0.8,0.4666666666666667,0.4,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_bf50_raw_s050,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_bf50_r_939ee787.csv,analysis_outputs/submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_bf50_r_939ee787.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,mean_good,subject_cv,0.5,raw,0.5,-0.017607255895929153,0.9791666666666666,0.9583333333333334,153,0.015626905263526007,0.04,5.652517160397581,promote_candidate,True,-0.0006310450180880043,-0.0011545897395054952,-0.00019008461525411068,0.9117647058823529,0.0056116704585089106,15,1.0,0.7333333333333333,0.4,0.6,False,blocked_by_matched_nulls
S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv_bf70_raw_s050,submission_e291_lifeblock_S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv_bf70_raw_s050_5bfd3711.csv,analysis_outputs/submission_e291_lifeblock_S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv_bf70_raw_s050_5bfd3711.csv,S4_raw_human_context_dateblock5_cluster6_subject_weekday_strong35_subject_cv,S4,raw_human_context,dateblock5,cluster6,subject_weekday,strong35,subject_cv,0.7,raw,0.5,-0.014015037377880013,0.8888888888888888,0.6875,175,0.014011913189994011,0.04,6.887743194196368,promote_candidate,True,-0.0005382696392800352,-0.0009795039403147079,-0.00017284520339737994,0.9117647058823529,0.0019054089679754194,15,1.0,0.5333333333333333,0.4666666666666667,0.2,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf50_raw_s050,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf50_ra_033dae98.csv,analysis_outputs/submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf50_ra_033dae98.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,strong35,subject_cv,0.5,raw,0.5,-0.014732944897266176,0.9375,0.8958333333333334,143,0.013344321599638201,0.04,5.348184349349625,promote_candidate,True,-0.0005159383130648177,-0.0009425341544644914,-0.00015985781225477314,0.9117647058823529,0.0022084319857539336,15,1.0,0.8,0.26666666666666666,0.6,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025,submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025_f0ca188e.csv,analysis_outputs/submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025_f0ca188e.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,Q3,family_jepa_context,dateblock5,pc,subject_weekend,strong35,subject_cv,0.7,centered,0.25,-0.016740756494282416,0.8402777777777778,0.625,89,0.0064398222446894185,0.02,1.6099555611723546,promote_candidate,True,-0.00022893510637846955,-0.0002909977972722749,-0.00015678121576291105,1.0,-0.009810082377121415,15,1.0,0.9333333333333333,0.7333333333333333,0.8,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_bf70_centered_s025,submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_bf70_centered_s025_2e5b2fed.csv,analysis_outputs/submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_bf70_centered_s025_2e5b2fed.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv,Q3,family_jepa_context,dateblock5,pc,subject_weekday,strong35,subject_cv,0.7,centered,0.25,-0.013682708981415659,1.0,1.0,87,0.006025170752253974,0.02,1.5062926880634935,promote_candidate,True,-0.00019688301065257528,-0.0002484582923116907,-0.00013398987164618909,1.0,-0.008049098977236935,15,1.0,0.5333333333333333,0.3333333333333333,0.2,False,blocked_by_matched_nulls
S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_bf35_raw_s050,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_bf35_r_dff295e2.csv,analysis_outputs/submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_bf35_r_dff295e2.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,S4,family_jepa_context,dateblock5,cluster6,subject_lifestyle_bin,mean_good,subject_cv,0.35,raw,0.5,-0.014382602498575037,0.9444444444444444,0.8958333333333334,102,0.011723146515408749,0.04,3.8102109576986507,promote_candidate,True,-0.000488843097094901,-0.0008994165292597283,-0.00013191070315772977,0.9411764705882353,0.004605877206877412,15,1.0,0.6,0.4666666666666667,0.6,False,blocked_by_matched_nulls
