pair,hidden_block_id,subject_id,context_type,block_len_bin,cells,rows,benefit_sum,risk_sum,expected_delta,swing_sum,targets,edge_like_rate
e166_vs_e95,id10_b2,id10,between_train_runs,11-16,10,5,2.2644567631024004e-05,0.0,-2.2644567631024004e-05,4.399535303605227e-05,S1,0.4
e166_vs_e95,id01_b2,id01,between_train_runs,11-16,13,6,2.216100005022745e-05,0.0,-2.216100005022745e-05,6.0042778561521993e-05,"Q1,S1",0.23076923076923078
e166_vs_e95,id06_b2,id06,between_train_runs,6-10,13,7,2.0622933772185412e-05,0.0,-2.0622933772185412e-05,7.272934953780815e-05,S1,0.6153846153846154
e166_vs_e95,id08_b10,id08,between_train_runs,3-5,10,4,1.7335853674124387e-05,0.0,-1.7335853674124387e-05,4.822181635886166e-05,"Q3,S1",1.0
e166_vs_e95,id05_b8,id05,between_train_runs,1-2,7,2,1.6536675346840434e-05,0.0,-1.6536675346840434e-05,3.9172534265480276e-05,"Q1,S2,S3",1.0
e166_vs_e95,id10_b4,id10,after_train_run,11-16,6,3,1.5874024013873922e-05,0.0,-1.5874024013873922e-05,2.7280098997152923e-05,S1,0.3333333333333333
e166_vs_e95,id03_b2,id03,between_train_runs,11-16,11,5,1.419654093497092e-05,0.0,-1.419654093497092e-05,5.2082322642505425e-05,"Q1,S1,S4",0.6363636363636364
e166_vs_e95,id06_b6,id06,between_train_runs,1-2,8,1,1.0734355020086035e-05,0.0,-1.0734355020086035e-05,3.4315333248173095e-05,"Q1,S1,S3,S4",1.0
e166_vs_e95,id03_b4,id03,after_train_run,6-10,8,6,1.010812674267982e-05,0.0,-1.010812674267982e-05,2.8570965980564712e-05,S4,0.5
e166_vs_e95,id06_b4,id06,between_train_runs,3-5,8,4,9.217598722285597e-06,0.0,-9.217598722285597e-06,3.187443732620683e-05,"S1,S3",0.75
e166_vs_e95,id05_b4,id05,between_train_runs,3-5,5,3,7.74843615762522e-06,0.0,-7.74843615762522e-06,1.7881288398618423e-05,S2,1.0
e166_vs_e95,id08_b6,id08,between_train_runs,1-2,6,2,7.4213075435195145e-06,0.0,-7.4213075435195145e-06,2.7023570599153025e-05,"Q2,Q3",1.0
e166_vs_e95,id09_b2,id09,between_train_runs,11-16,7,7,5.748707442389812e-06,0.0,-5.748707442389812e-06,2.492521757848676e-05,"S1,S2",0.14285714285714285
e166_vs_e95,id08_b2,id08,between_train_runs,1-2,4,2,5.705747200943507e-06,0.0,-5.705747200943507e-06,1.6668690184527623e-05,Q3,1.0
e166_vs_e95,id04_b12,id04,between_train_runs,3-5,5,3,5.36074083796279e-06,0.0,-5.36074083796279e-06,2.172276064898159e-05,S1,1.0
e166_vs_e95,id07_b4,id07,after_train_run,11-16,5,4,4.766387439960906e-06,0.0,-4.766387439960906e-06,2.0958089521859728e-05,"Q1,S1",0.6
e166_vs_e95,id07_b2,id07,between_train_runs,11-16,5,4,4.0800696762517465e-06,0.0,-4.0800696762517465e-06,1.830544840100588e-05,"Q1,S1,S2",0.2
e166_vs_e95,id06_b8,id06,between_train_runs,3-5,3,2,3.7377049240369767e-06,0.0,-3.7377049240369767e-06,1.1366813998410188e-05,"Q1,S1",1.0
e166_vs_e95,id06_b10,id06,after_train_run,6-10,3,2,3.351350730647975e-06,0.0,-3.351350730647975e-06,1.1159634557769448e-05,"S1,S4",1.0
e166_vs_e95,id08_b4,id08,between_train_runs,6-10,2,1,2.185091033340822e-06,0.0,-2.185091033340822e-06,4.865754260435134e-06,"Q1,S1",0.0
e166_vs_e95,id05_b6,id05,between_train_runs,1-2,1,1,1.4953807705158033e-06,0.0,-1.4953807705158033e-06,2.7209263474829198e-06,S1,1.0
e166_vs_e95,id08_b12,id08,between_train_runs,1-2,1,1,1.4708942078250523e-06,0.0,-1.4708942078250523e-06,3.1265823615672805e-06,S1,1.0
e166_vs_e95,id05_b10,id05,after_train_run,3-5,1,1,1.2701816192143977e-06,0.0,-1.2701816192143977e-06,2.6557656582845148e-06,S1,1.0
e166_vs_e95,id09_b4,id09,after_train_run,11-16,2,2,1.1449743442764353e-06,0.0,-1.1449743442764353e-06,7.285802839380041e-06,S2,0.0
e166_vs_e95,id08_b14,id08,after_train_run,1-2,1,1,1.109445603421934e-06,0.0,-1.109445603421934e-06,2.9229099220559213e-06,Q3,1.0
