view_id,split,rep,mode,null_rep,null_delta_mean
family_jepa_context,subject5,pc,row,0,0.007168578169575089
family_jepa_context,subject5,pc,row,1,0.011394975318599423
family_jepa_context,subject5,pc,row,2,0.013518019545800817
family_jepa_context,subject5,pc,row,3,0.009473270606971293
family_jepa_context,subject5,pc,row,4,0.010230627716588971
family_jepa_context,subject5,pc,row,5,0.008473969194079436
family_jepa_context,subject5,pc,row,6,0.007695288151081067
family_jepa_context,subject5,pc,row,7,0.004226546578293292
family_jepa_context,subject5,pc,row,8,0.004636481845643914
family_jepa_context,subject5,pc,row,9,0.00880734590246027
family_jepa_context,subject5,pc,row,10,0.014919892261798287
family_jepa_context,subject5,pc,row,11,0.010015681612447798
family_jepa_context,subject5,pc,subject,0,0.02918190840296277
family_jepa_context,subject5,pc,subject,1,0.0289442167429455
family_jepa_context,subject5,pc,subject,2,0.015546564562548834
family_jepa_context,subject5,pc,subject,3,0.02334847252411833
family_jepa_context,subject5,pc,subject,4,0.016949460792485587
family_jepa_context,subject5,pc,subject,5,0.013270057002690763
family_jepa_context,subject5,pc,subject,6,0.03226334914542016
family_jepa_context,subject5,pc,subject,7,0.03260244942036599
family_jepa_context,subject5,pc,subject,8,0.03175753265957802
family_jepa_context,subject5,pc,subject,9,0.015494373525586707
family_jepa_context,subject5,pc,subject,10,0.016398277963723902
family_jepa_context,subject5,pc,subject,11,0.012715209972026274
family_jepa_context,subject5,pc,dateblock,0,0.02493206900052482
family_jepa_context,subject5,pc,dateblock,1,0.03828852564199232
family_jepa_context,subject5,pc,dateblock,2,0.03789418690147687
family_jepa_context,subject5,pc,dateblock,3,0.03856713717739387
family_jepa_context,subject5,pc,dateblock,4,0.030096489732939134
family_jepa_context,subject5,pc,dateblock,5,0.05050455670785592
family_jepa_context,subject5,pc,dateblock,6,0.03776095837150607
family_jepa_context,subject5,pc,dateblock,7,0.03511123388951819
family_jepa_context,subject5,pc,dateblock,8,0.021924907201949204
family_jepa_context,subject5,pc,dateblock,9,0.030379555354309855
family_jepa_context,subject5,pc,dateblock,10,0.011854076774172924
family_jepa_context,subject5,pc,dateblock,11,0.03503030662400327
family_jepa_context,subject5,cluster6,row,0,0.0069762091461420695
family_jepa_context,subject5,cluster6,row,1,0.005493236468868901
family_jepa_context,subject5,cluster6,row,2,0.00923402245630099
family_jepa_context,subject5,cluster6,row,3,0.009165645921048167
family_jepa_context,subject5,cluster6,row,4,0.00861065405344162
family_jepa_context,subject5,cluster6,row,5,0.005970921748610755
family_jepa_context,subject5,cluster6,row,6,0.010676897036215835
family_jepa_context,subject5,cluster6,row,7,0.01118299230784016
family_jepa_context,subject5,cluster6,row,8,0.012651819820412842
family_jepa_context,subject5,cluster6,row,9,0.010378182821754987
family_jepa_context,subject5,cluster6,row,10,0.005279535656667944
family_jepa_context,subject5,cluster6,row,11,0.005895910669166361
family_jepa_context,subject5,cluster6,subject,0,0.008636409498070494
family_jepa_context,subject5,cluster6,subject,1,0.009581078652067762
family_jepa_context,subject5,cluster6,subject,2,0.004617551059971985
family_jepa_context,subject5,cluster6,subject,3,0.004720955360737974
family_jepa_context,subject5,cluster6,subject,4,0.007245287415125217
family_jepa_context,subject5,cluster6,subject,5,0.003011382510694819
family_jepa_context,subject5,cluster6,subject,6,0.007766330200093208
family_jepa_context,subject5,cluster6,subject,7,0.00870601463524385
family_jepa_context,subject5,cluster6,subject,8,0.006343385278434287
family_jepa_context,subject5,cluster6,subject,9,0.005638608819383844
family_jepa_context,subject5,cluster6,subject,10,0.00624765264783443
family_jepa_context,subject5,cluster6,subject,11,0.003050584565555308
family_jepa_context,subject5,cluster6,dateblock,0,0.005412848617049858
family_jepa_context,subject5,cluster6,dateblock,1,0.010472268307984756
family_jepa_context,subject5,cluster6,dateblock,2,0.005040231337071798
family_jepa_context,subject5,cluster6,dateblock,3,0.0053979705650691245
family_jepa_context,subject5,cluster6,dateblock,4,0.009780056366626886
family_jepa_context,subject5,cluster6,dateblock,5,0.008262081758967905
family_jepa_context,subject5,cluster6,dateblock,6,0.011038251033912205
family_jepa_context,subject5,cluster6,dateblock,7,0.009030235944814256
family_jepa_context,subject5,cluster6,dateblock,8,0.00931292758684954
family_jepa_context,subject5,cluster6,dateblock,9,0.0075563503410284805
family_jepa_context,subject5,cluster6,dateblock,10,0.008290970002389098
family_jepa_context,subject5,cluster6,dateblock,11,0.012139647632736308
family_jepa_context,dateblock5,pc,row,0,0.0062803348906052625
family_jepa_context,dateblock5,pc,row,1,0.005326739665012832
family_jepa_context,dateblock5,pc,row,2,0.01218714712738895
family_jepa_context,dateblock5,pc,row,3,0.009902830927885227
family_jepa_context,dateblock5,pc,row,4,0.013848515513273945
family_jepa_context,dateblock5,pc,row,5,0.013622338959687468
family_jepa_context,dateblock5,pc,row,6,0.009434781910390868
