name,file,role,public_lb,public_delta_vs_mixmin,view,predicted_delta,error,abs_error,neighbor_indices
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,0.577439321,0.0011326804999999274,subject,0.0010278878432715191,-0.00010479265672840824,0.00010479265672840824,"1,0,2"
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,0.5775263072,0.001219666699999955,subject,0.001072075334027337,-0.00014759136597261796,0.00014759136597261796,"1,2,0"
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,0.5779449757,0.0016383352000000073,subject,0.0008014293657095898,-0.0008369058342904176,0.0008369058342904176,"2,0,1"
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,0.5783033652,0.0019967247000000077,subject,0.001577233461275216,-0.0004194912387247916,0.0004194912387247916,"0,3,5"
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,0.5784273528,0.002120712299999994,subject,0.0019521576855356896,-0.00016855461446430432,0.00016855461446430432,"4,0,6"
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,0.5798012862,0.003494645700000021,subject,0.000987208627026894,-0.002507437072973127,0.002507437072973127,"3,0,2"
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,0.5802468192,0.003940178699999963,subject,0.0028862438597273706,-0.0010539348402725927,0.0010539348402725927,"3,5,7"
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,0.5812273278,0.0049206872999999485,subject,0.002422981700248832,-0.0024977055997511166,0.0024977055997511166,"6,3,4"
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,0.5763066405,0.0,subject_calendar,0.0013516204396183142,0.0013516204396183142,0.0013516204396183142,"2,1,0"
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,0.577439321,0.0011326804999999274,subject_calendar,0.0010651780146893961,-6.750248531053123e-05,6.750248531053123e-05,"1,0,2"
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,0.5775263072,0.001219666699999955,subject_calendar,0.00106642078695052,-0.0001532459130494351,0.0001532459130494351,"1,2,0"
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,0.5779449757,0.0016383352000000073,subject_calendar,0.0007624952910214059,-0.0008758399089786014,0.0008758399089786014,"2,0,1"
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,0.5783033652,0.0019967247000000077,subject_calendar,0.0015825503102013993,-0.00041417438979860833,0.00041417438979860833,"0,3,5"
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,0.5784273528,0.002120712299999994,subject_calendar,0.0019669521735933807,-0.00015376012640661322,0.00015376012640661322,"4,0,6"
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,0.5798012862,0.003494645700000021,subject_calendar,0.0020977321869188885,-0.0013969135130811323,0.0013969135130811323,"3,0,7"
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,0.5802468192,0.003940178699999963,subject_calendar,0.002898684816213638,-0.0010414938837863255,0.0010414938837863255,"7,3,5"
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,0.5812273278,0.0049206872999999485,subject_calendar,0.002418280119607381,-0.0025024071803925675,0.0025024071803925675,"6,3,4"
