mode,hidden_block_id,subject_id,n_rows,len_bin,context_type,start,end,expected_mixmin_delta_vs_a2c8,expected_raw05_delta_vs_a2c8,expected_mixmin_delta_vs_raw05,support_min,support_mean,dominant_stage,rate_Q1,mixmin_delta_vs_a2c8_Q1,rate_Q2,mixmin_delta_vs_a2c8_Q2,rate_Q3,mixmin_delta_vs_a2c8_Q3,rate_S1,mixmin_delta_vs_a2c8_S1,rate_S2,mixmin_delta_vs_a2c8_S2,rate_S3,mixmin_delta_vs_a2c8_S3,rate_S4,mixmin_delta_vs_a2c8_S4
strict_subject,id01_b2,id01,14,11-16,between_train_runs,2024-07-30,2024-08-16,0.0015861238239454306,0.0011680771575689475,0.00041804666637648306,5.0,7.714285714285714,lenbin_both_edges,0.4431008253264351,0.002870312183077206,0.5790716520483705,7.65928877809463e-05,0.6188450951907638,-0.0008265157941683698,0.6835661409370161,0.011519046153158685,0.627297849333173,-0.0032157619730135423,0.8232005881396126,-0.000736467179819067,0.48414722134234334,0.0014156604906021553
strict_subject,id01_b4,id01,13,11-16,after_train_run,2024-09-01,2024-09-14,0.0016055904207074828,0.0010048334931975766,0.000600756927509906,5.0,5.714285714285714,exact_len,0.4409631019387117,0.004085679456761526,0.5359599749843653,-0.0013557977120943754,0.5426516572858036,0.0032833865217724023,0.6175734834271419,0.008501567656034714,0.6298311444652908,-0.0021998374573708457,0.8160255324994602,-0.0013669900458245232,0.5073677548971913,0.0002911245256734807
strict_subject,id02_b2,id02,16,11-16,between_train_runs,2024-08-25,2024-09-09,0.0005112028847427357,0.0005616845160518588,-5.0481631309123074e-05,5.0,9.857142857142858,lenbin_both_edges,0.5215584415584416,0.008969017158892756,0.6433575947861663,-0.0012554884188716864,0.6587735496826407,0.0010204334293226758,0.8311155511155511,-0.003988894074869687,0.8464951714951715,-0.0009073131081380748,0.8567944875637183,-0.00010456598434910314,0.6919689505896403,-0.0001547688087877308
strict_subject,id02_b4,id02,16,11-16,after_train_run,2024-09-28,2024-10-15,-0.0022493750271378532,0.0012252134741609275,-0.003474588501298781,5.0,30.142857142857142,lenbin,0.5279246794871795,-0.0006230159781914768,0.6031005452880454,-0.00356354334100073,0.6171916625041625,0.0009868434214154176,0.7282649642024642,-0.009819992569746083,0.856890236200581,-0.001871604607452837,0.8473126873126873,7.164684622967821e-05,0.5778997044622045,-0.0009259589612189423
strict_subject,id03_b2,id03,11,11-16,between_train_runs,2024-08-16,2024-08-28,-0.0010696838592981761,0.000981809481396764,-0.00205149334069494,5.0,8.571428571428571,lenbin_both_edges,0.790539058642507,-0.0010968121470025238,0.7429951176274706,-0.00033812978343039646,0.657223962905781,-0.0037410999566501735,0.7454545454545455,0.005148008862984388,0.4848484848484848,-0.0018957551332456912,0.6247344916987775,-0.012580094399893493,0.2545454545454546,0.007016095542150658
strict_subject,id03_b4,id03,10,6-10,after_train_run,2024-09-15,2024-10-09,-0.0029771882485028728,0.0009679952355684529,-0.003945183484071325,55.0,55.0,lenbin,0.5524480793468135,-0.012730172151809493,0.5892035180009862,0.0034127938819569215,0.6496657351087731,-0.0047116724975115876,0.7306290755657846,0.003219153916650619,0.6106909967669463,-0.004480982168370007,0.5597429996164174,-0.006266275241365138,0.4703819387363691,0.0007168365209285765
strict_subject,id04_b2,id04,1,1-2,between_train_runs,2024-09-09,2024-09-09,-0.0012189522977421596,0.001174913435307623,-0.0023938657330497826,9.0,23.857142857142858,exact_len_both_edges,0.3079507278835386,-0.0016504218621719025,0.5390749601275917,0.0022678119331330793,0.802937576499388,-0.002691343945113056,0.8289473684210527,0.012294404398470293,0.7973684210526315,-0.00969228674209932,0.7432216905901117,-0.00906082986641421,0.565015479876161,0.0
strict_subject,id04_b4,id04,5,3-5,between_train_runs,2024-09-11,2024-09-15,-0.0018725972412681241,0.0007131801902611043,-0.0025857774315292286,5.0,9.142857142857142,exact_len_both_edges,0.5398026315789474,-0.0029111153826515412,0.48631578947368415,-0.0008448882569541682,0.7642105263157895,-0.0007585040245681185,0.7704125177809389,0.0015367330109471444,0.7900584795321637,-0.001525624523777469,0.7013850415512466,-0.00465144776525106,0.5245009074410164,-0.003953333746621657
strict_subject,id04_b6,id04,8,6-10,between_train_runs,2024-09-18,2024-09-26,0.001084427647814658,0.0010696972768957172,1.47303709189409e-05,6.0,8.857142857142858,lenbin_both_edges,0.5219298245614035,-0.0010360925450476621,0.5164734753550543,-0.0013254785251481938,0.7400722200237436,0.005090926742104651,0.7896859083191851,0.0077767981871981195,0.7570033955857385,0.00031154116440734736,0.630921052631579,0.00023900862676251577,0.44365753092408444,-0.003465710115574172
strict_subject,id04_b8,id04,6,6-10,between_train_runs,2024-10-14,2024-10-19,-0.0002509021192044373,0.0010336932395504453,-0.0012845953587548825,6.0,10.714285714285714,exact_len_both_edges,0.6142097668413458,0.0025222742826472855,0.5263157894736842,-0.000251750682597085,0.7400722200237436,-0.0004735765855712337,0.7860180754917596,0.008569125182019577,0.7548732943469785,0.0009281756745626035,0.6509221772379669,-0.012593690805399849,0.6042311661506709,-0.00045687190009235934
