subject_id,n_cells,n_rows,swing_sum,swing_share,expected_delta_focus_sum,expected_delta_visible_sum,top33_cells,top8_cells,between_train_runs_rate,e72_active_rate,flank_conflict_rate,support_visible_swing_weighted,top_target_by_swing,top_target_swing_share
id07,98,19,0.00013237191663767226,0.16085746770903514,-8.879306203289096e-06,-5.570985852640006e-06,5,0,0.8469387755102041,0.29591836734693877,0.09183673469387756,0.3454980178750047,S1,0.2260114487608602
id06,83,22,0.00012528916789048442,0.15225055880546084,-1.4073124891546278e-05,-4.724210226604262e-06,10,3,0.8433734939759037,0.3614457831325301,0.18072289156626506,0.16279187599746353,S3,0.3312807094913225
id04,126,27,8.193014099965325e-05,0.0995609593409614,-6.678216390622206e-06,-6.383771363019481e-06,0,0,0.9126984126984127,0.25396825396825395,0.4603174603174603,0.5478538265667695,Q2,0.3490823608606406
id05,107,20,7.66340006430101e-05,0.0931251250035836,-9.746115369913295e-06,-7.693285470039843e-06,1,0,0.8037383177570093,0.29906542056074764,0.29906542056074764,0.47164480237511885,Q2,0.2658037688494316
id03,72,15,7.638080015790052e-05,0.09281743746764717,-1.1251065975407559e-05,-6.2387179446895e-06,7,1,0.6805555555555556,0.19444444444444445,0.125,0.320389872105441,S4,0.40691280090259396
id02,98,20,7.207000198731032e-05,0.08757898436415455,-5.197078782877156e-06,-3.0249456625734022e-06,1,0,0.826530612244898,0.22448979591836735,0.2857142857142857,0.36561414472695064,Q3,0.29991328817668855
id09,89,18,7.087143515678161e-05,0.08612249396848688,-4.503307963403246e-06,-3.0155729552676495e-06,2,0,0.7865168539325843,0.30337078651685395,0.07865168539325842,0.35212785954175324,S2,0.28307637060199253
id01,77,18,6.748318149244829e-05,0.08200511077842278,-5.394878913623488e-06,-3.487685666682839e-06,2,0,0.8051948051948052,0.2597402597402597,0.22077922077922077,0.39908913499815707,S3,0.36322783620451743
id08,84,19,6.591957577097393e-05,0.08010502756409434,-7.919737697478212e-06,-6.377623472872422e-06,5,4,0.8809523809523809,0.2619047619047619,0.2857142857142857,0.45440454115193135,Q3,0.3583919405527872
id10,70,15,5.396411779551073e-05,0.0655768349981533,-4.399122736729125e-06,-4.30714866344828e-06,0,0,0.7285714285714285,0.21428571428571427,0.6285714285714286,0.5121330698205133,S2,0.2745742082719346
