basename,source_path,scope,targets,shape,amp,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,matched_placebo_gate,story_gate_both,target_support_gate,public_free_submission_ready,final_decision,null_p90_q20,null_p90_median,null_p90_best,dateblock_p90_dominance,dateblock_null_strict_rate,dateblock_best_null_p90,row_p90_dominance,row_null_strict_rate,row_best_null_p90,subject_p90_dominance,subject_null_strict_rate,subject_best_null_p90
submission_e282_appentropy_q3_linear_a0p030_798f561b.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p030_798f561b.csv,q3,Q3,linear,0.03,promote_candidate,True,-0.00015767523898485014,-0.0002142386764524368,-6.496951598492323e-05,1.0,-0.00392703014313478,33,0.9393939393939394,0.8787878787878788,0.8787878787878788,0.7272727272727273,False,True,True,False,blocked_by_matched_placebo,-6.29563352062008e-05,-6.108951231636565e-05,-6.832848235660113e-05,0.7272727272727273,1.0,-6.832848235660113e-05,1.0,0.8181818181818182,-6.390802155264068e-05,0.9090909090909091,1.0,-6.625891675598439e-05
submission_e282_appentropy_q3_linear_a0p028_8f5c4791.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p028_8f5c4791.csv,q3,Q3,linear,0.028,promote_candidate,True,-0.00014517273322215538,-0.00019646986479106735,-6.075244714319786e-05,1.0,-0.0036652281335923798,33,0.7878787878787878,0.9393939393939394,0.8484848484848485,0.9090909090909091,False,True,True,False,blocked_by_matched_placebo,-5.953721002167864e-05,-5.6219193930090646e-05,-6.490923746385046e-05,0.9090909090909091,1.0,-6.490923746385046e-05,1.0,0.36363636363636365,-5.723630361312356e-05,0.9090909090909091,1.0,-6.206534683825061e-05
submission_e282_appentropy_q3_linear_a0p026_136f92ff.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p026_136f92ff.csv,q3,Q3,linear,0.026,promote_candidate,True,-0.00013296346566626344,-0.00017926984072507535,-5.6518918139022374e-05,1.0,-0.0034034261240501462,33,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.7272727272727273,False,True,True,False,blocked_by_matched_placebo,-5.609272715064505e-05,-5.351104645560741e-05,-5.938908667510417e-05,0.7272727272727273,0.9090909090909091,-5.938908667510417e-05,1.0,0.8181818181818182,-5.59482496705253e-05,0.8181818181818182,0.8181818181818182,-5.750833938683249e-05
submission_e282_appentropy_q3_linear_a0p025_29551469.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p025_29551469.csv,q3,Q3,linear,0.025,promote_candidate,True,-0.00012698309832780122,-0.0001708831148414296,-5.4395761332622295e-05,1.0,-0.003272525119278974,33,0.5151515151515151,0.8787878787878788,0.7575757575757576,0.7272727272727273,False,True,True,False,blocked_by_matched_placebo,-5.347006162531536e-05,-5.029220494282476e-05,-5.5322895759808366e-05,0.7272727272727273,0.9090909090909091,-5.5322895759808366e-05,1.0,0.18181818181818182,-5.31428062322975e-05,0.9090909090909091,0.45454545454545453,-5.513967693332017e-05
submission_e282_appentropy_q3_linear_a0p024_3aa39b55.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p024_3aa39b55.csv,q3,Q3,linear,0.024,promote_candidate,True,-0.00012100379449903803,-0.00016250049208268972,-5.226960120703622e-05,1.0,-0.003141624114507774,33,0.2727272727272727,0.8787878787878788,0.8787878787878788,0.8181818181818182,False,True,True,False,blocked_by_matched_placebo,-5.134007351849444e-05,-4.915173319522346e-05,-5.984452861095269e-05,0.8181818181818182,0.45454545454545453,-5.4608536135598864e-05,0.8181818181818182,0.2727272727272727,-5.984452861095269e-05,1.0,0.09090909090909091,-5.224027912873411e-05
submission_e282_appentropy_q3_linear_a0p023_ce916f68.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p023_ce916f68.csv,q3,Q3,linear,0.023,promote_candidate,True,-0.0001151201762851832,-0.00015432877767754084,-5.013898229101744e-05,1.0,-0.003010723109736657,33,0.12121212121212122,0.8787878787878788,0.8181818181818182,0.7272727272727273,False,True,True,False,blocked_by_matched_placebo,-4.9583116521259346e-05,-4.662716854964373e-05,-5.23115318334227e-05,0.7272727272727273,0.2727272727272727,-5.23115318334227e-05,0.9090909090909091,0.09090909090909091,-5.2124288469889026e-05,1.0,0.0,-4.999415593064246e-05
submission_e282_appentropy_q3_linear_a0p022_6021bd56.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p022_6021bd56.csv,q3,Q3,linear,0.022,too_small_to_submit,False,-0.00010929000638267605,-0.00014631457661422233,-4.800455446966319e-05,1.0,-0.002879822104965457,33,0.0,0.8484848484848485,0.9090909090909091,0.6363636363636364,False,True,True,False,too_small_to_submit,-4.654471243807012e-05,-4.508807881153515e-05,-4.975498792784669e-05,0.6363636363636364,0.0,-4.975498792784669e-05,1.0,0.0,-4.62722741608822e-05,0.9090909090909091,0.0,-4.8359945787358515e-05
submission_e282_appentropy_q3_linear_a0p016_6930b167.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p016_6930b167.csv,q3,Q3,linear,0.016,too_small_to_submit,False,-7.453056344494416e-05,-9.860609151164736e-05,-3.5131866947428796e-05,1.0,-0.002094416076338479,33,0.0,0.8181818181818182,0.7878787878787878,0.7272727272727273,False,True,True,False,too_small_to_submit,-3.4765160466218665e-05,-3.286551289119703e-05,-3.6566951867957795e-05,0.7272727272727273,0.0,-3.6566951867957795e-05,0.8181818181818182,0.0,-3.611852917545496e-05,0.9090909090909091,0.0,-3.515955503556154e-05
submission_e282_appentropy_q3_linear_a0p010_323c9cf7.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p010_323c9cf7.csv,q3,Q3,linear,0.01,too_small_to_submit,False,-4.275724141033374e-05,-5.5905584714267667e-05,-2.2105764648589305e-05,1.0,-0.0013090100477115563,33,0.0,0.9393939393939394,0.7272727272727273,0.9090909090909091,False,True,True,False,too_small_to_submit,-2.1546796810090745e-05,-2.039977303334108e-05,-2.3498714124937733e-05,0.9090909090909091,0.0,-2.2265539654145316e-05,1.0,0.0,-2.152570340939832e-05,0.9090909090909091,0.0,-2.3498714124937733e-05
submission_e282_appentropy_q3_linear_a0p006_04875df1.csv,analysis_outputs/submission_e282_appentropy_q3_linear_a0p006_04875df1.csv,q3,Q3,linear,0.006,too_small_to_submit,False,-2.4572967154867824e-05,-3.1961226549615894e-05,-1.3315890493267758e-05,1.0,-0.0007854060286269227,33,0.0,0.9393939393939394,0.6666666666666666,0.8181818181818182,False,True,True,False,too_small_to_submit,-1.294406098116323e-05,-1.2315288970470053e-05,-1.3612417820007746e-05,0.8181818181818182,0.0,-1.3612417820007746e-05,1.0,0.0,-1.2778675791284662e-05,1.0,0.0,-1.3310347240548606e-05
