method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,transition_residual_mse,family,context,base,k,alpha,strength,pseudo_support_mean,hidden_support_mean,pseudo_dist_median,hidden_dist_median,pseudo_residual_l2_mean,hidden_residual_l2_mean,delta_weighted_row_logloss_vs_subject,delta_weighted_row_logloss_vs_raw,delta_transition_residual_mse_vs_raw,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,s3_delta_vs_subject,s3_delta_vs_raw,row_beats_raw,transition_mse_beats_raw,fixes_s3_vs_subject,hidden_mixmin_negative,joint_gate
transition_full_transition_baseraw_k4_a4_w0.65,369,0.6987823075284559,0.3765502638482771,0.22657739644051264,1.0444665348111437,0.0,31.7356560241971,transition_residual,full_transition,raw,4.0,4.0,0.65,4.0,4.0,1.0276573084477332,0.9858103654897716,1.5815638089288238,1.026416496537848,0.085780533951886,0.09351370762836453,1.0071619606449254,36.0,0.00014339238110836852,-0.0007501636514295582,0.0004837491625427824,0.4722222222222222,0.10637940062648765,0.09857703663872186,False,False,False,False,False
transition_raw_topology_baseraw_k16_a24_w1.00,369,0.7005112439296751,0.3782792002494962,0.23190210832554745,1.069012157890938,0.0,31.21317978412838,transition_residual,raw_topology,raw,16.0,24.0,1.0,16.0,16.0,1.066725699364597,1.0306588839566286,1.0694275886079343,0.9516102554996445,0.08750947035310519,0.09524264402958371,0.4846857205762021,36.0,0.0001545871311277201,-0.0008396254426690464,0.0005286628412690431,0.4722222222222222,0.11297422112752009,0.1051718571397543,False,False,False,False,False
transition_full_transition_basesubject_k16_a4_w0.65,369,0.7010303867393602,0.37879834305918136,0.23056783574944448,1.0628614867474393,0.0,30.551923188745132,transition_residual,full_transition,subject,16.0,4.0,0.65,16.0,16.0,1.1133081166509995,1.063900099970913,1.7663130740744948,1.5415761679964213,0.08802861316279031,0.09576178683926884,-0.17657087480704448,36.0,0.0005822293687204185,-0.0006017210551564461,0.00047480458246959713,0.4722222222222222,0.09980844452587712,0.09200608053811132,False,True,False,False,False
transition_raw_topology_basesubject_k8_a4_w0.65,369,0.7035939989073485,0.3813619552271696,0.22570202848204213,1.0404313020269749,0.0,30.53680426998441,transition_residual,raw_topology,subject,8.0,4.0,0.65,8.0,8.0,1.0757965226678172,1.0264446853780913,1.9083567412392184,1.5639537840083133,0.0905922253307786,0.09832539900725712,-0.1916897935677646,36.0,0.0005769286175974611,-0.0004883275148660069,0.00045247077147641667,0.3888888888888889,0.07476336638372205,0.06696100239595626,False,True,False,False,False
transition_raw_residual_basesubject_k16_a4_w1.00,369,0.7038015125397837,0.38156946885960474,0.23624478769771715,1.0890308506065496,0.0,30.27696887562162,transition_residual,raw_residual,subject,16.0,4.0,1.0,16.0,16.0,0.6561869398233995,0.5858583169185899,0.9981389534283596,1.1196210448181092,0.0907997389632138,0.09853291263969233,-0.4515251879305566,36.0,0.0004771886955199705,-7.823041856526588e-05,0.0008227706800444331,0.5,0.03697574318338015,0.029173379195614357,False,True,False,False,False
transition_raw_residual_baseraw_k16_a4_w1.00,369,0.7040558676573013,0.38182382397712245,0.23708825337196976,1.0929190216415188,0.0,31.079364853820188,transition_residual,raw_residual,raw,16.0,4.0,1.0,16.0,16.0,0.7339085396278408,0.6875356841767861,1.0590120871795345,1.0803443048964225,0.0910540940807314,0.09878726775720992,0.3508707902680115,36.0,0.0006295846534493541,0.00026951044064858185,0.0007100430777804359,0.3888888888888889,0.10710340761431225,0.09930104362654646,False,False,False,False,False
transition_full_transition_baseraw_k8_a12_w1.00,369,0.7041394237862679,0.381907380106089,0.23343915178624228,1.0760975533560921,0.0,31.73141413454892,transition_residual,full_transition,raw,8.0,12.0,1.0,8.0,8.0,1.053270784937275,1.0180064534301758,1.0514754059960354,0.8823202058511954,0.091137650209698,0.09887082388617652,1.002920070996744,36.0,0.000466488183462289,-0.0006136518568270547,0.00040070481672621074,0.4444444444444444,0.10682120173663923,0.09901883774887343,False,False,False,False,False
transition_raw_residual_basesubject_k4_a4_w1.00,369,0.7042077122739359,0.3819756685937569,0.23014248515019103,1.060900724228929,0.0,30.589214101320824,transition_residual,raw_residual,subject,4.0,4.0,1.0,4.0,4.0,0.590393460940331,0.48635300599592235,0.8180331116363473,0.9081516292575825,0.09120593869736593,0.09893911237384445,-0.13927996223135253,36.0,-9.640431674946896e-05,-0.0004021387478452585,0.0008618406786439817,0.4722222222222222,0.05008257559524265,0.04228021160747686,False,True,False,True,False
transition_topology_baseraw_k16_a24_w1.00,369,0.7045428687763476,0.38231082509616876,0.23050992122479852,1.0625945149143154,0.0,30.896815122376662,transition_residual,topology,raw,16.0,24.0,1.0,16.0,16.0,1.0810207959473,1.055867493764832,1.1682277442000897,0.9882139001803405,0.09154109519977771,0.09927426887625623,0.16832105882448545,36.0,-8.878556064505866e-05,-0.0008337044028360585,0.0005413364294407954,0.5,0.12462158904395271,0.11681922505618691,False,False,False,True,False
transition_raw_topology_baseedge_shrink025_k8_a12_w1.00,369,0.7057518492185871,0.38351980553840825,0.22483072108795402,1.036414787454227,0.0,29.987858390035292,transition_residual,raw_topology,edge_shrink025,8.0,12.0,1.0,8.0,8.0,1.0568040564134005,1.021158036968838,1.1699860848150518,0.9747344477172992,0.0927500756420172,0.10048324931849573,-0.7406356735168842,36.0,0.0002588570106079923,-0.0006021732965136614,0.00048116873589199336,0.4166666666666667,0.0850802767642933,0.07727791277652751,False,True,False,False,False
transition_raw_topology_baseedge_shrink025_k4_a4_w0.65,369,0.7064483351541939,0.3842162914740151,0.22569511229233027,1.0403994200792783,0.0,30.07850527824093,transition_residual,raw_topology,edge_shrink025,4.0,4.0,0.65,4.0,4.0,1.0244771390144631,0.9803198272969225,1.7842712191541956,1.4752883221846147,0.09344656157762399,0.10117973525410251,-0.6499887853112476,36.0,-0.00037019250742396264,-0.0015674382796931588,0.000493608990715733,0.5555555555555556,0.08675902818454662,0.07895666419678082,False,True,False,True,False
transition_raw_residual_baseraw_k4_a4_w1.00,369,0.7078450316626659,0.3856129879824869,0.23647541314474263,1.090093977667228,0.0,31.741695390392525,transition_residual,raw_residual,raw,4.0,4.0,1.0,4.0,4.0,0.6628873608602655,0.6163110897860833,1.0050751991011053,1.0395952021749904,0.09484325808609595,0.10257643176257447,1.013201326840349,36.0,-0.00046677388147815135,-0.0003366143553341261,0.0007391080230036173,0.5833333333333334,0.09040596621270969,0.0826036022249439,False,False,False,True,False
transition_full_transition_baseedge_shrink025_k8_a4_w0.65,369,0.7082336758893293,0.38600163220915035,0.22826684382082205,1.0522544751740333,0.0,30.30586829090881,transition_residual,full_transition,edge_shrink025,8.0,4.0,0.65,8.0,8.0,1.0643838921101245,1.0255988415210244,1.7126451361710495,1.4946440070166314,0.09523190231275935,0.10296507598923788,-0.422625772643368,36.0,0.0002237247987445665,-0.0008775771510620053,0.00048081719408214264,0.4722222222222222,0.08662363757127234,0.07882127358350655,False,True,False,False,False
transition_topology_basesubject_k8_a12_w1.00,369,0.7095647625705742,0.3873327188903951,0.22207664021499335,1.0237191463569206,0.0,30.046441889319166,transition_residual,topology,subject,8.0,12.0,1.0,8.0,8.0,1.0421498575026162,0.9895623153475519,1.3480420856115622,1.1596885628557174,0.09656298899400428,0.1042961626704828,-0.6820521742330108,36.0,0.00025484396422245057,-0.0005313383001450393,0.0005593075555900985,0.4722222222222222,0.09852881668814162,0.09072645270037583,False,True,False,False,False
transition_raw_residual_baseedge_shrink025_k4_a4_w0.65,369,0.7106698043926246,0.3884377607124457,0.23653770617446068,1.090381133340807,0.0,30.03676425898947,transition_residual,raw_residual,edge_shrink025,4.0,4.0,0.65,4.0,4.0,0.757642832540868,0.7598132807702529,1.4323011098317564,1.3377888754390173,0.09766803081605469,0.10540120449253321,-0.6917298045627049,36.0,-0.0004251539522155969,-0.0006666579487010669,0.0005325472454636866,0.5,0.09206683120891501,0.08426446722114922,False,True,False,True,False
transition_raw_topology_basesubject_k16_a4_w0.65,369,0.7112703936795285,0.3890383499993496,0.2307252361400605,1.0635870641578398,0.0,30.38305728997812,transition_residual,raw_topology,subject,16.0,4.0,0.65,16.0,16.0,1.113050514793156,1.0701312345582465,1.9488012813699154,1.733362804837966,0.09826862010295856,0.10600179377943708,-0.34543677357405755,36.0,0.0003940906473752511,-0.0004632570673283143,0.00045583912948469443,0.4444444444444444,0.10329638274549446,0.09549401875772867,False,True,False,False,False
transition_raw_residual_baseedge_shrink025_k8_a12_w1.00,369,0.71234860833468,0.390116564654501,0.23808918652067357,1.0975330793270073,0.0,30.031601533607894,transition_residual,raw_residual,edge_shrink025,8.0,12.0,1.0,8.0,8.0,0.8090438808390987,0.8262027578890381,0.9154528118277965,0.874800508204959,0.09934683475811001,0.10708000843458854,-0.6968925299442823,36.0,-0.0004448279520562631,-0.00045192950922892807,0.0005305028108297619,0.5,0.08027259390809849,0.0724702299203327,False,True,False,True,False
