file,path,known_public_lb,public_delta_vs_e95,same_family_name,gate_strict_veto,gate_relaxed_veto,gate_material_vs_e95,gate_strict_actionable,gate_strict_novel_actionable,tail_equal_law_cosine,tail_equal_law_resid_ratio,e101_active_delta95_l1,q2s3_delta95_l1,e72_adverse_exposure_e101_plausible,mean_abs_logit_move_vs_e95,changed_cells_vs_e95,e95rel_q2s3_l1_share,transfer_shrinkage_risk_index
submission_e85_inverse_conflict_pruned_58b23ed1.csv,analysis_outputs/submission_e85_inverse_conflict_pruned_58b23ed1.csv,,,True,True,True,True,True,False,0.9946506113018971,0.15720627408426105,0.003561915138785687,0.00035619151387864044,0.0014963650731568074,0.0008189674907733517,445,0.12426501065289573,-0.9899843221126544
submission_e101_q2s3tail_177569bc.csv,analysis_outputs/submission_e101_q2s3tail_177569bc.csv,0.576300366,9.036200000034356e-06,True,True,True,True,True,False,1.0,6.744041300175574e-15,0.010792439355108907,0.001079243935510901,0.0015425297373258358,0.00030835541014597454,50,0.9999999999999909,-0.9873570518407173
submission_e89_e72decontam_00d7807f.csv,analysis_outputs/submission_e89_e72decontam_00d7807f.csv,,,True,False,True,True,False,False,0.9883039053029135,0.15407307233117923,0.0035619151387857135,0.0003561915138785714,0.0016859062642488468,0.0003528388654026974,158,0.2884291214607451,-0.9835428455181248
submission_e95_hardtail_541e3973.csv,analysis_outputs/submission_e95_hardtail_541e3973.csv,0.5762913298,0.0,True,True,True,False,False,False,1.0,0.0,0.0,0.0,0.0015573350202609316,0.0,0,0.0,-0.9992213324898696
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,analysis_outputs/submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.0001164474000000526,False,False,False,True,False,False,0.024467993506872728,1.9461782396381566,0.015921051299410516,0.003285728353202847,0.007633779365575491,0.008825088615538192,1047,0.10637621562616763,-0.0014443241714716185
submission_frontier_cvjepa_refine_a2c8d2c8.csv,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.577439321,0.001147991199999976,False,False,False,True,False,False,0.6849782918784802,4.359945337530004,0.036700063408238004,0.0404004713156626,0.010516654751978844,0.041131551740464276,1389,0.28063594287203364,-0.6026194297785902
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.002012035400000056,False,False,False,True,False,False,0.113117446145249,18.27472170816076,0.11206623555777204,0.08076331329474151,0.025202753359098218,0.11482160588325906,1750,0.20096594358196926,0.09231347938681365
submission_hybrid_0p578_logit_after_subject_final9_strict.csv,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.0021360230000000424,False,False,False,True,False,False,-0.1284647658297094,18.29076113997165,0.17542549845549504,0.13860325340536395,0.046003803086353066,0.15641862713470853,1750,0.25317272162403764,0.46549541923374493
submission_jepa_latent_q2_w0p45.csv,jepa/submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.0035099564000000694,False,False,False,True,False,False,0.2770910828450952,13.056795615270662,0.11154094023680784,0.14932074292494912,0.024872026194271934,0.08979478840486091,1750,0.47511743348368785,-0.003793386586202263
submission_lejepa_targetwise_strict_best_scale0p5.csv,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.003955489400000012,False,False,False,True,False,False,0.29697361089726343,16.943922004971053,0.07787298424490492,0.09943562856192789,0.021459651572974487,0.13643337380160062,1750,0.20823482405731547,-0.1089351723039434
submission_jepa_latent_residual_probe.csv,jepa/submission_jepa_latent_residual_probe.csv,0.5812273278,0.004935997999999997,False,False,False,True,False,False,0.4898685723304959,16.052799889178544,0.13452476740949473,0.14588042033393697,0.02877259699233381,0.13162176030076897,1750,0.3166658765250312,-0.1950770860908973
