candidate_bucket,pool_source,n,pair_p90_negative,pair_majority,old_majority,pair_probe_gate,pair_control_gate,pair_submit_gate,pair_conflict,two_selector_majority,large_lowbad,best_pair_p90,best_old_p90,median_move,dominant_target_top
raw05_block_jepa,raw05_blockcount_refine,24,0,0,0,24,0,0,0,0,24,1.079278268125623e-05,0.0005743393813056885,0.001708466166304978,S4
block_scale_jepa,block_target_proxy,354,0,17,0,24,0,0,0,0,100,3.568938025561182e-05,0.0005531094769700706,0.013370042977206554,S1
block_scale_jepa,glob_blockscale,60,0,17,0,9,0,0,0,0,12,2.0111506251985605e-05,0.0005949660083854891,0.012297074634088148,Q2
public_block_jepa,blockpublic_q3s4_selected,60,0,0,0,3,0,0,0,0,60,4.520674539512703e-05,0.0005594536690227692,0.0054378644930671936,Q3
public_block_jepa,jepa_public_blockentropy,350,0,17,0,2,0,0,0,0,186,3.775008910121752e-05,0.0005708584307440034,0.009235298359573743,Q3
hidden_block,hidden_block_sequence_safe,247,0,0,0,1,0,0,0,0,247,4.5789216564734446e-05,0.0005679808460014035,0.00547643582257977,Q3
jepa_block,jepa_block_rawcorrector,54,0,0,0,0,0,0,0,0,54,2.35414113756341e-05,0.0005816694453869564,0.002325809662611893,Q3
jepa_block,jepa_block_rawcorrector_refine,90,0,0,0,0,0,0,0,0,90,2.420751634508877e-05,0.0005794583876732595,0.0020426169021373606,Q3
jepa_block,jepa_block_rawcorrector_micro,90,0,0,0,0,0,0,0,0,90,2.681013680008377e-05,0.0005812314795867746,0.0021616134672627022,Q3
jepa_block,jepa_block_consensus_gate,100,0,0,0,0,0,0,0,0,100,3.3246740983381966e-05,0.0005770216780245363,0.002625667586041184,Q3
block_scale_jepa,block_target_shortlist,30,0,0,0,0,0,0,0,0,30,4.4622122797293005e-05,0.000563611707510403,0.006096261219702199,Q3
hidden_block,glob_hiddenblock,974,0,0,3,0,0,0,0,0,882,4.667578748166523e-05,0.000568883608608628,0.006827531322329555,Q3
jepa_block,jepa_block_count_shift,80,0,1,0,0,0,0,0,0,80,4.671090891714921e-05,0.0005536440594064995,0.005016331983638905,Q3
public_block_jepa,blockpublic_q3s4_refine_selected,70,0,0,0,0,0,0,0,0,70,5.0290157421929e-05,0.0005740820661204182,0.005270283691356976,Q3
hidden_block,hidden_block_sequence_cellgate,350,0,0,0,0,0,0,0,0,350,5.0695165613177816e-05,0.0005698195387016103,0.0059203223644169085,Q3
block_scale_jepa,block_axis_shortlist,8,0,0,0,0,0,0,0,0,8,5.1495737994377707e-05,0.0005738844795877274,0.005085467272918136,Q3
block_scale_jepa,block_axis_projector,42,0,0,0,0,0,0,0,0,22,5.302084271465132e-05,0.0005771938478943417,0.0055070818006693716,Q3
hidden_block,hidden_block_orthogonal,22,0,0,0,0,0,0,0,0,22,5.6461398126317165e-05,0.000563991910997097,0.00644348063941423,Q3
hidden_block,block_submission_shortlist,3,0,0,0,0,0,0,0,0,3,5.747592539676757e-05,0.0005712757794544832,0.005479464925026168,Q3
hidden_block,hidden_block_sequence,6,0,0,0,0,0,0,0,0,6,6.274962313443913e-05,0.000571599698862002,0.005521250441530848,Q3
hidden_block,hidden_block_rateprobe,12,0,0,0,0,0,0,0,0,12,6.310590960114996e-05,0.0005686009919914081,0.006295674995858394,Q3
hidden_block,hidden_block_rateprobe_safe,16,0,0,0,0,0,0,0,0,16,6.412117324780562e-05,0.0005694159691479461,0.006030363497657791,Q3
hidden_block,block_axis_shortlist,1,0,0,0,0,0,0,0,0,1,9.98504057245621e-05,0.000589455649986248,0.006076707822636168,Q3
block_scale_jepa,block_neutral_safe,40,0,0,0,0,0,0,0,0,40,0.00019033375162143054,0.0006049940834704781,0.00907143144392065,S1
presleep_measurement,glob_presleep,483,0,0,0,0,0,0,0,0,0,0.0005091477127656787,0.0010254328165041349,0.07617564353194994,Q3
presleep_measurement,presleep_orthcap,73,0,0,0,0,0,0,0,0,0,0.0005473774115863076,0.0010247214557562723,0.05966628297171097,S2
presleep_measurement,public_presleep_q3,6,0,0,0,0,0,0,0,0,0,0.000734118166276484,0.0012599162145447984,0.12833861885236758,Q1
presleep_measurement,presleep_multitarget_saved,15,0,0,0,0,0,0,0,0,0,0.0008175576159754455,0.0013789339066964112,0.11668042364962194,Q3
block_scale_jepa,block_public_blend_selected,60,0,0,0,0,0,0,0,0,0,0.0008267875890937223,0.0012106677530795418,0.07917434927537684,Q3
public_block_jepa,public_blockentropy,17,0,0,0,0,0,0,0,0,0,0.000935174498801444,0.0014882572962892082,0.17010022340159192,S1
presleep_measurement,public_presleep_blend,48,0,0,0,0,0,0,0,0,0,0.0009760148817216645,0.0014347222067297993,0.14677994298413782,Q1
presleep_measurement,presleep_anchor_saved,15,0,0,0,0,0,0,0,0,0,0.0017017413191192442,0.0020348905402965967,0.18698745215560653,Q1
