combo,fold,delta_mean,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
q3_center,geom_r00,-0.0002962055842038458,0.0,0.0,-0.0020734390894275867,0.0,0.0,0.0,0.0
q3_center,geom_r01,0.00027441137262440574,0.0,0.0,0.0019208796083712842,0.0,0.0,0.0,0.0
q3_center,geom_r02,-0.0005698313263698962,0.0,0.0,-0.003988819284589495,0.0,0.0,0.0,0.0
q3_center,geom_r03,-0.0003251692016041918,0.0,0.0,-0.0022761844112291207,0.0,0.0,0.0,0.0
q3_center,geom_r04,-0.0011637795580281551,0.0,0.0,-0.008146456906196198,0.0,0.0,0.0,0.0
q3_center,geom_r05,-8.845036641469406e-05,0.0,0.0,-0.0006191525649023033,0.0,0.0,0.0,0.0
q3_center,geom_r06,-0.0013017712143220672,0.0,0.0,-0.009112398500254248,0.0,0.0,0.0,0.0
q3_center,geom_r07,0.0007587245568196899,0.0,0.0,0.005311071897737496,0.0,0.0,0.0,0.0
q3_z,geom_r00,-0.0004793798554124651,0.0,0.0,-0.0033556589878875887,0.0,0.0,0.0,0.0
q3_z,geom_r01,-9.950105321221425e-05,0.0,0.0,-0.0006965073724852777,0.0,0.0,0.0,0.0
q3_z,geom_r02,-0.0006269440220016964,0.0,0.0,-0.004388608154012319,0.0,0.0,0.0,0.0
q3_z,geom_r03,-0.0006681845689068266,0.0,0.0,-0.0046772919823474535,0.0,0.0,0.0,0.0
q3_z,geom_r04,-0.0011273449037243477,0.0,0.0,-0.007891414326070767,0.0,0.0,0.0,0.0
q3_z,geom_r05,-0.00022561400712839408,0.0,0.0,-0.0015792980498979814,0.0,0.0,0.0,0.0
q3_z,geom_r06,-0.0014099594910934599,0.0,0.0,-0.009869716437654441,0.0,0.0,0.0,0.0
q3_z,geom_r07,6.962716427150184e-05,0.0,0.0,0.0004873901499005129,0.0,0.0,0.0,0.0
q3_rank,geom_r00,-0.0005712985029592277,0.0,0.0,-0.003999089520715149,0.0,0.0,0.0,0.0
q3_rank,geom_r01,-0.0005602303469007808,0.0,0.0,-0.003921612428305354,0.0,0.0,0.0,0.0
q3_rank,geom_r02,-0.0007383323324449131,0.0,0.0,-0.005168326327115169,0.0,0.0,0.0,0.0
q3_rank,geom_r03,-0.0007637236089589328,0.0,0.0,-0.005346065262712196,0.0,0.0,0.0,0.0
q3_rank,geom_r04,-0.001042107014556315,0.0,0.0,-0.0072947491018939825,0.0,0.0,0.0,0.0
q3_rank,geom_r05,-8.438742926220044e-05,0.0,0.0,-0.00059071200483507,0.0,0.0,0.0,0.0
q3_rank,geom_r06,-0.0011041266637972225,0.0,0.0,-0.007728886646580335,0.0,0.0,0.0,0.0
q3_rank,geom_r07,-0.0004155387848893133,0.0,0.0,-0.002908771494225304,0.0,0.0,0.0,0.0
q3_center_c010,geom_r00,7.79046768883962e-05,0.0,0.0,0.0005453327382187734,0.0,0.0,0.0,0.0
q3_center_c010,geom_r01,0.00026314891942258445,0.0,0.0,0.0018420424359580911,0.0,0.0,0.0,0.0
q3_center_c010,geom_r02,-0.0004386820233234223,0.0,0.0,-0.0030707741632641783,0.0,0.0,0.0,0.0
q3_center_c010,geom_r03,-0.00027577110709153807,0.0,0.0,-0.0019303977496406555,0.0,0.0,0.0,0.0
q3_center_c010,geom_r04,-0.0007390856737419238,0.0,0.0,-0.005173599716193689,0.0,0.0,0.0,0.0
q3_center_c010,geom_r05,0.0003361533196138966,0.0,0.0,0.0023530732372981644,0.0,0.0,0.0,0.0
q3_center_c010,geom_r06,-0.001506002963936326,0.0,0.0,-0.01054202074755417,0.0,0.0,0.0,0.0
q3_center_c010,geom_r07,0.0010453526388815026,0.0,0.0,0.00731746847217063,0.0,0.0,0.0,0.0
s4_rank,geom_r00,-0.0008116188270754776,0.0,0.0,0.0,0.0,0.0,0.0,-0.005681331789528454
s4_rank,geom_r01,-0.00012214209560612588,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008549946692428811
s4_rank,geom_r02,-0.0011171865172948658,0.0,0.0,0.0,0.0,0.0,0.0,-0.007820305621064505
s4_rank,geom_r03,-0.0007171844046284237,0.0,0.0,0.0,0.0,0.0,0.0,-0.005020290832398744
s4_rank,geom_r04,-0.0007426179184889525,0.0,0.0,0.0,0.0,0.0,0.0,-0.005198325429422668
s4_rank,geom_r05,-0.0009497930544630773,0.0,0.0,0.0,0.0,0.0,0.0,-0.006648551381241208
s4_rank,geom_r06,-0.0007798293681859914,0.0,0.0,0.0,0.0,0.0,0.0,-0.005458805577301606
s4_rank,geom_r07,0.00012056973402818638,0.0,0.0,0.0,0.0,0.0,0.0,0.0008439881381979708
q3_center_s4_rank,geom_r00,-0.0011078244112793234,0.0,0.0,-0.0020734390894275867,0.0,0.0,0.0,-0.005681331789528454
q3_center_s4_rank,geom_r01,0.00015226927701827986,0.0,0.0,0.0019208796083712842,0.0,0.0,0.0,-0.0008549946692428811
q3_center_s4_rank,geom_r02,-0.001687017843664762,0.0,0.0,-0.003988819284589495,0.0,0.0,0.0,-0.007820305621064505
q3_center_s4_rank,geom_r03,-0.0010423536062325045,0.0,0.0,-0.0022761844112291207,0.0,0.0,0.0,-0.005020290832398744
q3_center_s4_rank,geom_r04,-0.0019063974765169966,0.0,0.0,-0.008146456906196198,0.0,0.0,0.0,-0.005198325429422668
q3_center_s4_rank,geom_r05,-0.0010382434208777713,0.0,0.0,-0.0006191525649023033,0.0,0.0,0.0,-0.006648551381241208
q3_center_s4_rank,geom_r06,-0.0020816005825080586,0.0,0.0,-0.009112398500254248,0.0,0.0,0.0,-0.005458805577301606
q3_center_s4_rank,geom_r07,0.0008792942908479873,0.0,0.0,0.005311071897737496,0.0,0.0,0.0,0.0008439881381979708
q3_z_s4_rank,geom_r00,-0.0012909986824879427,0.0,0.0,-0.0033556589878875887,0.0,0.0,0.0,-0.005681331789528454
q3_z_s4_rank,geom_r01,-0.00022164314881834013,0.0,0.0,-0.0006965073724852777,0.0,0.0,0.0,-0.0008549946692428811
q3_z_s4_rank,geom_r02,-0.0017441305392965623,0.0,0.0,-0.004388608154012319,0.0,0.0,0.0,-0.007820305621064505
q3_z_s4_rank,geom_r03,-0.0013853689735352503,0.0,0.0,-0.0046772919823474535,0.0,0.0,0.0,-0.005020290832398744
q3_z_s4_rank,geom_r04,-0.0018699628222133002,0.0,0.0,-0.007891414326070767,0.0,0.0,0.0,-0.005198325429422668
q3_z_s4_rank,geom_r05,-0.0011754070615913603,0.0,0.0,-0.0015792980498979814,0.0,0.0,0.0,-0.006648551381241208
q3_z_s4_rank,geom_r06,-0.002189788859279451,0.0,0.0,-0.009869716437654441,0.0,0.0,0.0,-0.005458805577301606
