keep_targets,rows,nonanchor_evaluated,strict,deployable,loose,structural_strict,structural_loose,best_all_delta_vs_mixmin,best_eval_all_delta_vs_mixmin,best_inverse_top_delta,best_raw05_delta,best_all_sign_delta,best_hidden_q2s3,best_world,best_raw_energy
"S1,S2,S3",80,80,80,80,80,80,80,-2.387582191021309e-05,-2.387582191021309e-05,-8.651093079792282e-06,-2.9822694148973206e-05,-3.4491840553263486e-05,-0.00021605979502650058,-0.00014762241788727204,-6.496533625621748e-05
"Q2,S1,S2,S3",80,80,80,80,80,80,80,-2.382255741384398e-05,-2.382255741384398e-05,-8.712976644953407e-06,-2.9957376622036236e-05,-3.474120407542802e-05,-0.00048450643246588515,-0.0004422559895573719,-0.0002794611179934847
"Q2,S1,S3,S4",80,80,80,80,80,80,80,-1.9435732900197067e-05,-1.9435732900197067e-05,-5.989805641370971e-06,-2.568476847752965e-05,-2.8601699668562297e-05,-0.00048450643246588515,-0.0005193992573815309,-0.0002997623015909001
"S1,S3,S4",80,80,80,80,80,80,80,-1.9435732900197067e-05,-1.9435732900197067e-05,-5.82074564792201e-06,-2.5265545191999195e-05,-2.8414715413926928e-05,-0.00021605979502650058,-0.00022343754025491158,-0.00011092772496157366
"Q2,S1,S3",80,80,80,80,80,80,80,-1.6321165997257303e-05,-1.6321165997257303e-05,-1.932679933225323e-05,-1.5824265825914452e-05,-1.5719789037138554e-05,-0.00048450643246588515,-0.000544886999274391,-0.0003068897541594895
"S1,S3",80,80,80,80,80,80,80,-1.6321165997257303e-05,-1.6321165997257303e-05,-1.9193903471492746e-05,-1.5679525534384453e-05,-1.5483585959485957e-05,-0.00021605979502650058,-0.00024359312552233448,-0.00010664998621467969
"Q2,S2,S3",80,80,55,55,55,55,55,-1.4344792088838432e-05,-1.4344792088838432e-05,-6.881491084520519e-06,-1.710987551417631e-05,-2.1015206059349367e-05,-0.00048450643246588515,-0.000240669977919572,-0.00013764572330221547
"S3,S4",80,29,0,0,29,0,29,-1.003389955389622e-05,-1.003389955389622e-05,-3.830329858511838e-06,-1.2673651439643052e-05,-1.3650399267817193e-05,-0.00021605979502650058,-2.1768687698930922e-05,5.90619540462578e-05
"Q2,S3,S4",80,12,0,0,12,0,12,-1.0019791885307328e-05,-1.0019791885307328e-05,-3.8218989880656196e-06,-1.263121867811634e-05,-1.3650399267817193e-05,-0.00021605979502650058,-2.1768687698930922e-05,5.935062562256732e-05
"Q2,S1",80,15,0,0,12,0,15,-9.900894061942722e-06,-9.900894061942722e-06,-2.641300636652133e-06,-1.3062641202266079e-05,-1.4098106771553987e-05,-0.00027310548205573826,-0.0004568221394650407,-0.00024746096233219106
