keep_targets,rows,nonanchor_evaluated,strict,deployable,loose,structural_strict,structural_loose,best_all_delta_vs_mixmin,best_eval_all_delta_vs_mixmin,best_inverse_top_delta,best_raw05_delta,best_all_sign_delta,best_hidden_q2s3,best_world,best_raw_energy
"S2,S3",80,80,0,0,0,0,0,-1.4467350544999924e-05,-1.4467350544999924e-05,-6.74027537717059e-06,-1.693924338563857e-05,-2.061644483886127e-05,-0.00021605979502650058,5.889870465216052e-05,8.353300526420249e-05
S1,80,4,0,0,0,0,4,-9.545258727872152e-06,-9.545258727872152e-06,-2.199388604906538e-06,-1.2612114696386456e-05,-1.3824272882101418e-05,0.0,-0.00019540687031253668,-0.0001092537540859917
Q1,80,0,0,0,0,0,0,-6.98776859242578e-06,,,,,,,
"Q1,Q2",80,0,0,0,0,0,0,-7.292935196856476e-06,,,,,,,
"Q1,Q2,Q3",80,0,0,0,0,0,0,-5.490641586169964e-06,,,,,,,
"Q1,Q2,Q3,S1",80,0,0,0,0,0,0,-1.4757727290315437e-05,,,,,,,
"Q1,Q2,Q3,S1,S2",80,0,0,0,0,0,0,-2.2891982460970794e-05,,,,,,,
"Q1,Q2,Q3,S1,S2,S3",80,0,0,0,0,0,0,-2.914145064569773e-05,,,,,,,
"Q1,Q2,Q3,S1,S2,S3,S4",80,0,0,0,0,0,0,-3.2149991066710015e-05,,,,,,,
"Q1,Q2,Q3,S1,S2,S4",80,0,0,0,0,0,0,-2.5803157787662734e-05,,,,,,,
"Q1,Q2,Q3,S1,S3",80,0,0,0,0,0,0,-2.1379798604836964e-05,,,,,,,
"Q1,Q2,Q3,S1,S3,S4",80,0,0,0,0,0,0,-2.454653788630523e-05,,,,,,,
"Q1,Q2,Q3,S1,S4",80,0,0,0,0,0,0,-1.790278291147196e-05,,,,,,,
"Q1,Q2,Q3,S2",80,0,0,0,0,0,0,-1.3272597960023447e-05,,,,,,,
"Q1,Q2,Q3,S2,S3",80,0,0,0,0,0,0,-1.9723233471324875e-05,,,,,,,
"Q1,Q2,Q3,S2,S3,S4",80,0,0,0,0,0,0,-2.250028358818934e-05,,,,,,,
"Q1,Q2,Q3,S2,S4",80,0,0,0,0,0,0,-1.6116600735527342e-05,,,,,,,
"Q1,Q2,Q3,S3",80,0,0,0,0,0,0,-1.2109116401370912e-05,,,,,,,
"Q1,Q2,Q3,S3,S4",80,0,0,0,0,0,0,-1.5160010634840404e-05,,,,,,,
"Q1,Q2,Q3,S4",80,0,0,0,0,0,0,-8.449133747534532e-06,,,,,,,
"Q1,Q2,S1",80,0,0,0,0,0,0,-1.658355122602373e-05,,,,,,,
"Q1,Q2,S1,S2",80,0,0,0,0,0,0,-2.4559077128394335e-05,,,,,,,
"Q1,Q2,S1,S2,S3",80,0,0,0,0,0,0,-3.099472233925038e-05,,,,,,,
"Q1,Q2,S1,S2,S3,S4",80,0,0,0,0,0,0,-3.4094369478987474e-05,,,,,,,
"Q1,Q2,S1,S2,S4",80,0,0,0,0,0,0,-2.7478628607191524e-05,,,,,,,
"Q1,Q2,S1,S3",80,0,0,0,0,0,0,-2.322933401699423e-05,,,,,,,
"Q1,Q2,S1,S3,S4",80,0,0,0,0,0,0,-2.6395311703897306e-05,,,,,,,
"Q1,Q2,S1,S4",80,0,0,0,0,0,0,-1.967055933560502e-05,,,,,,,
"Q1,Q2,S2",80,0,0,0,0,0,0,-1.4961456178297361e-05,,,,,,,
"Q1,Q2,S2,S3",80,0,0,0,0,0,0,-2.1495797887793877e-05,,,,,,,
"Q1,Q2,S2,S3,S4",80,0,0,0,0,0,0,-2.4521376538522155e-05,,,,,,,
"Q1,Q2,S2,S4",80,0,0,0,0,0,0,-1.7935072276653585e-05,,,,,,,
"Q1,Q2,S3",80,0,0,0,0,0,0,-1.3995897371277266e-05,,,,,,,
"Q1,Q2,S3,S4",80,0,0,0,0,0,0,-1.7200943222994702e-05,,,,,,,
"Q1,Q2,S4",80,0,0,0,0,0,0,-1.0430464741140177e-05,,,,,,,
"Q1,Q3",80,0,0,0,0,0,0,-4.9262378856163025e-06,,,,,,,
"Q1,Q3,S1",80,0,0,0,0,0,0,-1.4287615700325773e-05,,,,,,,
"Q1,Q3,S1,S2",80,0,0,0,0,0,0,-2.2294766308883496e-05,,,,,,,
"Q1,Q3,S1,S2,S3",80,0,0,0,0,0,0,-2.914145064569773e-05,,,,,,,
"Q1,Q3,S1,S2,S3,S4",80,0,0,0,0,0,0,-3.2149991066710015e-05,,,,,,,
"Q1,Q3,S1,S2,S4",80,0,0,0,0,0,0,-2.5290982621051228e-05,,,,,,,
"Q1,Q3,S1,S3",80,0,0,0,0,0,0,-2.1379798604836964e-05,,,,,,,
"Q1,Q3,S1,S3,S4",80,0,0,0,0,0,0,-2.454653788630523e-05,,,,,,,
"Q1,Q3,S1,S4",80,0,0,0,0,0,0,-1.746620868203763e-05,,,,,,,
"Q1,Q3,S2",80,0,0,0,0,0,0,-1.271683922854372e-05,,,,,,,
"Q1,Q3,S2,S3",80,0,0,0,0,0,0,-1.9723233471324875e-05,,,,,,,
"Q1,Q3,S2,S3,S4",80,0,0,0,0,0,0,-2.253407519203776e-05,,,,,,,
"Q1,Q3,S2,S4",80,0,0,0,0,0,0,-1.5502721494420335e-05,,,,,,,
"Q1,Q3,S3",80,0,0,0,0,0,0,-1.2109116401370912e-05,,,,,,,
"Q1,Q3,S3,S4",80,0,0,0,0,0,0,-1.5160010634840404e-05,,,,,,,
"Q1,Q3,S4",80,0,0,0,0,0,0,-7.948857722261948e-06,,,,,,,
"Q1,S1",80,0,0,0,0,0,0,-1.6320245096235197e-05,,,,,,,
"Q1,S1,S2",80,0,0,0,0,0,0,-2.408397465614165e-05,,,,,,,
"Q1,S1,S2,S3",80,0,0,0,0,0,0,-3.099472233925038e-05,,,,,,,
"Q1,S1,S2,S3,S4",80,0,0,0,0,0,0,-3.4094369478987474e-05,,,,,,,
"Q1,S1,S2,S4",80,0,0,0,0,0,0,-2.7034651119750563e-05,,,,,,,
"Q1,S1,S3",80,0,0,0,0,0,0,-2.322933401699423e-05,,,,,,,
"Q1,S1,S3,S4",80,0,0,0,0,0,0,-2.6395311703897306e-05,,,,,,,
"Q1,S1,S4",80,0,0,0,0,0,0,-1.9395682069545117e-05,,,,,,,
"Q1,S2",80,0,0,0,0,0,0,-1.4587443258218258e-05,,,,,,,
"Q1,S2,S3",80,0,0,0,0,0,0,-2.1495797887793877e-05,,,,,,,
"Q1,S2,S3,S4",80,0,0,0,0,0,0,-2.4521376538522155e-05,,,,,,,
"Q1,S2,S4",80,0,0,0,0,0,0,-1.7428238633931947e-05,,,,,,,
"Q1,S3",80,0,0,0,0,0,0,-1.3995897371277266e-05,,,,,,,
"Q1,S3,S4",80,0,0,0,0,0,0,-1.7200943222994702e-05,,,,,,,
"Q1,S4",80,0,0,0,0,0,0,-1.0093700420266138e-05,,,,,,,
Q2,55,0,0,0,0,0,0,-4.3878926392348916e-07,,,,,,,
"Q2,Q3",80,0,0,0,0,0,0,1.4842319250307767e-06,,,,,,,
"Q2,Q3,S1",80,0,0,0,0,0,0,-8.116790268131169e-06,,,,,,,
"Q2,Q3,S1,S2",80,0,0,0,0,0,0,-1.556329274876589e-05,,,,,,,
"Q2,Q3,S1,S2,S3",80,0,0,0,0,0,0,-2.201695389503211e-05,,,,,,,
"Q2,Q3,S1,S2,S3,S4",80,0,0,0,0,0,0,-2.4946329378217058e-05,,,,,,,
"Q2,Q3,S1,S2,S4",80,0,0,0,0,0,0,-1.858268913412786e-05,,,,,,,
"Q2,Q3,S1,S3",80,0,0,0,0,0,0,-1.4322604826810803e-05,,,,,,,
"Q2,Q3,S1,S3,S4",80,0,0,0,0,0,0,-1.753930748493726e-05,,,,,,,
"Q2,Q3,S1,S4",80,0,0,0,0,0,0,-1.1121607191189042e-05,,,,,,,
"Q2,Q3,S2",80,0,0,0,0,0,0,-6.035755696576217e-06,,,,,,,
"Q2,Q3,S2,S3",80,0,0,0,0,0,0,-1.2484160203163341e-05,,,,,,,
"Q2,Q3,S2,S3,S4",80,0,0,0,0,0,0,-1.5466514808326615e-05,,,,,,,
"Q2,Q3,S2,S4",80,0,0,0,0,0,0,-8.946662315323373e-06,,,,,,,
"Q2,Q3,S3",80,0,0,0,0,0,0,-4.880635348536444e-06,,,,,,,
"Q2,Q3,S3,S4",80,0,0,0,0,0,0,-8.01514296866479e-06,,,,,,,
"Q2,Q3,S4",80,0,0,0,0,0,0,-1.5300427339548506e-06,,,,,,,
"Q2,S1,S2",80,0,0,0,0,0,0,-1.753839760409992e-05,,,,,,,
"Q2,S1,S2,S3,S4",80,0,0,0,0,0,0,-2.6825763721483042e-05,,,,,,,
"Q2,S1,S2,S4",80,0,0,0,0,0,0,-2.0578066284748786e-05,,,,,,,
"Q2,S1,S4",80,0,0,0,0,0,0,-1.298659056847562e-05,,,,,,,
"Q2,S2",80,0,0,0,0,0,0,-7.97684897624329e-06,,,,,,,
"Q2,S2,S3,S4",80,0,0,0,0,0,0,-1.743956580757544e-05,,,,,,,
"Q2,S2,S4",80,0,0,0,0,0,0,-1.1014832125288976e-05,,,,,,,
"Q2,S3",80,0,0,0,0,0,0,-6.895921874083832e-06,,,,,,,
"Q2,S4",80,0,0,0,0,0,0,-3.570264746843854e-06,,,,,,,
Q3,80,0,0,0,0,0,0,1.9038073105770437e-06,,,,,,,
"Q3,S1",80,0,0,0,0,0,0,-7.571557008700935e-06,,,,,,,
"Q3,S1,S2",80,0,0,0,0,0,0,-1.5124818868672563e-05,,,,,,,
"Q3,S1,S2,S3",80,0,0,0,0,0,0,-2.2151009607007666e-05,,,,,,,
"Q3,S1,S2,S3,S4",80,0,0,0,0,0,0,-2.508733941741781e-05,,,,,,,
"Q3,S1,S2,S4",80,0,0,0,0,0,0,-1.8067806151100818e-05,,,,,,,
"Q3,S1,S3",80,0,0,0,0,0,0,-1.4330313510946269e-05,,,,,,,
"Q3,S1,S3,S4",80,0,0,0,0,0,0,-1.7548539016143394e-05,,,,,,,
"Q3,S1,S4",80,0,0,0,0,0,0,-1.0576485919733258e-05,,,,,,,
"Q3,S2",80,0,0,0,0,0,0,-5.616497425808831e-06,,,,,,,
"Q3,S2,S3",80,0,0,0,0,0,0,-1.2669272529852726e-05,,,,,,,
"Q3,S2,S3,S4",80,0,0,0,0,0,0,-1.5710392846202126e-05,,,,,,,
"Q3,S2,S4",80,0,0,0,0,0,0,-8.477790596761459e-06,,,,,,,
"Q3,S3",80,0,0,0,0,0,0,-4.990207188360074e-06,,,,,,,
"Q3,S3,S4",80,0,0,0,0,0,0,-8.127768245769218e-06,,,,,,,
"Q3,S4",80,0,0,0,0,0,0,-8.99787129360341e-07,,,,,,,
"S1,S2",80,0,0,0,0,0,0,-1.7112879708625073e-05,,,,,,,
"S1,S2,S3,S4",80,0,0,0,0,0,0,-2.6860711754839173e-05,,,,,,,
"S1,S2,S4",80,0,0,0,0,0,0,-2.0070329711963097e-05,,,,,,,
"S1,S4",80,0,0,0,0,0,0,-1.260223908006175e-05,,,,,,,
S2,80,0,0,0,0,0,0,-7.560677694806728e-06,,,,,,,
"S2,S3,S4",80,0,0,0,0,0,0,-1.7576879880021323e-05,,,,,,,
"S2,S4",80,0,0,0,0,0,0,-1.0612298287249189e-05,,,,,,,
S3,80,0,0,0,0,0,0,-6.895921874083832e-06,,,,,,,
S4,80,0,0,0,0,0,0,-3.1170827849980043e-06,,,,,,,
