route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,source_cells,h082_cells,h082_row,outside_h082_cells,route_source_action_sum,route_source_action_mean,route_source_posterior_sum,route_source_posterior_mean,route_source_count_mean,route_family_count_mean,route_source_consensus_mean,route_bad_same_mean,route_bad_opp_mean,route_h079_row,route_h080_score_mean,route_move_abs_mean,route_direction_consistency,route_h050_null_cells,route_action_score,candidate_id
r066_full_state,66,id03,2024-08-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.7492292798940907,5.723545714285715,0.8176493877551021,0.8456474845968829,0.8354318367346938,0.2100142857142857,0.7578522448979594,0.7341371428571427,0.0024015438150871,0.01681080670561,3,7,1,0,1111111,"0,1,2,3,4,5,6",0.9990942028985508,0.9026268115942028,0.8786231884057971,0.9634057971014492,7,7,1,0,-2.4936052593686652e-05,-3.562293227669522e-06,-0.016677190883513816,-0.0023824558405019735,18.0,2.5714285714285716,1.0,0.2859999999999999,0.729142857142857,0.0,0.8055420408163266,0.3596879989560054,0.7142857142857143,0,0.9263098473084886,h083_all_transport_c920_116eacaf
r140_full_state,140,id06,2024-07-21,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.71981988495174,5.621428571428572,0.803061224489796,0.8292817703111686,0.8332130612244899,0.1898448979591836,0.7038579591836734,0.8460171428571429,0.0016240922664599,0.0113686458652197,3,6,3,1,1111111,"0,1,2,3,4,5,6",0.9981884057971014,0.8591485507246377,0.9125905797101448,0.9552989130434784,7,7,1,0,-8.889718849674223e-06,-1.2699598356677462e-06,-0.011295220639604578,-0.0016136029485149396,17.285714285714285,2.5714285714285716,1.0,0.25224489795918353,0.8134693877551021,0.0,0.7890179591836735,0.877417767989243,0.7142857142857143,0,0.9155580357142858,h083_all_transport_c920_116eacaf
r138_full_state,138,id06,2024-07-18,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.7693797691024487,5.810302857142857,0.8300432653061225,0.8563658519438216,0.8303836734693879,0.179,0.7714432653061224,0.8047771428571429,0.0026805308265061,0.0187637157855427,3,7,3,0,1111111,"0,1,2,3,4,5,6",1.0,0.9026268115942028,0.9248188405797102,0.9705797101449276,7,7,1,0,-1.2957649302507998e-05,-1.8510927575011426e-06,-0.01867904816586156,-0.002668435452265937,16.714285714285715,2.4285714285714284,1.0,0.26579591836734684,0.7845714285714286,0.0,0.8160791836734694,0.5258715533602384,0.5714285714285714,0,0.9150931677018634,h083_all_transport_c920_116eacaf
r195_nonq2_full,195,id08,2024-09-10,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.753147387578552,5.144182857142857,0.8573638095238095,0.8757344463261062,0.8760857142857145,0.1602238095238095,0.783092380952381,0.7628571428571429,0.0025737873450357,0.0154427240702142,2,5,1,1,1011111,"0,2,3,4,5,6",0.9995471014492754,0.7373188405797102,0.9393115942028986,0.9458152173913044,6,6,1,0,-1.1494454925483149e-05,-1.915742487580525e-06,-0.0153457382262825,-0.0025576230377137503,21.0,3.0,1.0,0.28238095238095234,0.7256190476190475,0.0,0.8393200000000002,0.1430114048213633,0.6666666666666666,0,0.9060235507246376,h083_all_transport_c920_116eacaf
r133_full_state,133,id06,2024-07-12,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.613932329403539,5.460505714285714,0.7800722448979591,0.8048409539846381,0.8299265306122449,0.2059979591836734,0.7581983673469388,0.6680171428571429,0.0012654336205775,0.0088580353440431,3,5,3,2,1111111,"0,1,2,3,4,5,6",0.9923007246376812,0.8054800724637681,0.8854166666666666,0.938328804347826,7,7,1,0,-2.1506367758938334e-05,-3.072338251276905e-06,-0.008784457446439024,-0.0012549224923484319,19.0,2.857142857142857,1.0,0.26208163265306117,0.6715102040816326,0.0,0.781324081632653,0.1389163426091495,0.5714285714285714,0,0.9030913561076603,h083_all_transport_c920_116eacaf
r122_full_state,122,id05,2024-11-14,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.1861912991974677,4.507071428571429,0.6438673469387756,0.6855389131683115,0.7168783673469388,0.2970265306122449,0.5329257142857143,0.6462571428571428,0.0009634473256006,0.0067441312792046,3,7,1,0,1111111,"0,1,2,3,4,5,6",0.9397644927536232,0.9026268115942028,0.7590579710144928,0.8860824275362319,7,7,1,0,-0.0002732740722887406,-3.90391531841058e-05,0.004251964609947699,0.0006074235157068141,17.285714285714285,3.142857142857143,1.0,0.37359183673469376,0.5768163265306123,1.0,0.6866542857142858,0.12345851522429536,0.5714285714285714,0,0.8976407220496896,h083_all_transport_c920_116eacaf
r244_q3_s_stage,244,id10,2024-09-21,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,2.479576785455389,4.136997142857143,0.8273994285714286,0.8302961998189604,0.849113142857143,0.1543485714285714,0.8134434285714285,0.5386171428571429,0.0038650883247652,0.0193254416238263,1,5,3,0,11111,"2,3,4,5,6",0.9818840579710144,0.6632699275362319,0.9451992753623188,0.9260009057971016,5,5,1,0,-1.1893001503948333e-05,-2.3786003007896666e-06,-0.0192013963372814,-0.00384027926745628,21.0,3.0,1.0,0.2708571428571428,0.7444571428571429,0.0,0.83184,0.1940546211788173,0.6,0,0.896911231884058,h083_all_transport_c920_116eacaf
r129_full_state,129,id06,2024-07-08,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.3510917799530366,4.794408571428572,0.6849155102040817,0.7100948315356584,0.6861942857142858,0.2878571428571428,0.6669534693877551,0.6633971428571429,0.0015864444779466,0.0111051113456264,3,7,3,0,1111111,"0,1,2,3,4,5,6",0.9678442028985508,0.9026268115942028,0.7703804347826086,0.923913043478261,7,6,1,1,-1.5592385160185107e-05,-2.227483594312158e-06,-0.011092180056085199,-0.001584597150869314,15.714285714285714,2.2857142857142856,1.0,0.36775510204081624,0.6325714285714286,0.0,0.7036404081632653,1.7202367536532968,0.7142857142857143,0,0.8951821299171842,h083_all_transport_c920_116eacaf
r053_nonq2_full,53,id02,2024-10-10,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.6725016943668405,4.8934171428571425,0.8155695238095237,0.8328830177546775,0.8054914285714285,0.183447619047619,0.741595238095238,0.7900571428571429,0.0013349470781193,0.0080096824687162,2,5,3,1,1011111,"0,2,3,4,5,6",0.9968297101449276,0.7373188405797102,0.9202898550724636,0.9321376811594202,6,6,1,0,-7.60379947303411e-06,-1.2672999121723517e-06,-0.007959637295534299,-0.0013266062159223832,17.333333333333332,2.5,1.0,0.31076190476190463,0.7177142857142856,0.0,0.7962733333333333,0.6913225846348197,0.8333333333333334,0,0.8940172101449274,h083_all_transport_c920_116eacaf
r119_nonq2_full,119,id05,2024-11-07,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.162530986444683,3.8511228571428577,0.6418538095238095,0.6035649225165826,0.6997942857142858,0.2193309523809523,0.6422457142857142,0.3013971428571429,0.0012332990116626,0.0073997940699755,4,6,4,0,1011111,"0,2,3,4,5,6",0.9316123188405796,0.9026268115942028,0.8659420289855072,0.9065715579710144,6,6,1,0,-8.368216879416627e-06,-1.3947028132361046e-06,-0.007339512693494201,-0.0012232521155823668,20.333333333333332,3.0,1.0,0.3349047619047618,0.6572380952380953,0.0,0.7039699999999999,0.11901102048329314,0.8333333333333334,0,0.8867096920289854,h083_all_transport_c920_116eacaf
