alpha,fold,n_test,mae,rmse,spearman,pair_acc,pred_min,pred_max
0.1,score_name=cell_score,1175,0.002891965382323752,0.004215379406274372,0.5833508474613883,0.7110019848605451,0.0046454183757305145,0.0386972539126873
0.1,score_name=identity_phase_score,1029,0.0024323386504772984,0.003448623162634762,0.7141004408476935,0.7666258276517944,0.0030336547642946243,0.02694723755121231
0.1,score_name=memory_conflict_phase_score,1029,0.0024053369354136373,0.003517067648293305,0.8217933746297863,0.8248138610641589,0.009150508791208267,0.03805135563015938
0.1,score_name=route_translator_score,1029,0.0020419903053856257,0.0028622968158781912,0.6704014283522547,0.7451040449531675,0.008667027577757835,0.028990115970373154
0.1,target_group=Q,497,0.002996244035285327,0.003768093532354075,-0.06745642920875428,0.47956286103719087,-0.0005644224584102631,0.01789432018995285
0.1,target_group=Q3S,833,0.008273717534156688,0.009969754122200006,0.5866292075767773,0.701871133068612,-0.008916718885302544,0.023766878992319107
0.1,target_group=S,609,0.0029938477442519084,0.0040812297985732,0.6297259188105934,0.727702877884366,0.0035598771646618843,0.028777219355106354
0.1,target_group=S12,385,0.002873579630173113,0.0032935037322444592,0.5559488762532804,0.6996212121212121,0.009508829563856125,0.025659702718257904
0.1,target_group=S124,497,0.010109614154972349,0.011185491098274021,0.34263851668112055,0.6187203868371519,-0.0028112605214118958,0.020006928592920303
0.1,target_group=S2S4,385,0.005615962826180224,0.00588666051803848,0.6718117051342439,0.740922619047619,0.001444132998585701,0.013100328855216503
0.1,target_group=all,1056,0.002228729563588069,0.003485015976078504,0.8269587518347757,0.8278782699861409,0.0115214753895998,0.029553286731243134
0.1,curve=consistency,1029,0.0009787197367527208,0.0016979118202054347,0.9462242799838273,0.9050530718123826,0.009771691635251045,0.02974025532603264
0.1,curve=score_soft,1176,0.0013395083400525585,0.0017895642356009435,0.8584971322175536,0.8366666666666667,0.009269801899790764,0.0275077186524868
0.1,curve=target_route,1029,0.0008917720954004518,0.001259892071651986,0.9375270676871427,0.8959437026617206,0.010038060136139393,0.029021061956882477
0.1,curve=uniform,1028,0.0008918815819188762,0.0020385232882722624,0.9615752416199997,0.9183858269208183,0.009816378355026245,0.029670841991901398
0.1,random5=0,879,0.0008846664887969301,0.0017599574207171292,0.9469731365604704,0.9048540871408544,0.010531924664974213,0.029416531324386597
0.1,random5=1,825,0.000946074545900795,0.001582433272894272,0.928226183886872,0.8915592821418065,0.00947214663028717,0.02960147149860859
0.1,random5=2,881,0.0008567684253748693,0.001400909255413347,0.9447314887155976,0.9066453410380766,0.00825243815779686,0.027315376326441765
0.1,random5=3,822,0.000875846300649913,0.0017121365247925774,0.9538656592203415,0.9101149568356197,0.009641631506383419,0.02780214697122574
0.1,random5=4,855,0.0009567772577307766,0.001827361128335786,0.9330397005229483,0.8972455654041261,0.00917881540954113,0.027443252503871918
0.1,__all_oof__,4262,0.0009035515113256593,0.0016626728913111365,0.9415500848211924,0.9018770208146595,0.00825243815779686,0.02960147149860859
1.0,score_name=cell_score,1175,0.002645115816300076,0.003844961564329772,0.621672708954545,0.7268895683906971,0.005495939403772354,0.03650224208831787
1.0,score_name=identity_phase_score,1029,0.0021154835152367097,0.0030626981035093218,0.7547643259530507,0.7854892929934619,0.004885132424533367,0.026666566729545593
1.0,score_name=memory_conflict_phase_score,1029,0.002207594217423367,0.0031960592310837327,0.8438444932256024,0.8355511187243102,0.009966926649212837,0.03639025241136551
1.0,score_name=route_translator_score,1029,0.0018771353714144069,0.0026431676470493374,0.7131010744691946,0.7630108185575508,0.009493417106568813,0.028017576783895493
1.0,target_group=Q,497,0.0025775358998468487,0.0033171643894153017,-0.13793468154437705,0.4537710131758292,-0.00031447969377040863,0.017115646973252296
1.0,target_group=Q3S,833,0.008133860500388253,0.009794976292775663,0.5891606089032181,0.7031264428848463,-0.008357040584087372,0.023895297199487686
1.0,target_group=S,609,0.0027507443845202493,0.00348938999309557,0.640506084317634,0.7307600898798721,0.006731776520609856,0.02494092844426632
1.0,target_group=S12,385,0.0021509019174418176,0.0023798433714298105,0.7566257738375614,0.7857548701298701,0.01181475818157196,0.022937342524528503
1.0,target_group=S124,497,0.009289927789473003,0.01041784121421605,0.360804840703764,0.6267686765755826,-0.0017139613628387451,0.020838959142565727
1.0,target_group=S2S4,385,0.005053054857931583,0.005285267700216951,0.6933213767012543,0.7529220779220779,0.0028761615976691246,0.01334242895245552
1.0,target_group=all,1056,0.0022027713823205355,0.0034472606690382633,0.8389337797258137,0.8356820744081173,0.011473597958683968,0.029769649729132652
1.0,curve=consistency,1029,0.0009287879972214102,0.0016764898998630493,0.9503386234983153,0.9087361459314132,0.009855239652097225,0.029597286134958267
1.0,curve=score_soft,1176,0.0012786869606092699,0.0017247358452520075,0.869930957035465,0.8435171515414677,0.009488606825470924,0.027445953339338303
1.0,curve=target_route,1029,0.0008851536765593825,0.001249140420885497,0.9385662928560469,0.896743466702968,0.01002306304872036,0.028974788263440132
1.0,curve=uniform,1028,0.0008850527178158503,0.002027730776292003,0.9623743899567219,0.9193652273080318,0.009795863181352615,0.029640834778547287
1.0,random5=0,879,0.0008696605250869419,0.0017424702348201408,0.9489425908741059,0.906712172923777,0.010542506352066994,0.029377233237028122
1.0,random5=1,825,0.0009004534897821463,0.0015325680431844647,0.9346685928848182,0.8971962341865255,0.009485185146331787,0.029446659609675407
1.0,random5=2,881,0.0008313265444616494,0.001356096676142581,0.9483843625160311,0.9088019812196884,0.008807191625237465,0.02732785791158676
1.0,random5=3,822,0.0008648622230030584,0.001698501840505319,0.9553713106363064,0.9117093568759242,0.009653222747147083,0.027822278439998627
1.0,random5=4,855,0.0009261837050313694,0.0017883639803620785,0.9372559827637118,0.9004201772742711,0.009575542993843555,0.027991611510515213
1.0,__all_oof__,4262,0.00087811080042298,0.0016306402512487252,0.9450743147046027,0.9048278411006293,0.008807191625237465,0.029446659609675407
10.0,score_name=cell_score,1175,0.0018027087929406598,0.002606318251129893,0.776389710184701,0.7986287208885912,0.009284736588597298,0.028343133628368378
10.0,score_name=identity_phase_score,1029,0.001310920345175277,0.0019650782788122887,0.8861735484114689,0.8534238598163001,0.008961426094174385,0.026036802679300308
10.0,score_name=memory_conflict_phase_score,1029,0.001562592071337826,0.0020988903440945644,0.9282904896309321,0.8828922341588108,0.010731886141002178,0.03053908422589302
10.0,score_name=route_translator_score,1029,0.0013028487218547705,0.0019353813786102268,0.8716747289211262,0.8418320079560451,0.010358870960772038,0.026642702519893646
10.0,target_group=Q,497,0.0020469445561776714,0.002593996812626798,-0.15332560852874733,0.4460797040306354,0.0026651471853256226,0.017851680517196655
10.0,target_group=Q3S,833,0.007318321588211362,0.008731911142706147,0.5922536557511772,0.7055418321174624,-0.003929099068045616,0.02469644509255886
10.0,target_group=S,609,0.001823446418808667,0.0022830668909402095,0.7928070423373298,0.8019185895773917,0.009415069594979286,0.023915641009807587
10.0,target_group=S12,385,0.001288788162785432,0.0014561533125532454,0.8614769783325482,0.8465909090909091,0.01256491243839264,0.021929537877440453
10.0,target_group=S124,497,0.008464193964223436,0.009524292800661199,0.38959759333302574,0.6365856428895956,-0.0003915596753358841,0.021000945940613747
10.0,target_group=S2S4,385,0.002688632479426378,0.0028556276984289027,0.7501453048247089,0.7812094155844156,0.00782554131001234,0.014607804827392101
10.0,target_group=all,1056,0.0021579663690080805,0.0033610987590474307,0.8550189805800112,0.846627507019295,0.011261587031185627,0.02886183373630047
10.0,curve=consistency,1029,0.0008529947367781964,0.001654619884039624,0.9561023433642601,0.9148014959179892,0.009864207357168198,0.02974380925297737
10.0,curve=score_soft,1176,0.0010846661064716232,0.0015359723325292886,0.9037724943011423,0.8667621942393979,0.009739741683006287,0.027247434481978416
10.0,curve=target_route,1029,0.0008504390286094722,0.0011979973198227435,0.9429604849489835,0.9007195985676094,0.009896625764667988,0.029130417853593826
