target,n,support_rate,rollback_beta_mean_support,rollback_beta_p90_support,add_beta_mean_outside,add_beta_p90_outside,negative_rollback_cells,negative_add_cells,memory_disagree_rate_support
Q1,250,0.668,-7.410619042327578e-05,0.00043925609119650283,-0.012266913112800683,0.0032491262939155895,110,35,0.5508982035928144
Q2,250,0.42,0.0001559506190228335,0.0010292665605113028,-0.009639053149964792,0.005856121551826283,48,59,0.6095238095238096
Q3,250,0.564,0.00020874785069636522,0.0005930275127000897,0.002027405997959227,0.014754967974226619,54,51,0.44680851063829785
S1,250,0.776,7.315004103828528e-05,0.00047112644633038307,0.0023765305163177784,0.017399870485586305,89,29,0.6855670103092784
S2,250,0.828,2.6890136514320707e-05,0.00030934722012769495,0.0035690700148649328,0.01189911098771288,94,27,0.5797101449275363
S3,250,0.776,0.00016356762501461132,0.0005346348373803354,-0.00714049883438856,0.0034095776714427196,72,21,0.5721649484536082
S4,250,0.768,8.299289894909226e-05,0.0003755815669725872,0.004949701000056822,0.017645352479013585,71,25,0.6822916666666666
