cell_id,row,target,target_i,cell_score,identity_phase_score,memory_conflict_phase_score,route_translator_score,memory_disagrees_h012,memory_agrees_h012,memory_alignment_q,posterior_gain,score_identity_combo,score_joint_vector_cell,score_public_row_subset,h012_abs_logit_delta,q_abs_logit_delta,h012_changed,rollback_beta,over_beta,add_beta,support,h012_direction,lock_cost,negative_op_cost,lock_rank,relief_rank
0,0,Q1,0,0.3571640916661787,0.7056600000000001,0.7845481142857142,0.7100595428571429,True,False,0.2043369474562135,0.0092330426778737,0.5992114285714286,0.5411428571428571,0.5902857142857143,0.2500148641663253,0.3571640916661789,True,-0.0005506723191557685,0.00011494332068220487,0.0,True,-1.0,-0.0005506723191557685,-0.0005506723191557685,0.13657142857142857,0.7085714285714285
1,0,Q2,1,0.1758413877427911,0.4812685714285714,0.3794587428571428,0.6117310857142857,False,True,0.7631359466221852,0.0035063482433309,0.4823314285714286,0.0508571428571428,0.5902857142857143,0.123088971419954,0.1758413877427911,True,9.264436623268042e-05,-0.0013492269166471835,0.0,True,1.0,9.264436623268042e-05,-0.0013492269166471835,0.5548571428571428,0.8274285714285714
2,0,Q3,2,0.0491860461954653,0.4384185714285714,0.3131707428571428,0.427854184126984,False,False,0.0,-0.0,0.5373885714285714,0.9331428571428572,0.5902857142857143,0.0,0.0510778172029832,False,0.0,0.0,-6.648424483832168e-05,False,0.0,-6.648424483832168e-05,-6.648424483832168e-05,0.3525714285714286,0.4502857142857143
3,0,S1,3,0.1234224539004808,0.5378357142857143,0.3531154285714285,0.5725388571428572,False,True,0.6088407005838199,0.0017169665999977,0.5596857142857142,0.6942857142857143,0.5902857142857143,0.0863957177303364,0.1234224539004808,True,-0.00018347353218195836,0.0010485698467336566,0.0,True,-1.0,-0.00018347353218195836,-0.00018347353218195836,0.25314285714285717,0.5611428571428572
4,0,S2,4,0.3237661810551981,0.6787942857142857,0.7605814857142856,0.7295889142857144,True,False,0.4161801501251042,0.0118792952581279,0.6224914285714287,0.4131428571428571,0.5902857142857143,0.2266363267386387,0.3237661810551982,True,-5.559339452077407e-05,0.0004255104681294762,0.0,True,-1.0,-5.559339452077407e-05,-5.559339452077407e-05,0.3702857142857143,0.42914285714285716
5,0,S3,5,0.3299597191244239,0.6281114285714285,0.7488553142857143,0.6553624000000001,True,False,0.2210175145954962,0.0065129278382434,0.4817028571428571,0.2925714285714286,0.5902857142857143,0.2309718033870968,0.3299597191244239,True,1.3183060476764407e-05,5.9014924002697646e-05,0.0,True,1.0,1.3183060476764407e-05,0.0,0.46114285714285713,0.18657142857142858
6,0,S4,6,0.1690810799484759,0.5576985714285714,0.3947236571428571,0.6404061841269841,False,True,0.74395329441201,0.003504367181666,0.5893085714285714,0.4165714285714286,0.5902857142857143,0.1229089388856226,0.1755841984080327,True,0.0003046374986899157,0.0011529224850415256,0.0,True,1.0,0.0003046374986899157,0.0,0.712,0.18657142857142858
7,1,Q1,0,0.5175958971852577,0.7313542857142857,0.4983478857142857,0.7548216000000001,False,True,0.9866555462885738,0.0102738421638088,0.5695314285714286,0.5285714285714286,0.6062857142857143,0.3623171280296793,0.5175958971852568,True,-0.0003875413390429175,-0.00016496835911657096,0.0,True,1.0,-0.0003875413390429175,-0.0003875413390429175,0.1737142857142857,0.6668571428571428
8,1,Q2,1,0.0111757799138758,0.1832514285714285,0.2207757714285714,0.2978552253968253,False,False,0.0,-0.0,0.29992,0.0971428571428571,0.6062857142857143,0.0,0.0120698423069859,False,0.0,0.0,0.005792299263762607,False,0.0,0.005792299263762607,0.0,0.96,0.18657142857142858
9,1,Q3,2,0.1576444093942143,0.6529714285714286,0.6394125714285716,0.6672259428571429,True,False,0.5704753961634695,0.0028241009776905,0.6966857142857144,0.936,0.6062857142857143,0.1103510865759498,0.1576444093942143,True,-0.00010156754351035483,-0.0011675228775760802,0.0,True,-1.0,-0.00010156754351035483,-0.0011675228775760802,0.31314285714285717,0.8057142857142857
10,1,S1,3,0.1119069035231556,0.5593242857142857,0.5952292571428571,0.5830110857142858,True,False,0.2852376980817347,0.000993579959312,0.6206114285714287,0.8285714285714286,0.6062857142857143,0.0783348324662094,0.1119069035231563,True,0.00020051761893331654,-0.003077190463970262,0.0,True,-1.0,0.00020051761893331654,-0.003077190463970262,0.6491428571428571,0.9148571428571428
