task,target,n_features,oof_mae,oof_rmse,oof_spearman,oof_auc_h068_selected,oof_auc_h071_selected,oof_auc_h069_selected,full_auc_h068_selected,full_spearman_target,pred_std
story_to_h068_health,h068_cell_health,31,0.14377101741777404,0.1813314094826507,0.24582909240822423,0.48724217687074833,0.5368589743589743,0.4734626462827563,0.4668340136054422,0.6792987397488025,0.08749383713570077
story_to_h068_selected,h068_selected_cell,31,0.4787395650851803,0.49225761804086676,0.022239522051804142,0.513104761904762,0.4515291355801389,0.5093837492698451,0.8780938775510203,0.6416466921381145,0.09199483985039002
story_to_shortcut,latent_shortcut_energy,31,0.22795829095204967,0.2706418896594408,0.14350919419267913,0.5052598639455783,0.4729774997856102,0.5133719056539167,0.5372843537414966,0.6721000390246572,0.08976602696688651
story_route_to_h068_health,h068_cell_health,45,0.06171712464036772,0.08279733718109168,0.8909014013294752,0.4599741496598639,0.8600637273818712,0.4652572159445686,0.4587510204081633,0.9306284936940874,0.16459154726357259
story_route_to_h068_selected,h068_selected_cell,45,0.4767298121278171,0.4915879664019536,0.0542550134108486,0.5319700680272108,0.32606417760054884,0.5122313533546841,0.9296380952380953,0.7291201444774625,0.11270242783592693
story_route_to_shortcut,latent_shortcut_energy,45,0.13219765284586005,0.16053532721518873,0.8014464754299103,0.5399292517006803,0.09370712203070064,0.5050682820714243,0.5411115646258503,0.8887420280572093,0.21356640478795466
