top_n,metric,real,null_mean,null_std,null_p95,z_vs_null,p_ge_real
360,mean_true_opp_rank,0.7785063492063494,0.7054152380952381,0.008634991703090289,0.7209265873015872,8.464524942210259,0.0
360,mean_true_same_rank,0.22812301587301584,0.30814577380952385,0.008277156431124897,0.3221161111111111,-9.667903335460979,1.0
360,mean_true_margin_rank,0.7825492063492063,0.7023171494708994,0.009109954412520925,0.7181271428571429,8.80707459534151,0.0
360,mean_h073_bridge,0.7175027777777779,0.6787022528108466,0.0036217543659105185,0.68448414484127,10.713182158060189,0.0
360,mean_shortcut_energy,0.14191757936507932,0.20595579216269838,0.004934286801735033,0.2137938115079365,-12.978207873302697,1.0
360,mean_cell_gain,0.0027013236971903404,0.0021022836063256415,0.00017519976764693074,0.002401766801467823,3.4191636196018305,0.0
520,mean_true_opp_rank,0.724689010989011,0.6500472298534798,0.008051236686558678,0.6639186813186813,9.270845557092859,0.0
520,mean_true_same_rank,0.2790296703296703,0.3609041071428571,0.007978907275709298,0.37470277472527475,-10.261358319212967,1.0
520,mean_true_margin_rank,0.7249989010989011,0.6467412866300367,0.008020711214765962,0.659367032967033,9.756940826874919,0.0
520,mean_h073_bridge,0.6691726978021979,0.6370061690934067,0.0031464932329421298,0.6421597967032968,10.22297399182388,0.0
520,mean_shortcut_energy,0.18841879120879115,0.25084295077838825,0.005096727863929929,0.25967655494505487,-12.24788707348732,1.0
520,mean_cell_gain,0.0023312784363363824,0.0019964757577275332,0.00010975807321467663,0.002146471725091692,3.0503417057286195,0.0
700,mean_true_opp_rank,0.6633151020408163,0.6100908163265307,0.006452853201369794,0.6217815510204081,8.248177326397256,0.0
700,mean_true_same_rank,0.3319595918367347,0.3984558962585034,0.0061653703243034486,0.40874844897959184,-10.785450044127124,1.0
700,mean_true_margin_rank,0.6608195918367347,0.6078158809523809,0.0063682113357749395,0.619292612244898,8.323169531674194,0.0
700,mean_h073_bridge,0.6157360489795919,0.5910015022959185,0.0023311030767684308,0.5947433479591837,10.61065738341569,0.0
700,mean_shortcut_energy,0.24357887755102037,0.3013888586734694,0.004250690687608048,0.3084450642857143,-13.600135077070213,1.0
700,mean_cell_gain,0.0019659806839403848,0.0018391096909575724,2.7887750433172596e-05,0.0018857217396337016,4.5491816955665465,0.0
