family,n,best_candidate_id,best_pred_public_median,best_margin_vs_h012,best_support_better_than_h012,best_risk_width,median_pred_public,min_pred_public
h012_residual_identity,240,h012_residual_joint_vector_cell_anchor_resid_k60_a1.1,0.5710317099812295,0.002908226881229492,0.11666666666666667,0.01517910227179664,0.5729462581903229,0.569101516762252
e247_identity_equation,550,e247_post_h012_joint_vector_cell_h012_k1200_a0.55,0.5721603460743052,0.0040368629743051665,0.1,0.007524384012351226,0.5747931522029438,0.5721603460743052
exact_h012_support_retarget,22,e247_post_h012_joint_vector_cell_h012_exact_h012_support_a0p85,0.5739100980027243,0.005786614902724252,0.08333333333333333,0.01066456390220838,0.5743950431509384,0.5738344264573305
