perm,real_top1200_sum,perm_top1200_sum,real_minus_perm
0,0.6066816317995354,3.2244114442293643,-2.617729812429829
1,0.6066816317995354,2.202207195898634,-1.5955255640990984
2,0.6066816317995354,3.0801584601096543,-2.473476828310119
3,0.6066816317995354,4.713717055770491,-4.107035423970956
4,0.6066816317995354,1.5837000370293008,-0.9770184052297655
5,0.6066816317995354,-0.15422274103497458,0.76090437283451
6,0.6066816317995354,-0.239166688915196,0.8458483207147314
7,0.6066816317995354,0.650890873668228,-0.04420924186869257
8,0.6066816317995354,2.0421851794916677,-1.4355035476921323
9,0.6066816317995354,0.5925368713918342,0.014144760407701185
10,0.6066816317995354,1.0861788405140338,-0.4794972087144984
11,0.6066816317995354,1.2044224041287848,-0.5977407723292494
12,0.6066816317995354,1.5740956709600358,-0.9674140391605004
13,0.6066816317995354,1.0905913385402712,-0.48390970674073586
14,0.6066816317995354,0.7741794020574897,-0.16749777025795431
15,0.6066816317995354,0.1978503928885864,0.40883123891094897
16,0.6066816317995354,3.577628085497601,-2.9709464536980654
17,0.6066816317995354,2.3672786643208177,-1.7605970325212823
18,0.6066816317995354,0.11872149385486708,0.4879601379446683
19,0.6066816317995354,-0.6286037031673679,1.2352853349669033
20,0.6066816317995354,-1.993942623023317,2.6006242548228524
21,0.6066816317995354,1.2918089086706885,-0.6851272768711532
22,0.6066816317995354,1.1738444237474361,-0.5671627919479008
23,0.6066816317995354,2.6889542624231773,-2.082272630623642
24,0.6066816317995354,1.7950743743062745,-1.188392742506739
25,0.6066816317995354,2.180508571314993,-1.5738269395154578
26,0.6066816317995354,-1.8398129632944666,2.446494595094002
27,0.6066816317995354,1.7907381907291011,-1.1840565589295657
28,0.6066816317995354,1.7468950272075503,-1.140213395408015
29,0.6066816317995354,3.118105108036099,-2.5114234762365637
30,0.6066816317995354,-1.0873223007637947,1.69400393256333
31,0.6066816317995354,0.8242937830657286,-0.21761215126619327
32,0.6066816317995354,2.110269042239043,-1.5035874104395077
33,0.6066816317995354,1.927300961971822,-1.3206193301722866
34,0.6066816317995354,-2.442360273779549,3.0490419055790845
35,0.6066816317995354,3.7662879701257896,-3.1596063383262543
36,0.6066816317995354,0.9858779935261808,-0.3791963617266454
37,0.6066816317995354,0.2814237037353635,0.32525792806417186
38,0.6066816317995354,1.9465824885857188,-1.3399008567861834
39,0.6066816317995354,1.2624325381202688,-0.6557509063207334
40,0.6066816317995354,2.908588197339407,-2.3019065655398716
41,0.6066816317995354,0.9005733353140748,-0.2938917035145394
42,0.6066816317995354,-2.04434419087076,2.651025822670295
43,0.6066816317995354,0.3958263476431725,0.2108552841563629
44,0.6066816317995354,-1.1372108512569525,1.743892483056488
45,0.6066816317995354,0.18884974550199374,0.41783188629754164
46,0.6066816317995354,1.6291523283072742,-1.0224706965077388
47,0.6066816317995354,1.2128323695088987,-0.6061507377093633
48,0.6066816317995354,0.3508396194230876,0.25584201237644777
49,0.6066816317995354,1.8716787483844985,-1.2649971165849632
50,0.6066816317995354,2.105426292646431,-1.4987446608468957
51,0.6066816317995354,-1.2088708691198669,1.8155525009194022
52,0.6066816317995354,1.7501974788951618,-1.1435158470956264
53,0.6066816317995354,-2.923971490733564,3.5306531225330993
54,0.6066816317995354,-0.8520876857572119,1.4587693175567473
55,0.6066816317995354,1.1569082901374266,-0.5502266583378912
56,0.6066816317995354,-2.8170708392163863,3.4237524710159217
57,0.6066816317995354,-0.5860824135028153,1.1927640453023507
58,0.6066816317995354,-1.4986461621767013,2.1053277939762367
59,0.6066816317995354,1.1638623003949693,-0.5571806685954339
60,0.6066816317995354,1.0128680986924579,-0.4061864668929225
61,0.6066816317995354,1.2950661326656956,-0.6883845008661602
62,0.6066816317995354,0.6447868254357534,-0.038105193636218004
63,0.6066816317995354,3.4406981759667,-2.8340165441671648
64,0.6066816317995354,0.887693139322046,-0.2810115075225106
65,0.6066816317995354,-1.8399867160014054,2.446668347800941
66,0.6066816317995354,-0.17582697316552398,0.7825086049650594
67,0.6066816317995354,1.5743970505151346,-0.9677154187155992
68,0.6066816317995354,2.8877873263539726,-2.2811056945544372
69,0.6066816317995354,1.9577628206582496,-1.3510811888587142
70,0.6066816317995354,0.9605666660759304,-0.35388503427639506
71,0.6066816317995354,2.196687439803286,-1.5900058080037507
72,0.6066816317995354,1.5049546684196464,-0.898273036620111
73,0.6066816317995354,2.4817088216232506,-1.8750271898237152
74,0.6066816317995354,2.6694223521029503,-2.062740720303415
75,0.6066816317995354,-0.866601524603249,1.4732831564027844
76,0.6066816317995354,1.9832148372591618,-1.3765332054596264
77,0.6066816317995354,1.3346617937645817,-0.7279801619650463
78,0.6066816317995354,0.11142123574336438,0.495260396056171
79,0.6066816317995354,1.1508796969294721,-0.5441980651299367
80,0.6066816317995354,1.5166347383417396,-0.9099531065422042
81,0.6066816317995354,-1.7436646366421371,2.3503462684416725
82,0.6066816317995354,1.2252492884342985,-0.6185676566347631
83,0.6066816317995354,-0.07574664472238624,0.6824282765219216
84,0.6066816317995354,-0.08795512084562418,0.6946367526451596
85,0.6066816317995354,0.7908852707638943,-0.18420363896435887
86,0.6066816317995354,-0.3035520015388613,0.9102336333383967
87,0.6066816317995354,0.9228483599259683,-0.31616672812643287
88,0.6066816317995354,2.673048594688762,-2.0663669628892265
89,0.6066816317995354,3.929289441203922,-3.3226078094043867
90,0.6066816317995354,1.731420519600647,-1.1247388878011115
91,0.6066816317995354,1.2991739889578469,-0.6924923571583115
92,0.6066816317995354,0.7179721110895141,-0.1112904792899787
93,0.6066816317995354,0.7830637953719304,-0.176382163572395
94,0.6066816317995354,-0.4967075667173706,1.103389198516906
95,0.6066816317995354,0.7927145930289505,-0.18603296122941515
96,0.6066816317995354,2.3701526470311602,-1.7634710152316249
