feature_family,label_task,target,positive_rate,auc,ap,ap_lift_vs_rate
action_geometry_only,strict_jury_released,Q1,0.017777777777777778,0.6520432692307693,0.028536114967744858,0.01075833718996708
action_geometry_only,strict_jury_released,Q2,0.012222222222222223,0.840883525922896,0.06579139452063963,0.05356917229841741
action_geometry_only,strict_jury_released,Q3,0.03333333333333333,0.7168582375478928,0.06175125212652609,0.028417918793192755
action_geometry_only,strict_jury_released,S1,0.012222222222222223,0.6790571633091318,0.021614513234204484,0.009392291011982261
action_geometry_only,strict_jury_released,S2,0.017777777777777778,0.6354638009049773,0.2274851492412341,0.20970737146345633
action_geometry_only,strict_jury_released,S3,0.008888888888888889,0.5285874439461884,0.010997188608616593,0.0021082997197277038
action_geometry_only,strict_jury_released,S4,0.09111111111111111,0.768739936788121,0.195028191547888,0.10391708043677689
action_geometry_only,strict_positive_release,Q1,0.01,0.6795111609926424,0.02097601755421376,0.010976017554213761
action_geometry_only,strict_positive_release,Q2,0.006666666666666667,0.7597874720357942,0.018365471999080576,0.011698805332413909
action_geometry_only,strict_positive_release,Q3,0.014444444444444444,0.7297285578007111,0.02907621648132346,0.014631772036879015
action_geometry_only,strict_positive_release,S1,0.0077777777777777776,0.6543752999520076,0.012082390543066746,0.004304612765288969
action_geometry_only,strict_positive_release,S2,0.01,0.4635241301907968,0.010030586649516166,3.058664951616566e-05
action_geometry_only,strict_positive_release,S3,0.0022222222222222222,0.4693763919821826,0.0032056500854840022,0.00098342786326178
action_geometry_only,strict_positive_release,S4,0.051111111111111114,0.7827868852459017,0.12687719115500498,0.07576608004389387
action_geometry_only,healthy_action,Q1,0.5,0.45415555555555553,0.47387971343176305,-0.02612028656823695
action_geometry_only,healthy_action,Q2,0.5,0.5826493827160494,0.5731346888061556,0.07313468880615559
action_geometry_only,healthy_action,Q3,0.5,0.5602246913580247,0.5430545242811846,0.043054524281184614
action_geometry_only,healthy_action,S1,0.5,0.6654962962962964,0.6384795399263579,0.13847953992635786
action_geometry_only,healthy_action,S2,0.5,0.6255604938271605,0.6089704290245606,0.10897042902456056
action_geometry_only,healthy_action,S3,0.5,0.5735530864197531,0.5587498975128816,0.05874989751288162
action_geometry_only,healthy_action,S4,0.5,0.6001456790123456,0.5902050069911043,0.09020500699110434
action_geometry_only,toxic_tail_action,Q1,0.4,0.6349228395061728,0.46905367734099346,0.06905367734099344
action_geometry_only,toxic_tail_action,Q2,0.43222222222222223,0.6735897655184904,0.5636550709547847,0.1314328487325625
action_geometry_only,toxic_tail_action,Q3,0.39666666666666667,0.70986737236331,0.5537464511293961,0.15707978446272947
action_geometry_only,toxic_tail_action,S1,0.39555555555555555,0.7460240416391275,0.6005096709007545,0.20495411534519892
action_geometry_only,toxic_tail_action,S2,0.4166666666666667,0.7307073015873015,0.6254105525822942,0.20874388591562748
action_geometry_only,toxic_tail_action,S3,0.41,0.6775220859553228,0.5285007842693482,0.11850078426934824
action_geometry_only,toxic_tail_action,S4,0.37222222222222223,0.7455237088891824,0.5614301114821616,0.18920788925993937
masked_tail_representation,strict_jury_released,Q1,0.017777777777777778,0.8151866515837104,0.06923300420159094,0.05145522642381316
masked_tail_representation,strict_jury_released,Q2,0.012222222222222223,0.8819920237243071,0.07302314547867399,0.06080092325645176
masked_tail_representation,strict_jury_released,Q3,0.03333333333333333,0.8582567049808429,0.240523130628344,0.20718979729501066
