component,explained_ratio,singular_value
hs_pc01,0.0966198790243837,140.5315027763669
hs_pc02,0.06265758055800892,113.16894214428716
hs_pc03,0.04961705245611525,100.70613448062612
hs_pc04,0.046915831410396826,97.92648232365495
hs_pc05,0.03281839320879366,81.90286668900802
hs_pc06,0.02866753055973675,76.5483066201349
hs_pc07,0.02581630655039844,72.64195109508994
hs_pc08,0.02442965108107697,70.66413999315445
hs_pc09,0.021816577820326637,66.77805407822814
hs_pc10,0.020961060244362402,65.45563928301115
hs_pc11,0.018897412887732015,62.15006994567602
hs_pc12,0.018172434188683896,60.946251305285266
hs_pc13,0.017019082590739216,58.98050933611115
hs_pc14,0.01496961899182647,55.315369671812995
hs_pc15,0.014786067625387731,54.97519643102015
hs_pc16,0.013546044645660596,52.61949758001329
