file,source,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,changed_cells_h012_1e6,changed_rows_h012_1e6,route_world_delta,route_world_dispersion,h012posterior_delta,h036world_delta,memory_delta,public_weight_abs_move,private_weight_abs_move,transition_weight_abs_move,row_public_weight_abs_move,support_abs_move,memory_disagree_abs_move,public_private_balance,cos_world,proj_world,cos_h012_ray,proj_h012_ray,mean_abs_logit_move_Q1,mean_signed_logit_move_Q1,changed_cells_Q1,mean_abs_logit_move_Q2,mean_signed_logit_move_Q2,changed_cells_Q2,mean_abs_logit_move_Q3,mean_signed_logit_move_Q3,changed_cells_Q3,mean_abs_logit_move_S1,mean_signed_logit_move_S1,changed_cells_S1,mean_abs_logit_move_S2,mean_signed_logit_move_S2,changed_cells_S2,mean_abs_logit_move_S3,mean_signed_logit_move_S3,changed_cells_S3,mean_abs_logit_move_S4,mean_signed_logit_move_S4,changed_cells_S4,coord_public_cell_k120,cos_public_cell_k120,coord_public_cell_k240,cos_public_cell_k240,coord_public_cell_k420,cos_public_cell_k420,coord_public_cell_k700,cos_public_cell_k700,coord_phase_support_k120,cos_phase_support_k120,coord_phase_support_k260,cos_phase_support_k260,coord_phase_support_k520,cos_phase_support_k520,coord_exception_world_k90,cos_exception_world_k90,coord_exception_world_k180,cos_exception_world_k180,coord_exception_world_k340,cos_exception_world_k340,coord_private_memory_k120,cos_private_memory_k120,coord_private_rollback_k120,cos_private_rollback_k120,coord_private_memory_k260,cos_private_memory_k260,coord_private_rollback_k260,cos_private_rollback_k260,coord_private_memory_k520,cos_private_memory_k520,coord_private_rollback_k520,cos_private_rollback_k520,coord_route_row_all_r12,cos_route_row_all_r12,coord_route_row_top3_r12,cos_route_row_top3_r12,coord_route_row_all_r24,cos_route_row_all_r24,coord_route_row_top3_r24,cos_route_row_top3_r24,coord_route_row_all_r40,cos_route_row_all_r40,coord_route_row_top3_r40,cos_route_row_top3_r40,coord_route_row_all_r70,cos_route_row_all_r70,coord_route_row_top3_r70,cos_route_row_top3_r70,coord_target_Q2_phase_k45,cos_target_Q2_phase_k45,coord_target_Q2_phase_k90,cos_target_Q2_phase_k90,coord_target_Q2_phase_k150,cos_target_Q2_phase_k150,coord_target_S1_phase_k45,cos_target_S1_phase_k45,coord_target_S1_phase_k90,cos_target_S1_phase_k90,coord_target_S1_phase_k150,cos_target_S1_phase_k150,coord_target_S3_phase_k45,cos_target_S3_phase_k45,coord_target_S3_phase_k90,cos_target_S3_phase_k90,coord_target_S3_phase_k150,cos_target_S3_phase_k150,coord_target_S4_phase_k45,cos_target_S4_phase_k45,coord_target_S4_phase_k90,cos_target_S4_phase_k90,coord_target_S4_phase_k150,cos_target_S4_phase_k150,public_lb,delta_vs_h012
submission_h012_public_equation_top_all_k1200_a0.7_uploadsafe.csv,known_public,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681234831,0.0
submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,known_public,0.023147055530376326,0.29411027902876097,0.3253253485869852,8.651048832386786,1200,250,0.00799316730132534,0.006172690182963723,0.04632592366939382,0.03649626426594912,-0.7061984612496157,0.23456670126171783,0.14449455299887054,0.2146740266468366,0.2980366856872958,0.47443280002268673,0.6819933876053003,0.09007214826284729,-0.7714740467193952,-1.2596352395442547,-0.9999999999999997,-0.9999999999999997,0.2577414330147291,-0.13140616814475434,167,0.052682996120530755,-0.003130968197668343,105,0.1345202057925327,-0.0336307912795643,141,0.7749969879553649,-0.6199842183653875,194,0.592305064284554,-0.4475563969320338,207,0.23780664580484354,-0.19311783628798682,194,0.22722410713634164,-0.03193833745089885,192,-1.9526438684725826,-0.8770750080724348,-1.9252478662429724,-0.8732566382440905,-1.8920357814060609,-0.866899499398127,-1.8648778855466257,-0.8620600872598457,-1.8568431686292253,-0.9117939864515142,-1.8392278002878384,-0.9110565430424873,-1.8293351271105258,-0.9118615328831456,-2.0820408789989577,-0.9476523899476009,-2.067406335224575,-0.946793549899919,-2.054977828617879,-0.946003597333204,0.7088391278547325,0.9547167087631557,0.9999999999999997,0.9886066704559507,0.6531451600015917,0.9207459690644939,0.9999999999999997,0.9924793184670601,0.6100145549364822,0.8949170947926453,0.9999999999999997,0.9959450894979458,-1.5995204408176014,-0.47643060543407634,-1.6065033361615473,-0.47672451696707585,-1.6859798100150434,-0.60072134236013,-1.6919271026938958,-0.6008599359546876,-1.7506141506714286,-0.7256253643454298,-1.7560019197296222,-0.7255316571643495,-1.82603720117584,-0.8389524472474574,-1.8315785582007966,-0.8384847179295754,-0.4499420311388435,-0.010761874817130812,-0.5329050685634188,-0.013838196082443396,-0.551559194728079,-0.014516035963984432,-2.1833023783202345,-0.6468297271126072,-2.166157347815697,-0.6454844634049817,-2.1598317393609645,-0.6453887387998952,-1.1004773987179222,-0.1798983554243969,-1.0884604614447204,-0.17974425294399268,-1.0816537285130847,-0.17985602139308524,-1.9216266032796394,-0.21905823455756035,-1.8478523116547059,-0.21619912556760396,-1.8311438936711897,-0.2162651252487864,0.5761589494,0.00803546629999996
submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,known_public,0.023257100372329757,0.32773820110811097,0.32586814478070003,8.769442871848701,1200,250,0.008111916534852957,0.006201455938794519,0.04690649557437839,0.036940271444512215,-0.7063326291172495,0.23492369718658704,0.14475453097336585,0.21498699920454542,0.29852513683489046,0.4752243778051875,0.6826274198698072,0.09016916621322119,-0.7713589575743025,-1.260240880267736,-0.9999861747694473,-1.0006162473235567,0.2577414330147291,-0.13140616814475434,167,0.052682996120530755,-0.003130968197668343,105,0.13831977914853624,-0.035079649089526474,141,0.7749969879553649,-0.6199842183653875,194,0.592305064284554,-0.4475563969320338,207,0.23780664580484354,-0.19311783628798682,194,0.22722410713634164,-0.03193833745089885,192,-1.953531681048239,-0.8769212579020506,-1.9261545434562288,-0.8731177550315375,-1.8929709974120112,-0.8667818568939214,-1.8658054533234798,-0.8619457696730173,-1.8577019894480273,-0.9116412982180949,-1.840147378035937,-0.9109380883830083,-1.8302692799801192,-0.9117526981204356,-2.0828549585142158,-0.9474259673770324,-2.0684284767702628,-0.9466651758996307,-2.0560681640046656,-0.9459095304652686,0.7090909125088986,0.9544544470015505,1.0004088403087839,0.9883880878955071,0.6534035906354244,0.9205302727136631,1.0004444689710685,0.9922952181021438,0.6102797788871696,0.894742429079114,1.0004643597995084,0.995780143947139,-1.5995319284348104,-0.47613402398919663,-1.6065033361615473,-0.4764243309219107,-1.686002003303961,-0.6003509800126337,-1.6919271026938958,-0.6004815837587066,-1.7506559261950982,-0.7251857542422523,-1.7560019197296222,-0.7250748011163496,-1.8269336252238995,-0.8388357645890236,-1.8324417546454632,-0.8383516539612098,-0.4499420311388435,-0.010755098231230699,-0.5329050685634188,-0.013829482384686382,-0.551559194728079,-0.014506895440951913,-2.1833023783202345,-0.6464224284510814,-2.166157347815697,-0.6450780118351782,-2.1598317393609645,-0.644982347506393,-1.1004773987179222,-0.17978507621612344,-1.0884604614447204,-0.17963107077166454,-1.0816537285130847,-0.17974276884189572,-1.9216266032796394,-0.218920296979877,-1.8478523116547059,-0.21606298832657175,-1.8311438936711897,-0.21612894644877717,0.5762805676,0.008157084499999967
submission_e368_q2s1rowmask_selected_e368_q2_damp_s1_recover_amp1_06_be814361_uploadsafe.csv,known_public,0.023365622609334225,0.29411027902876097,0.3265571829952198,8.733460566005323,1290,250,0.008108568007599576,0.006186445018956673,0.04714841858545778,0.03709742831090458,-0.7069527293654791,0.23536519886458135,0.14515123830112703,0.21540627943402127,0.29910418637700736,0.47602782300637253,0.6836503550801297,0.09021396056345432,-0.7716906760319401,-1.2618383394020238,-0.9999798952511555,-1.00144765263805,0.2626161082623633,-0.13661982423565386,217,0.05453378803440744,-0.005064800081502,114,0.13431644187754171,-0.03370311505194115,145,0.7770981255664867,-0.6199397651329295,221,0.592305064284554,-0.4475563969320338,207,0.23780664580484354,-0.19311783628798682,194,0.22722410713634164,-0.03193833745089885,192,-1.955755950173954,-0.8771853501491752,-1.928477045154445,-0.8734393109865342,-1.895180646744281,-0.8670677539901676,-1.8680205639020775,-0.8622472293285719,-1.8596570487801722,-0.9118373459779149,-1.8421443664958108,-0.9111638618906167,-1.8322847813079872,-0.9119932237820461,-2.084714700154464,-0.9474786975775668,-2.070161422365283,-0.9466657715154391,-2.057732037040476,-0.9458831350103093,0.709770606139484,0.9545701866632627,1.001332611221599,0.9884732307432397,0.6539621382246736,0.9205465062185565,1.001344711345579,0.9923573475555857,0.610769770612594,0.8947117818303015,1.00136697187897,0.9958448304353459,-1.603221268133592,-0.4768330386654424,-1.6101503681460918,-0.477106470941318,-1.6885871021214536,-0.6007685307774122,-1.6944908620039278,-0.6008884365107813,-1.752852153772118,-0.725488149260961,-1.7581545868162793,-0.7253564113140689,-1.8288715581836943,-0.8390231538047516,-1.8343087430161102,-0.8385038337912715,-0.47620185237613183,-0.011373273095120363,-0.5599224333988421,-0.014518458674763266,-0.5779636536678937,-0.015188659637577049,-2.1833358117644717,-0.6458916009463426,-2.166298798820745,-0.6445805069958079,-2.1600089628900747,-0.6444957133724526,-1.1004773987179222,-0.17963468998030827,-1.0884604614447204,-0.17948081335799396,-1.0816537285130847,-0.17959241799526238,-1.9216266032796394,-0.21873717499834627,-1.8478523116547059,-0.21588225642046874,-1.8311438936711897,-0.21594815937016523,0.576290429,0.0081669459
submission_e95_hardtail_541e3973.csv,known_public,0.02382186768660152,0.32354794278352794,0.32829771005123887,8.769442871848701,1375,250,0.008149301945201477,0.006207455434832639,0.04678319317108515,0.03683553849212697,-0.7053331259030865,0.23572224696811106,0.14593328149127185,0.2158801015163167,0.3000400721024621,0.47442755093578093,0.6792499861044137,0.0897889654768392,-0.7714226835288969,-1.260022243182641,-0.9998070211921039,-1.000180786614468,0.25763762578260696,-0.13308692433253214,189,0.052682996120530755,-0.003130968197668344,105,0.1539262016426906,-0.02685954022976817,248,0.7749969879553649,-0.6199842183653875,194,0.5925863785328188,-0.4478419489050427,218,0.23665363750291143,-0.19186904537397256,205,0.22960014282174893,-0.03508743661699726,216,-1.952903145844967,-0.876863663904364,-1.925431043093895,-0.8730133586697779,-1.8923621977624807,-0.8667250435935745,-1.8652623033871756,-0.8619155721692184,-1.8571108751503411,-0.9115846578736864,-1.8394515605801185,-0.9108268807979778,-1.8296767442546051,-0.9116909931051446,-2.0823296387286256,-0.9474296357431433,-2.0677190081089507,-0.9465828739641168,-2.0552402789124504,-0.9457708509587112,0.7087221384049613,0.9542024220515826,1.0000680243537206,0.98830445445497,0.6527879019796005,0.9198984458772469,1.0000336397962437,0.9921418053923561,0.6092976130122207,0.8935312751784565,0.999970756765957,0.9955437931750173,-1.5990001636553868,-0.47609765332151366,-1.6058538400129476,-0.47635370223897977,-1.685589867811023,-0.600357968033935,-1.691375357728707,-0.600439526002546,-1.750146712118868,-0.7251605199440716,-1.7553788714923202,-0.7250031973528673,-1.826351488430557,-0.8387832743280844,-1.8317322894960277,-0.8382417288669802,-0.4499420311388435,-0.010757853127512006,-0.5329050685634188,-0.013833024778142479,-0.551559194728079,-0.014510611352368466,-2.1833023783202345,-0.6465880082259945,-2.166157347815697,-0.6452432472405414,-2.1598317393609645,-0.6451475584075351,-1.1003808294563624,-0.17981534722473375,-1.088369448779409,-0.17966205902922217,-1.0814705243667393,-0.17975835801121484,-1.9118052480590484,-0.21785719364939146,-1.8389453546503411,-0.21507660593075492,-1.823110238215591,-0.2152358564425678,0.5762913298,0.008167846699999926
submission_e101_q2s3tail_177569bc.csv,known_public,0.02386229539839217,0.32354794278352794,0.328569406188429,8.769442871848701,1389,250,0.008157713201311378,0.0062000009907342175,0.04679116150533412,0.03684990478003056,-0.7052642755884233,0.23585898825797583,0.14607714971953614,0.21601630261686458,0.30025078864818716,0.4747080324784813,0.6793522877843567,0.08978183853843968,-0.7714197049899555,-1.260062836321779,-0.9998055635342581,-1.0002154123275433,0.25763762578260696,-0.13308692433253214,189,0.05268567566122068,-0.003111926764506893,111,0.1539262016426906,-0.02685954022976817,248,0.7749969879553649,-0.6199842183653875,194,0.5925863785328188,-0.44784194890504275,218,0.23855283092255228,-0.19150744806952197,213,0.22960014282174893,-0.03508743661699726,216,-1.9529324208419052,-0.8768451741956216,-1.925473692351042,-0.873001200696945,-1.8924129504768294,-0.8667170200212062,-1.86530078750118,-0.8619022599891837,-1.8571305035715118,-0.9115614059069467,-1.839498174198081,-0.9108171021446363,-1.82973591808399,-0.9116875868702065,-2.0823559446559736,-0.947407424516351,-2.0677449926075253,-0.9465606199404227,-2.055273927628271,-0.945752214942654,0.7087054866379036,0.9541455794716003,1.0000749698868914,0.988275663827403,0.6527425925143657,0.9198014124054515,1.0000548322733316,0.9921270372178037,0.6092496984612115,0.8934287761497963,1.0000021821071117,0.995539162882736,-1.599041658336227,-0.47609283202867997,-1.6058719217974748,-0.4763418807446446,-1.6856334245876712,-0.6003518225273514,-1.6913922835194395,-0.6004238729110709,-1.7501772235995592,-0.7251470007016049,-1.7553913760808544,-0.7249822064674124,-1.8263995592337714,-0.8387750908065401,-1.8317593197432038,-0.8382238575375297,-0.4500773909187852,-0.010760701282759732,-0.5327547169982889,-0.013828623086074902,-0.5513302855125061,-0.014504065859362288,-2.1833023783202345,-0.6465646818235119,-2.166157347815697,-0.6452199693518504,-2.1598317393609645,-0.6451242839709286,-1.1008551305925471,-0.17988636384481213,-1.08878727228429,-0.17972454703903099,-1.0820742107551293,-0.17985221210414898,-1.9118052480590484,-0.2178493342017708,-1.8389453546503411,-0.21506884679601887,-1.823110238215591,-0.2152280915626873,0.576300366,0.00817688289999996
submission_mixmin_0c916bb4.csv,known_public,0.0240065572770569,0.32354794278352794,0.3297313315264407,8.769442871848701,1477,250,0.008160448467489758,0.006190331555576706,0.046975597888534455,0.03700427802991213,-0.7055192949616995,0.23647552167595168,0.14666897611448304,0.21661474549881402,0.3011228030344517,0.47507627757512544,0.6796900675648345,0.08980654556146864,-0.7715597362969541,-1.261278103249724,-0.9997525696112217,-1.0009453070218164,0.25763762578260696,-0.13308692433253208,189,0.05269371428329047,-0.0030548024650224994,111,0.1539262016426906,-0.026859540229768164,248,0.7753908018963125,-0.6215692437722725,250,0.5946204230769605,-0.4486714449528682,250,0.24425041118147495,-0.1904226561561702,213,0.2296001428217489,-0.03508743661699726,216,-1.9547484169058094,-0.8769740558768944,-1.9272565046703305,-0.8731260514444703,-1.8941187215776667,-0.8668197239397343,-1.8669586502032387,-0.8619935569381738,-1.8588017989031305,-0.9116681127290895,-1.8411918732138175,-0.910942656993325,-1.831381736970587,-0.9117938986547683,-2.084323866944164,-0.9475610332969274,-2.069642135895268,-0.946688031970158,-2.0571254123774017,-0.9458637854912093,0.709170343709386,0.9540246321637212,1.000801520178575,0.9882200798766491,0.6531721960192964,0.9196868656228727,1.0008457181825594,0.9921350268387905,0.6095783968137874,0.8932116018582195,1.000786426562864,0.9955406147603466,-1.6013093548262234,-0.476395093626656,-1.6080247537111099,-0.47660738441163103,-1.6887150084094997,-0.6009789170342978,-1.6943790449644272,-0.6010136738035333,-1.7527818668969,-0.725658143694678,-1.7579475382242407,-0.7254700237798809,-1.8286542425502879,-0.8391536800498012,-1.8339668917350267,-0.8385776309902209,-0.45048347025861024,-0.01076198575224123,-0.532303662302899,-0.013806107946849486,-0.5506435578657872,-0.014474669312836164,-2.1827500666466837,-0.6458955236835524,-2.16545251625603,-0.6445055174052423,-2.1590416998774633,-0.6443838926644254,-1.1022780340011018,-0.1799779910871256,-1.0900407427989318,-0.17979071845426886,-1.0838852699202999,-0.1800123187260765,-1.911805248059048,-0.21767893878122543,-1.8389453546503411,-0.21490062619194736,-1.8231102382155906,-0.21505974640198536,0.5763066405,0.008183157399999974
submission_e176_abl_q2_to0p75_91e49725.csv,known_public,0.023909250965702282,0.32319926377022895,0.3287900352724524,8.766790413180217,1600,250,0.008170901706981195,0.006223927444344329,0.04684898272044936,0.036892620678524946,-0.7056347046001247,0.23599617931870817,0.14616444275537077,0.21614811874780893,0.3004494481494947,0.4749321188374411,0.6801870658770383,0.0898317365633374,-0.7715071507618481,-1.2605021517201174,-0.9998086624750988,-1.0004538259723093,0.25811596675181486,-0.1327587756444764,215,0.053483512475113605,-0.0025709712134047696,208,0.154249959302535,-0.02636511964404854,250,0.7755165490113543,-0.6207041109758615,216,0.5928936764953471,-0.44808220529730236,236,0.2373334431181143,-0.192590501511043,239,0.229937139752887,-0.0347447573507059,236,-1.9535142393092277,-0.8769001029925724,-1.9260723944799854,-0.8730672500070676,-1.893012187507442,-0.8667875458187297,-1.8659118186348769,-0.8619818084512891,-1.8576765756838811,-0.9116149737533831,-1.840045499256715,-0.910873813028829,-1.830292793303725,-0.9117505562593707,-2.0828861698070162,-0.9474257672235171,-2.0683005279026454,-0.946592232542735,-2.055833895977203,-0.9457873814046195,0.7089365780625975,0.9542322082701457,1.0003075121289193,0.9882729593394999,0.6530282684784297,0.919987529828309,1.0002794218109876,0.9921164390299032,0.6095818660432543,0.8937056253363302,1.0002320310026973,0.9955337746678615,-1.5997104888339915,-0.47617994012462217,-1.6065617430579269,-0.4764344121034178,-1.6862093494145625,-0.6004156877484867,-1.6919931360970426,-0.6004958944528903,-1.7507759506657719,-0.7252244521692446,-1.7560061894792542,-0.7250655459619172,-1.826906234711021,-0.8388104415789338,-1.832284384633159,-0.8382669179515388,-0.45232348661967914,-0.01081185857173562,-0.5357506028093917,-0.013903115906551815,-0.554510655621076,-0.01458430199267556,-2.183808855834359,-0.646562558808666,-2.1666656254780086,-0.6452195712302268,-2.1603521593711563,-0.645127955112071,-1.1018757277755862,-0.18001078587409974,-1.089868428148425,-0.17986069748844996,-1.082962081737292,-0.17995744852570686,-1.9125150374867255,-0.21787895573811314,-1.839589126802313,-0.2150935340745833,-1.8237730412924698,-0.21525569758378219,0.576311831,0.008188347900000004
submission_e267_humansocial_tail_balanced_2936100f.csv,known_public,0.02355752612704505,0.29411027902876097,0.32713941786651246,8.651048832386786,1212,250,0.008195158019599238,0.006229092861620035,0.04651432496752001,0.0366553846205319,-0.7062224265238833,0.23555539858916882,0.1453840560437722,0.21564769505549186,0.2995378018674358,0.47680460582876205,0.6836785947951907,0.09017134254539663,-0.7715499079982288,-1.2602499433016665,-0.9999459020386149,-1.000335511146475,0.2577414330147291,-0.13140616814475434,167,0.052682996120530755,-0.003130968197668343,105,0.14573093037833187,-0.03710801378130593,151,0.7749969879553649,-0.6199842183653875,194,0.592305064284554,-0.4475563969320338,207,0.23780664580484354,-0.19311783628798682,194,0.22871186750723324,-0.031338762534779845,194,-1.9527553232786488,-0.8767834492694891,-1.9256181335958786,-0.8730844045924142,-1.8926128583071309,-0.8668261648490367,-1.865569378616907,-0.8620438591438684,-1.8570417738037692,-0.9115363484986655,-1.8397115680502243,-0.9109412458950423,-1.8299687669901386,-0.9118221074606749,-2.0820525703678587,-0.9472886190977315,-2.067645559721328,-0.946534307291775,-2.0553515670336666,-0.9458071318136918,0.7088506007502717,0.9543603137166856,1.000006201011872,0.9882277574526466,0.6531661966920947,0.9204170024722628,1.0000398665393575,0.9921323204822472,0.6100954869397343,0.894687228305529,1.0000928064935266,0.995649584536575,-1.5998737442328186,-0.4763502393930053,-1.6065941004024769,-0.4765657665451299,-1.686235153676161,-0.6005783188846393,-1.6919904755516237,-0.60064841102515,-1.7508075757835635,-0.7254228919338743,-1.756048738901775,-0.7252684150900147,-1.8263603267698614,-0.8387740919959942,-1.8317638592121617,-0.8382429427702447,-0.4499420311388435,-0.010757683298985465,-0.5329050685634188,-0.013832806403510681,-0.551559194728079,-0.014510382281036486,-2.1833023783202345,-0.6465778008837474,-2.166157347815697,-0.6452330611273234,-2.1598317393609645,-0.6451373738049061,-1.1004773987179222,-0.17982828889473618,-1.0884604614447204,-0.17967424643392468,-1.0816537285130847,-0.17978597135161675,-1.9216266032796394,-0.21897291609951866,-1.848942237352121,-0.21624239254950267,-1.8327082615006631,-0.21636558053505991,0.5763294974,0.008206014299999898
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,known_public,0.0244438913699796,0.32041954756949376,0.3317710744615358,8.769442871848701,1538,250,0.00825332850952906,0.006247996748161298,0.047290541121644186,0.037250591895056875,-0.7073364240220054,0.23762698552975436,0.14753765276691522,0.21779705227911103,0.30285756400065483,0.4775675946480641,0.6850907018857972,0.09008933276283915,-0.7717229333461563,-1.2631785417329011,-0.9997643425623125,-1.0022532998562945,0.2612256590323592,-0.13338034877575664,231,0.05645530858006345,-0.0030572737544351477,111,0.1552160020868414,-0.02644555991406629,249,0.7803763305603943,-0.6214329501123395,250,0.5964337129791945,-0.44619212719829837,250,0.23926756927573092,-0.1912811680159744,213,0.23342293871616662,-0.037245915213526826,234,-1.9572551040174362,-0.876963012837184,-1.9298392178187271,-0.8731654062821089,-1.8967487965236127,-0.8669007374617044,-1.8696433800131225,-0.8621167114487898,-1.8612238842955533,-0.9116754598498628,-1.8436975067686896,-0.911002619043405,-1.8339918128061552,-0.9119124865710194,-2.0869220196855833,-0.9475151873294788,-2.072303043290251,-0.9466792565044206,-2.0599008409838016,-0.945914996051068,0.7102788910363793,0.9542801653496993,1.0019957906404149,0.9881197548151672,0.654523892817541,0.9203982121694793,1.002016293219986,0.9920107932957302,0.6111181705223179,0.8943097220507947,1.0019873291852814,0.995446153269392,-1.6031876468389308,-0.47633705153018524,-1.609977702894686,-0.4765690840378513,-1.690839676652764,-0.6009568238208399,-1.696573751388368,-0.6010138659621513,-1.7547776085737639,-0.7255448318907559,-1.75997297014648,-0.7253665539556446,-1.8309134892291135,-0.8391038176119592,-1.836252888637201,-0.8385370211286683,-0.4696984950237249,-0.011206517884490836,-0.562329671833031,-0.014566015831704544,-0.5826799192102606,-0.015296994353892831,-2.186842295367161,-0.6462695538645384,-2.1697122854268276,-0.6449381829132171,-2.1633645731445066,-0.6448390451070922,-1.1010434530679902,-0.17954390758106975,-1.0889560563544474,-0.1793795204130766,-1.0823045449872786,-0.1795173220704633,-1.9169527572145155,-0.217982755957456,-1.8441731773715884,-0.21523283444400684,-1.8286244786219652,-0.21543124709426079,0.5764077772,0.008284294099999978
