candidate_id,family,support_source,k,alpha,core_alpha,tail_alpha,changed_cells,changed_rows,h042_overlap_cells,h043_overlap_cells,h045_overlap_cells,h042_jaccard,h043_jaccard,h045_jaccard,support_score_mean,support_score_min,support_score_sum,contrast_mean,route_public_mean,route_private_mean,route_q2regime_mean,mean_abs_logit_move,max_abs_logit_move,mean_abs_prob_move,max_abs_prob_move,tangent_expected_delta,resolved_path
h047_support_top35_a0.42_c35_be754194,support_top35_a0.42,posterior_top,35,0.42,0.42,0.0,35,35,35,35,35,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.7408274285714284,0.58948,25.928959999999993,-0.06610699226815729,0.6164234285714285,0.3747599999999999,0.5257431314285714,0.00913245004944559,0.18802547752660437,0.0019926713938277075,0.031825780911449275,-7.567656306270941e-05,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top35_a0.42_c35_be754194.csv
h047_support_top35_a0.5_c35_306c1bb5,support_top35_a0.5,posterior_top,35,0.5,0.5,0.0,35,35,35,35,35,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.7408274285714284,0.58948,25.928959999999993,-0.06610699226815729,0.6164234285714285,0.3747599999999999,0.5257431314285714,0.010871964344578069,0.22383985419833818,0.002369543015281189,0.03750264228826794,-0.00010040475718515465,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top35_a0.5_c35_306c1bb5.csv
h047_support_top35_a0.58_c35_7ae9db24,support_top35_a0.58,posterior_top,35,0.58,0.58,0.0,35,35,35,35,35,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.7408274285714284,0.58948,25.928959999999993,-0.06610699226815729,0.6164234285714285,0.3747599999999999,0.5257431314285714,0.012611478639710563,0.25965423087007267,0.002745489514974098,0.04305671614590323,-0.00012513295130760574,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top35_a0.58_c35_7ae9db24.csv
h047_support_top35_a0.66_c35_4afb2405,support_top35_a0.66,posterior_top,35,0.66,0.66,0.0,35,35,35,35,35,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.7408274285714284,0.58948,25.928959999999993,-0.06610699226815729,0.6164234285714285,0.3747599999999999,0.5257431314285714,0.014350992934843052,0.2954686075418076,0.0031204850694227762,0.048488496918805524,-0.00014986114543006038,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top35_a0.66_c35_4afb2405.csv
h047_support_top35_a0.78_c35_d9e4a769,support_top35_a0.78,posterior_top,35,0.78,0.78,0.0,35,35,35,35,35,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.7408274285714284,0.58948,25.928959999999993,-0.06610699226815729,0.6164234285714285,0.3747599999999999,0.5257431314285714,0.01696026437754177,0.3491901725494082,0.003681140570729099,0.05640827282238181,-0.0001869534366137462,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top35_a0.78_c35_d9e4a769.csv
h047_support_top35_a0.92_c35_4fa161f2,support_top35_a0.92,posterior_top,35,0.92,0.92,0.0,35,35,35,35,35,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.7408274285714284,0.58948,25.928959999999993,-0.06610699226815729,0.6164234285714285,0.3747599999999999,0.5257431314285714,0.020004414394023635,0.411865331724943,0.004332353836871968,0.06530560317851364,-0.00022712521892261127,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top35_a0.92_c35_4fa161f2.csv
h047_support_top45_a0.42_c45_24fb8fab,support_top45_a0.42,posterior_top,45,0.42,0.42,0.0,45,45,42,45,45,0.875,0.42857142857142855,0.6,0.6946426666666666,0.5002,31.258919999999996,-0.14331558243679615,0.6002782222222222,0.3898711111111111,0.5104196355555555,0.011667321083894218,0.18802547752660437,0.0025653463232628844,0.031825780911449275,-0.00012716007415906343,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top45_a0.42_c45_24fb8fab.csv
h047_support_top45_a0.5_c45_cf8ea064,support_top45_a0.5,posterior_top,45,0.5,0.5,0.0,45,45,42,45,45,0.875,0.42857142857142855,0.6,0.6946426666666666,0.5002,31.258919999999996,-0.14331558243679615,0.6002782222222222,0.3898711111111111,0.5104196355555555,0.013889667957016908,0.22383985419833818,0.0030504126744009584,0.03750264228826794,-0.00015814210325091997,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top45_a0.5_c45_cf8ea064.csv
h047_support_top45_a0.58_c45_04d34551,support_top45_a0.58,posterior_top,45,0.58,0.58,0.0,45,45,42,45,45,0.875,0.42857142857142855,0.6,0.6946426666666666,0.5002,31.258919999999996,-0.14331558243679615,0.6002782222222222,0.3898711111111111,0.5104196355555555,0.01611201483013962,0.25965423087007267,0.0035342460591767065,0.04305671614590323,-0.00018912413234277995,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top45_a0.58_c45_04d34551.csv
h047_support_top45_a0.66_c45_5872949b,support_top45_a0.66,posterior_top,45,0.66,0.66,0.0,45,45,42,45,45,0.875,0.42857142857142855,0.6,0.6946426666666666,0.5002,31.258919999999996,-0.14331558243679615,0.6002782222222222,0.3898711111111111,0.5104196355555555,0.018334361703262324,0.2954686075418076,0.004016810949730218,0.048488496918805524,-0.00022010616143464213,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top45_a0.66_c45_5872949b.csv
