candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012,full_known_action_pred_delta_median,full_known_action_pred_delta_p10,full_known_action_pred_delta_p90,full_known_action_margin_vs_h012_median,full_known_action_margin_vs_h012_p10,full_known_action_margin_vs_h012_p90,full_known_action_support_better_than_h012,full_known_action_model_count,pre_h012_action_pred_delta_median,pre_h012_action_pred_delta_p10,pre_h012_action_pred_delta_p90,pre_h012_action_margin_vs_h012_median,pre_h012_action_margin_vs_h012_p10,pre_h012_action_margin_vs_h012_p90,pre_h012_action_support_better_than_h012,pre_h012_action_model_count,h042_pre_h024_score,full_known_h024_pred_public_median,full_known_h024_pred_public_p10,full_known_h024_pred_public_p90,full_known_h024_margin_vs_h012_median,full_known_h024_margin_vs_h012_p10,full_known_h024_margin_vs_h012_p90,full_known_h024_support_better_than_h012,full_known_h024_model_count,pre_h012_h024_pred_public_median,pre_h012_h024_pred_public_p10,pre_h012_h024_pred_public_p90,pre_h012_h024_margin_vs_h012_median,pre_h012_h024_margin_vs_h012_p10,pre_h012_h024_margin_vs_h012_p90,pre_h012_h024_support_better_than_h012,pre_h012_h024_model_count,h025_score,pred_gain_top1200_sum,pred_gain_mean_moved,pred_positive_rate_moved,ood_abs_delta_rate,h042_score,full_known_cond_pred_delta_median,full_known_cond_pred_delta_p10,full_known_cond_pred_delta_p90,full_known_cond_margin_vs_h012_median,full_known_cond_margin_vs_h012_p10,full_known_cond_margin_vs_h012_p90,full_known_cond_support_better_than_h012,full_known_cond_model_count,pre_h042_cond_pred_delta_median,pre_h042_cond_pred_delta_p10,pre_h042_cond_pred_delta_p90,pre_h042_cond_margin_vs_h012_median,pre_h042_cond_margin_vs_h012_p10,pre_h042_cond_margin_vs_h012_p90,pre_h042_cond_support_better_than_h012,pre_h042_cond_model_count,h045_conditional_score,is_current_h043,h045_promotable
h047_h043_support_sieve_q0.35_a0.66_c68_fb0e0fa1,submission_h047_h043_support_sieve_q0.35_a0.66_c68_fb0e0fa1.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_h043_support_sieve_q0.35_a0.66_c68_fb0e0fa1.csv,h043_support_sieve_q0.35_a0.66,h043_support_sieve_q0.35_a0.66,1,68,68,0.0049445746181545755,0.048488496918805524,0.02238977825682332,0.2954686075418076,-0.00017687640507072899,0.0007751570910333159,-1.4071747777100887e-07,-2.1384945542185514e-05,-0.0002529059095483354,-0.00036997817095125416,0.00014436305944669822,-0.0002676668576292564,-0.0005491233026473255,0.0002627581997898335,0.75,12,-0.00023138818057248916,-0.00031783639819095883,0.00019216593989855688,-3.388958059406203e-05,-0.000502278097311166,0.00029408326162774605,0.5833333333333334,12,0.7988231552162849,0.5743332864942836,0.5681988440441801,0.5987245510802279,0.006028267759149941,7.45125370543609e-05,0.030588109886805027,0.08333333333333333,12,0.5803983101237182,0.5374734560312014,0.5978587259507473,0.00055713327203194,-0.12885455379361882,0.03565636153617136,0.25,12,-1.4761211606296871,1.4761211606296871,0.02170766412690717,0.7941176470588235,0.0,1.3378132951653943,-0.00012072869664473979,-0.0007940723894819011,0.0023288872817846403,-0.00018655563453961674,-0.0007932827184827304,0.0008206064849268857,0.5833333333333334,12,-0.0005716972764900552,-0.0037134333619359416,0.00654123281864677,-0.0006301911855377687,-0.005664612985916291,0.0064174881225781,0.5833333333333334,12,1.153541666666667,False,True
h047_h043_support_sieve_q0.35_a0.58_c68_38d16acc,submission_h047_h043_support_sieve_q0.35_a0.58_c68_38d16acc.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_h043_support_sieve_q0.35_a0.58_c68_38d16acc.csv,h043_support_sieve_q0.35_a0.58,h043_support_sieve_q0.35_a0.58,1,68,68,0.004349939854123145,0.04305671614590323,0.019675865740844744,0.25965423087007267,-0.0001605370942365676,0.0006810863523436562,-2.0061497306730146e-06,-2.1131417069443697e-05,-0.00023893856455707574,-0.0003379752512719993,0.0002031989892886846,-0.00025295026561591993,-0.0004830002847910508,0.00023812889959535328,0.8333333333333334,12,-0.00023782389875190262,-0.00027795187949570063,0.0002454672457706912,-4.5771233883207946e-05,-0.00044189708786681117,0.00027454494621471806,0.5833333333333334,12,0.6871819338422391,0.5743205787363208,0.5681838514110439,0.5987257365675245,0.006015560001187081,5.951990391817042e-05,0.03058929537410161,0.08333333333333333,12,0.580397446990792,0.5374029746553816,0.5978568674993839,0.0004892751438166365,-0.12885473598200348,0.03565688485005038,0.25,12,-1.4669333834966498,1.4669333834966498,0.021572549757303678,0.7941176470588235,0.0,1.5526033715012721,-0.00010459144162977118,-0.0007600369081620336,0.002164262643974995,-0.00019067468846204003,-0.000759247237162863,0.0007214271378140374,0.5833333333333334,12,-0.0005211344125094462,-0.003783915832711226,0.0065429396938032815,-0.0005796283215571598,-0.005735095456691575,0.0064191949977346115,0.5833333333333334,12,1.1556250000000001,False,True
h047_support_top65_a0.58_c65_04eb52ca,submission_h047_support_top65_a0.58_c65_04eb52ca.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top65_a0.58_c65_04eb52ca.csv,support_top65_a0.58,support_top65_a0.58,1,65,65,0.004304405534925481,0.04305671614590323,0.019443101720692947,0.25965423087007267,-0.0001602513922905291,0.000682920321453135,-1.592129088553881e-06,-2.1074633726149003e-05,-0.00023732226142150759,-0.0003243217589745672,0.0002036739948581959,-0.00025097885817545844,-0.0004816883387110016,0.0002330862996071316,0.75,12,-0.00023624243333779035,-0.00027528249065886625,0.00024600709232980663,-4.0725441881934825e-05,-0.00044063089351801377,0.00026752755418930907,0.5833333333333334,12,0.7635178117048346,0.5743101248626273,0.5681830412334254,0.5988016131617645,0.006005106127493609,5.87097262996994e-05,0.030665171968341575,0.08333333333333333,12,0.5807364046348349,0.5374000220772303,0.5978636396365178,0.0004860614654323969,-0.1285324676730081,0.03566475479529108,0.25,12,-1.4118465899732362,1.4118465899732362,0.02172071676881902,0.8,0.0,1.233109096692112,-0.0001277916625467791,-0.0007405664666131248,0.002092426431377283,-0.00020216666583086022,-0.0007397767956139542,0.0006897837181466577,0.5833333333333334,12,-0.0005064576427469825,-0.003801584168702539,0.006571194490332515,-0.000564951551794696,-0.005752763792682888,0.006447449794263845,0.5833333333333334,12,1.1783333333333337,False,True
h047_support_top65_a0.66_c65_43573727,submission_h047_support_top65_a0.66_c65_43573727.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top65_a0.66_c65_43573727.csv,support_top65_a0.66,support_top65_a0.66,1,65,65,0.004892814010174409,0.048488496918805524,0.02212490885458162,0.2954686075418076,-0.00017657143293968442,0.0007770970795738998,3.1813216119572677e-07,-2.1324610810980284e-05,-0.00024635708235670045,-0.0003661809805549948,0.00014494528713829177,-0.00025993177630356974,-0.0005476461512794256,0.0002573279594354455,0.75,12,-0.0002273914740214527,-0.000315534158657527,0.00019280952780513586,-2.8854417751755963e-05,-0.0005008566133751025,0.0002868944046447823,0.5833333333333334,12,0.8835559796437659,0.5743225837720369,0.5681975984232112,0.5988004421957512,0.006017565036903205,7.326691608536829e-05,0.03066400100232839,0.08333333333333333,12,0.580737242771797,0.5374700093993677,0.5978654840291808,0.0005534405151940147,-0.1285322966509473,0.03566424263227059,0.25,12,-1.4205557967845877,1.4205557967845877,0.021854704565916736,0.8,0.0,0.9839837786259542,-0.0001429841971355688,-0.0007738755342445959,0.0022566064663522437,-0.00018789032454590796,-0.0007730858632454252,0.0007884544926339105,0.5833333333333334,12,-0.0005559424980032075,-0.003731407826882918,0.006569688509290525,-0.0006144364070509211,-0.005682587450863267,0.006445943813221855,0.5833333333333334,12,1.2145833333333333,False,True
h047_h043_support_sieve_q0.35_a0.78_c68_4ab6cba0,submission_h047_h043_support_sieve_q0.35_a0.78_c68_4ab6cba0.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_h043_support_sieve_q0.35_a0.78_c68_4ab6cba0.csv,h043_support_sieve_q0.35_a0.78,h043_support_sieve_q0.35_a0.78,1,68,68,0.005833823701256044,0.05640827282238181,0.02646064703079119,0.3491901725494082,-0.00019878045868217372,0.0009166358583476581,3.6079141235255627e-06,-2.058345139281354e-05,-0.00024353139507690084,-0.0004344405309410179,0.00014381953494711224,-0.0002710291308400661,-0.0006480543738795823,0.0002910796374856875,0.75,12,-0.0002084862731545475,-0.00037976024888919363,0.00011242112565467013,-1.4624309722173663e-05,-0.0005925563700978107,0.00032731350966577234,0.5833333333333334,12,1.024968193384224,0.5743522179277731,0.5682211193724864,0.5987227472020424,0.0060471991926394075,9.67878653607146e-05,0.030586306008619512,0.0,12,0.5803996507221034,0.5375790097718478,0.5978614678030464,0.0006587095492451844,-0.1288542661237153,0.03565556145463153,0.25,12,-1.4813542270320281,1.4813542270320281,0.021784620985765123,0.7794117647058824,0.0,0.9447503180661578,-0.00013134325786134157,-0.0008439058009946602,0.0025771615407669895,-0.00016594823482080513,-0.0008431161299954895,0.000969363662725476,0.5833333333333334,12,-0.0006473694439293968,-0.003607634891470622,0.0065390434265475954,-0.0007058633529771104,-0.0055588145154509706,0.0064152987304789254,0.5833333333333334,12,1.2610416666666668,False,True
h047_support_top55_a0.66_c55_07e99aa0,submission_h047_support_top55_a0.66_c55_07e99aa0.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top55_a0.66_c55_07e99aa0.csv,support_top55_a0.66,support_top55_a0.66,1,55,55,0.004469516012167219,0.048488496918805524,0.020334866382514458,0.2954686075418076,-0.0001676619052998708,0.0007466381250651961,4.3421742373256756e-07,-1.975870234343767e-05,-0.00022473878466020957,-0.0003364030814811555,0.00016836502910534196,-0.0002340244026370463,-0.0005184821101202017,0.00023086328865409852,0.75,12,-0.00022005408202920192,-0.0002907203658005926,0.00021450228998991792,-1.3347201945332343e-05,-0.000473918833974765,0.0002578401113591127,0.5833333333333334,12,1.0736323155216287,0.5743399518260834,0.568186391609908,0.5988015158458881,0.006034933090949712,6.206010278229091e-05,0.030665074652465273,0.08333333333333333,12,0.579908094453395,0.5374426834221417,0.5985960281463509,0.0005259263368408984,-0.12912074767112994,0.0364306297962391,0.25,12,-1.092897004727124,1.092897004727124,0.019870854631402268,0.7818181818181819,0.0,1.3443940839694657,-0.00017634729792773488,-0.0006134319771286931,0.0020654978074770786,-0.00021095227488719843,-0.0006125539629007883,0.0006918182205606967,0.5833333333333334,12,-0.00045797770931766454,-0.0036365131223573656,0.006638192649652229,-0.0005164716183653781,-0.005587692746337715,0.006514447953583559,0.5833333333333334,12,1.314375,False,True
h047_h042core_support_tail14_a0.66_0.44_c59_98737e9b,submission_h047_h042core_support_tail14_a0.66_0.44_c59_98737e9b.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_h042core_support_tail14_a0.66_0.44_c59_98737e9b.csv,h042core_support_tail14_a0.66_0.44,h042core_support_tail14_a0.66_0.44,2,59,59,0.0046602959255493065,0.048488496918805524,0.021043289125369753,0.2954686075418076,-0.00017800170991593925,0.0007810724204279165,1.69119411957447e-06,-1.8159751663989864e-05,-0.00023140658336575932,-0.0003671236672712932,0.00013510638268372771,-0.0002462446219403773,-0.0005567243385167643,0.00024448731311078745,0.75,12,-0.00021496282423906412,-0.00032098016711568143,0.0001836253941440711,-8.044788049857594e-06,-0.0005096190735913813,0.00027226899541370024,0.5833333333333334,12,1.0717239185750635,0.5742519497228866,0.5682025587862647,0.5983935049969396,0.005946930987752952,7.822727913893158e-05,0.030257063803516695,0.0,12,0.5804166048149322,0.5374694776626727,0.5973963240114716,0.0005520198447926394,-0.12871592883649946,0.03517764161357983,0.25,12,-1.154530176850106,1.154530176850106,0.019568308082205197,0.7796610169491526,0.0,0.9761927480916031,-0.00013732925293428143,-0.0006193036994830134,0.0019775234823389597,-0.000211861595468028,-0.0006185140284838427,0.0006800485600911209,0.5833333333333334,12,-0.0003245545295020649,-0.003913566109540731,0.006944463823213672,-0.0003830484385497785,-0.0058649993224176725,0.006820719127145002,0.5833333333333334,12,1.315416666666667,False,True
h047_support_top65_a0.78_c65_39862122,submission_h047_support_top65_a0.78_c65_39862122.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_support_top65_a0.78_c65_39862122.csv,support_top65_a0.78,support_top65_a0.78,1,65,65,0.005772748448781394,0.05640827282238181,0.026147619555414635,0.3491901725494082,-0.0001984556592099604,0.0009182817833788845,4.128476397384077e-06,-2.051971910631236e-05,-0.00023749510870805807,-0.0004317390604710156,0.00013773618760290298,-0.00025752189299953123,-0.0006463735891653589,0.0002842867919503579,0.75,12,-0.0002049868374484863,-0.00037730979170755573,0.00011317900791882371,-9.6997474404786e-06,-0.0005909566144771947,0.0003211536067400392,0.5,12,1.0893129770992367,0.5743411426073058,0.5682192216974067,0.598798659984871,0.006036123872172117,9.489019028091628e-05,0.030662218791448183,0.0,12,0.5807385460119495,0.5375748229540015,0.5978682047880703,0.0006542990583099373,-0.12853202568141756,0.03566345920994895,0.25,12,-1.4257888631869284,1.4257888631869284,0.021935213279798898,0.7846153846153846,0.0,1.5282092875318067,-0.000131540751667358,-0.0008242821917310512,0.0025038748541137954,-0.00016614572862682156,-0.0008234041775031465,0.0009364438415827141,0.5833333333333334,12,-0.0006300271915168892,-0.0036260858876669133,0.006567740824798059,-0.0006885211005646028,-0.005577265511647262,0.006443996128729389,0.5833333333333334,12,1.3170833333333334,False,True
h047_h043_support_sieve_q0.45_a0.66_c58_ee9f1cd9,submission_h047_h043_support_sieve_q0.45_a0.66_c58_ee9f1cd9.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_h043_support_sieve_q0.45_a0.66_c58_ee9f1cd9.csv,h043_support_sieve_q0.45_a0.66,h043_support_sieve_q0.45_a0.66,1,58,58,0.004664294079220187,0.048488496918805524,0.021133864672805112,0.2954686075418076,-0.00017398778908376956,0.0007775705907907453,6.907253925658342e-07,-1.9971572486214923e-05,-0.0002271985707651943,-0.0003522166218002958,0.00014987882761215209,-0.0002408864023098452,-0.0005400539099169492,0.00024203136523844133,0.75,12,-0.0002152485288625149,-0.0003052255635221414,0.00019764332533449172,-1.1519185534002857e-05,-0.0004936874812630912,0.0002697267401255258,0.5833333333333334,12,1.0833651399491095,0.5743165559511416,0.5681973441507391,0.5988199859725734,0.0060115372160078895,7.301264361335713e-05,0.03068354477915043,0.0,12,0.5806159581353024,0.5374621834995329,0.5979236915457385,0.0005450169872099897,-0.1286652307366606,0.03572723328681768,0.25,12,-1.1414297056744918,1.1414297056744918,0.019679822511629173,0.7758620689655172,0.0,1.2087150127226467,-0.00016834846965442778,-0.0006435209563889335,0.002074271460460729,-0.00020295344661389134,-0.0006426429421610287,0.0007071962573302103,0.5833333333333334,12,-0.00047479895686265705,-0.003759057872826042,0.0067255492674816635,-0.0005332928659103706,-0.005710237496806391,0.0066018045714129935,0.5833333333333334,12,1.3229166666666667,False,True
h047_h042core_support_tail14_a0.58_0.44_c59_1a537766,submission_h047_h042core_support_tail14_a0.58_0.44_c59_1a537766.csv,/Users/kbsoo/Downloads/cl2/hitl/h047_q2_support_identity_jepa/submission_h047_h042core_support_tail14_a0.58_0.44_c59_1a537766.csv,h042core_support_tail14_a0.58_0.44,h042core_support_tail14_a0.58_0.44,2,59,59,0.004137174601544195,0.04305671614590323,0.018661948220791123,0.25965423087007267,-0.0001617513445932107,0.0006864456102289148,-4.6390722423687283e-07,-1.8614325833190458e-05,-0.00023635183468160518,-0.00032536482597706926,0.0001939728390388935,-0.00023449445006576593,-0.0004909256634734844,0.00022510316962276968,0.75,12,-0.00022644768587955482,-0.0002800649800116368,0.00023694873807698374,-2.2097315635117437e-05,-0.000449507177183682,0.00025392355994247886,0.5833333333333334,12,0.9198155216284988,0.5742380433144405,0.5681887590102526,0.5983515924841386,0.005933024579306723,6.442750312678492e-05,0.03021515129071567,0.08333333333333333,12,0.5802797360122913,0.5374015723303366,0.5973856324008993,0.00048671013322432177,-0.12883559785922943,0.035168589347157345,0.25,12,-1.1488940189165737,1.1488940189165737,0.019472779981636847,0.7796610169491526,0.0,1.1870165394402035,-0.00012521996652339277,-0.0006023010327960418,0.0018398728612650968,-0.00021130321335566162,-0.0006015113617968712,0.0005924157563550077,0.5833333333333334,12,-0.0003056563214852712,-0.003978182205762799,0.006914814574053954,-0.0003641502305329848,-0.005929615418639741,0.006791069877985284,0.5833333333333334,12,1.3439583333333336,False,True
