q_source,row_prior,subset_size,label_mode,particles,best_mae,median_mae,best_spearman,lofo_mae,lofo_max_abs
h041_route_public_hardmix,h041_support_public,155,sample,18,0.0007757465450385713,0.0016407198321992025,0.9233082706754202,0.00013209285663425083,0.00041295354123180826
posterior_vector_mid,h041_public_x_transition,125,sample,18,0.0006431911795652682,0.001550720175183761,0.9353383458633734,0.00013882497402342023,0.00043174509411727895
h012posterior,h041_public_route,230,sample,18,0.0003392826779497771,0.0013344159429465392,0.9533834586453034,0.00013898826960223243,0.000839615758190573
h041_route_transition_q,h041_public_x_transition,190,sample,18,0.0005673348629206899,0.001219281206926292,0.9774436090212101,0.0001405338424923924,0.0006438065136066332
h041_route_transition_q,h041_uncertain_public,190,sample,18,0.00038746681739251874,0.0011045063184791995,0.9593984962392803,0.00014062003383145532,0.0005589511740073903
posterior_vector_mid,h041_public_route_sharp,155,sample,18,0.0004747805217746277,0.00231638924934562,0.9548872180437975,0.00014240421661415316,0.0007915104900490921
posterior_vector_mid,h041_uncertain_public,230,sample,18,0.00046568017169374977,0.0021589124107216505,0.9548872180437975,0.00015451490295102555,0.0004223097671086952
posterior_vector_mid,h041_transition_exception,190,sample,18,0.0005751532003954514,0.0015429893776781355,0.9729323308257276,0.0001545771044318206,0.0005681216506154014
h041_route_transition_q,h041_public_not_private,125,sample,18,0.0006902786000902615,0.0016537092888709024,0.9548872180437976,0.00015507001560006233,0.0008235494013769714
h041_route_transition_q,h041_transition_exception,230,sample,18,0.00043497061013974436,0.0010500881671866914,0.9699248120287395,0.0001606474749648574,0.0013924947190835334
h041_route_public_hardmix,h041_public_route,230,sample,18,0.00031802880530305415,0.001236976257090899,0.9714285714272337,0.00016410383016851675,0.0010818873520494002
h012posterior,h041_transition_exception_sharp,190,sample,18,0.0005921767943978523,0.002548529980225703,0.948872180449821,0.00016436114863569527,0.0007208703619247993
h041_route_public_hardmix,h041_support_public,190,sample,18,0.0003742585261682888,0.0015425639021043912,0.9593984962392801,0.00016673281022991753,0.0006426160166361512
h041_route_transition_q,h041_support_public,125,sample,18,0.0008078465713281441,0.00319320630078742,0.9308270676678909,0.00016675165332331182,0.0007411329690683813
h041_route_public_q,h041_world_public_prior,190,sample,18,0.0005237488858581884,0.0013637903202157495,0.9669172932317508,0.00016863837135737232,0.000547258196672281
h041_route_transition_q,h041_private_inverse,155,sample,18,0.00055883513392021,0.0010942533996190907,0.9293233082693967,0.0001687238543616379,0.0005883774726271156
posterior_vector_mid,h041_support_public,125,sample,18,0.0006442886087469411,0.001890011786366319,0.9548872180437978,0.00016910284640257907,0.0010267448863857682
h041_e247_phase_q,h041_transition_exception,190,sample,18,0.00058407244150246,0.0018791665886351875,0.9744360902242217,0.00017138355453057393,0.0011979462130156555
h041_route_transition_q,h041_reliable_transition,190,sample,18,0.00028070650828832346,0.001406159185208962,0.9458646616528326,0.00017297407014238273,0.0006978205676729937
h012posterior,h041_transition_exception,190,sample,18,0.0005749658793904505,0.0017024114310134242,0.966917293231751,0.00017713051296226753,0.0007315121088876074
h012posterior,h041_public_not_private,155,sample,18,0.0005278626102471157,0.0020537741491792705,0.9383458646603617,0.0001789597135964047,0.0009359396685142789
posterior_vector_mid,h041_uncertain_public,155,sample,18,0.0005601321678562613,0.002131573159397931,0.9819548872166927,0.0001803458015615161,0.0010438098416019753
h012posterior,h041_world_public_prior,230,sample,18,0.00038620830502436923,0.0014732780609887496,0.9593984962392802,0.00018343084789766345,0.0010028575857317385
h041_e247_phase_q,h041_memory_disagree_public,155,sample,18,0.00045770794288166317,0.002228706035691646,0.9428571428558442,0.00018363196134923892,0.0009288344401935569
h041_e247_phase_q,h041_world_public_prior,190,sample,18,0.0005293286280896044,0.0012449781539422243,0.9368421052618677,0.0001836397771776504,0.00048592444086005895
h041_route_public_hardmix,h041_public_not_private,190,sample,18,0.0004097658547822376,0.0009693059996277512,0.9804511278181984,0.00018411226672359338,0.0005548460423889703
h012posterior,h041_transition_exception_sharp,230,sample,18,0.0005402488737060992,0.001239118216829584,0.9533834586453034,0.0001862726945167311,0.0007423613055694347
posterior_vector_mid,uniform,190,sample,18,0.0005761419418296692,0.0018076091862367686,0.9624060150362687,0.0001871695148365331,0.0005706998839510608
h041_route_transition_q,h041_public_not_private,190,sample,18,0.0006198734581822449,0.0014612602631187293,0.9443609022543384,0.00018810636886761696,0.0007229982410545486
h012posterior,h041_world_public_prior,155,sample,18,0.0007810573391469893,0.001826501896085898,0.9593984962392801,0.0001881999382961355,0.0010958503276256183
h041_e247_phase_q,h041_reliable_transition,95,sample,18,0.00047970359597511317,0.0027840893110525787,0.8827067669160775,0.0001901472587597177,0.0007067947926607809
posterior_vector_mid,h041_world_public_prior,230,sample,18,0.0002129242885634446,0.0010575189914856992,0.9503759398483151,0.00019225414384483453,0.001004417927338722
h041_route_public_hardmix,h041_transition_exception_sharp,230,sample,18,0.00026717019438516975,0.0012659261103064932,0.948872180449821,0.00019228253241709752,0.0008282216956478471
h041_route_public_hardmix,h041_support_public,55,sample,18,0.0007300590450301176,0.003698454300154518,0.8872180451115599,0.00019380644965398202,0.0006608341799559277
h041_route_public_q,h041_reliable_transition,230,sample,18,0.0005267122074035641,0.0013920949572420879,0.9488721804498208,0.00019439206078580357,0.000594114968351659
h041_route_public_hardmix,h041_uncertain_public,190,sample,18,0.00038678928809421885,0.0017906827544418836,0.9533834586453035,0.00019538118249933114,0.0008898961692943696
h041_route_public_hardmix,h041_public_x_transition,230,sample,18,0.00041335283070423085,0.0011417434033569886,0.9684210526302451,0.00019766320271601836,0.0009160143193007418
h041_e247_phase_q,h041_public_route_sharp,190,sample,18,0.0004931766024688652,0.0013718816794522507,0.9714285714272335,0.000201652033811688,0.0009660733294659489
h041_route_public_hardmix,h041_transition_exception,190,sample,18,0.0006724585604852094,0.0014447306348133078,0.9714285714272335,0.00020183820049671794,0.0006239907477006389
posterior_vector_mid,h041_public_x_transition,190,sample,18,0.0005352171189802249,0.00139702803297645,0.9518796992468094,0.00020618705573840647,0.0004619066529671801
h041_e247_phase_q,h041_public_x_transition,190,sample,18,0.0005352346372335103,0.001381274636670805,0.9563909774422916,0.00020641063969024383,0.0005187624851459849
h012,h041_memory_disagree_public,75,sample,18,0.0007798277311143337,0.002146626648937618,0.8992481202995135,0.00020856008851056858,0.0006798868704515487
h041_route_public_q,h041_support_public,95,sample,18,0.0007888361246683569,0.00224390891279523,0.9248120300739142,0.0002111863594699585,0.0015092878421431675
posterior_vector_mid,h041_support_public,95,temperature_sample,12,0.0008347733924984231,0.0030294152196916353,0.8796992481190893,0.0002119481087701788,0.0007495909822861913
h041_route_public_hardmix,h041_public_x_transition,125,sample,18,0.0006740019017994513,0.002798843321228561,0.9593984962392802,0.00021355514635851627,0.0012562452922054712
h041_route_transition_q,uniform,230,sample,18,0.0004840135859942382,0.0016975502136482468,0.9593984962392802,0.00021487323156572151,0.0010367773263233165
h041_e247_phase_q,h041_public_route_sharp,155,sample,18,0.0008646132518736911,0.0017838812033811793,0.9609022556377745,0.00021698933022265692,0.001109471283367752
h041_route_transition_q,h041_transition_exception,190,sample,18,0.00045543228001289056,0.0012581791316777502,0.966917293231751,0.00021710152545802484,0.0011637115751862905
posterior_vector_mid,h041_support_public,75,sample,18,0.0007685787665026395,0.001848063680982733,0.9278195488709027,0.00022139307975808193,0.0009108358260048067
posterior_vector_mid,h041_public_not_private,190,sample,18,0.0005308635413146919,0.0020260256634246857,0.9804511278181985,0.00022396383581320503,0.0007383480023153265
posterior_vector_mid,h041_public_route,230,sample,18,0.0005282361996015005,0.0021303316571251716,0.9789473684197043,0.00022398148400460793,0.0007293824330132318
posterior_vector_mid,h041_memory_disagree_public,125,sample,18,0.0010763636452393993,0.0017988374352435527,0.9563909774422918,0.00022628333826897563,0.0010957718959500803
h041_route_transition_q,h041_world_public_prior,230,sample,18,0.00034411880254948447,0.001362047610558926,0.9593984962392801,0.00022724188851543076,0.000990748353209666
h041_route_public_q,h041_public_x_transition,230,sample,18,0.0005931490314446468,0.0013128505707556627,0.9789473684197044,0.00022735143655675942,0.0012105494568431727
h012posterior,h041_memory_disagree_public,155,sample,18,0.0008041908281451345,0.0014019093528050762,0.9473684210513267,0.0002281554910293018,0.0012133062785391162
posterior_vector_mid,h041_memory_disagree_public,190,sample,18,0.0007656953214208014,0.002223934042381283,0.932330827066385,0.00022816727587793452,0.0008886250723579465
h041_e247_phase_q,h041_private_inverse,190,sample,18,0.0002874840676195142,0.0012473944519428666,0.9714285714272337,0.00022888659375103334,0.0007250370039045273
h041_e247_phase_q,h041_reliable_transition,155,sample,18,0.0006680622422256603,0.0025659071171275755,0.9654135338332568,0.00022907707262793397,0.0007685541276860452
h041_route_transition_q,h041_world_public_prior,155,sample,18,0.00030047437336398395,0.0013968546737662857,0.9789473684197044,0.00023210147328552884,0.0007529986657608297
h041_route_public_q,h041_uncertain_public,125,sample,18,0.0006762932791289434,0.0014718633789879163,0.9187969924799373,0.0002330689645490715,0.001111221368766192
h041_e247_phase_q,h041_transition_exception_sharp,190,sample,18,0.0007417967185656215,0.00200233432487337,0.9233082706754201,0.0002344664718951758,0.0011462917730502911
h041_route_public_hardmix,h041_transition_exception_sharp,190,sample,18,0.000568013194289829,0.00150650701680822,0.957894736840786,0.0002345446906448512,0.0012615428043537043
posterior_vector_mid,h041_uncertain_public,190,sample,18,0.0006989703547975209,0.0017973399224849326,0.930827067667891,0.00023479216528945034,0.0011868581852098811
h041_route_public_q,h041_memory_disagree_public,190,sample,18,0.000674948448086893,0.001781182602853463,0.957894736840786,0.00023670301640003072,0.0004520601094163846
h012posterior,h041_support_public,230,sample,18,0.0004376464027300084,0.0016429614939865332,0.9729323308257278,0.0002373791128120686,0.0009795360460551766
