candidate_id,file,resolved_path,family,components,component_count,source,target_group,k,alpha,agree_only,changed_cells_vs_h012,changed_rows_vs_h012,changed_cells_vs_h042,changed_rows_vs_h042,q2_changed_cells_vs_h042,non_q2_changed_cells_vs_h042,h042_overlap_cells,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,mean_abs_prob_move_h042,max_abs_prob_move_h042,route_equation_delta_vs_h012,route_delta_gain_vs_h042,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012,pre_score
h050_target_phase_route_world_mid_ALL_NON_Q2_k220_a0.3_agree_5a169f6a,submission_h050_target_phase_route_world_mid_ALL_NON_Q2_k220_a0.3_agree_5a169f6a.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_world_mid_ALL_NON_Q2_k220_a0.3_agree_5a169f6a.csv,target_phase,route_world_mid:ALL_NON_Q2:k220:a0.3:agree,1,route_world_mid,ALL_NON_Q2,220,0.3,True,265,149,220,137,0,220,45,0.002169350703286987,0.04220469535914445,0.04579904852560483,1.3500000000003016,0.0016976010795200368,0.04220469535914445,-0.0009480990181049453,-0.0008074312243448263,0.001550663429850413,-0.00025394390972757514,-0.0006285870132502847,0.25108459869848154
h050_target_phase_route_world_mid_Q3S_k220_a0.3_agree_73e821ab,submission_h050_target_phase_route_world_mid_Q3S_k220_a0.3_agree_73e821ab.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_world_mid_Q3S_k220_a0.3_agree_73e821ab.csv,target_phase,route_world_mid:Q3S:k220:a0.3:agree,1,route_world_mid,Q3S,220,0.3,True,265,147,220,133,0,220,45,0.0021501765802384985,0.04052055793493714,0.04214793606605272,1.3500000000003016,0.0016784269564715482,0.04052055793493714,-0.0008962524526843962,-0.0007555846589242772,0.0015169393074245061,-0.00022605981488632394,-0.0005953831826357712,0.2522776572668113
h050_target_phase_route_phase_ALL_NON_Q2_k220_a0.3_agree_34cb25e4,submission_h050_target_phase_route_phase_ALL_NON_Q2_k220_a0.3_agree_34cb25e4.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_phase_ALL_NON_Q2_k220_a0.3_agree_34cb25e4.csv,target_phase,route_phase:ALL_NON_Q2:k220:a0.3:agree,1,route_phase,ALL_NON_Q2,220,0.3,True,265,145,220,134,0,220,45,0.0017920965377598245,0.039245254402584195,0.04233913999513696,1.3500000000003016,0.0013203469139928745,0.039245254402584195,-0.00079005850486147,-0.0006493907111013509,0.0012473653104168286,-0.0002577635750059514,-0.0005944258184837674,0.25366052060737526
h050_target_phase_route_world_mid_S_k220_a0.3_agree_4561c4b9,submission_h050_target_phase_route_world_mid_S_k220_a0.3_agree_4561c4b9.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_world_mid_S_k220_a0.3_agree_4561c4b9.csv,target_phase,route_world_mid:S:k220:a0.3:agree,1,route_world_mid,S,220,0.3,True,265,150,220,136,0,220,45,0.002057430183534288,0.04031457538383709,0.041215543624957246,1.3500000000003016,0.0015856805597673383,0.04031457538383709,-0.0008213314619996536,-0.0006806636682395346,0.0014589524782681077,-0.00018135462408042408,-0.0005453810419815373,0.25420281995661603
h050_target_phase_route_world_mid_ALL_NON_Q2_k150_a0.3_agree_6c854592,submission_h050_target_phase_route_world_mid_ALL_NON_Q2_k150_a0.3_agree_6c854592.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_world_mid_ALL_NON_Q2_k150_a0.3_agree_6c854592.csv,target_phase,route_world_mid:ALL_NON_Q2:k150:a0.3:agree,1,route_world_mid,ALL_NON_Q2,150,0.3,True,195,117,150,100,0,150,45,0.0014589190857755895,0.04220469535914445,0.041676630801493635,1.3500000000003016,0.0009871694620086394,0.04220469535914445,-0.0006938085771412851,-0.0005531407833811661,0.0013369244730860677,-0.00022660558240998496,-0.0005216082752904278,0.2546637744034707
h050_target_phase_route_phase_Q3S_k220_a0.3_agree_388ac020,submission_h050_target_phase_route_phase_Q3S_k220_a0.3_agree_388ac020.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_phase_Q3S_k220_a0.3_agree_388ac020.csv,target_phase,route_phase:Q3S:k220:a0.3:agree,1,route_phase,Q3S,220,0.3,True,265,147,220,133,0,220,45,0.001801713882125838,0.039245254402584195,0.03897607758176123,1.3500000000003016,0.001329964258358888,0.039245254402584195,-0.0007551631872404775,-0.0006144953934803584,0.001232768059753699,-0.0002312102077419505,-0.0005568274700457177,0.2551247288503254
h050_target_phase_route_world_mid_ALL_NON_Q2_k220_a0.19_free_6b20acf4,submission_h050_target_phase_route_world_mid_ALL_NON_Q2_k220_a0.19_free_6b20acf4.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_world_mid_ALL_NON_Q2_k220_a0.19_free_6b20acf4.csv,target_phase,route_world_mid:ALL_NON_Q2:k220:a0.19:free,1,route_world_mid,ALL_NON_Q2,220,0.19,False,265,145,220,133,0,220,45,0.0015288209429185908,0.03750264228826794,0.031010836361138737,1.3499999999999845,0.0010570713191516408,0.026502876373356188,-0.0006970016323763131,-0.0005563338386161941,0.001094164290963189,-0.0001990863624534086,-0.00047757360719571034,0.25686008676789585
h050_target_phase_posterior_mid_ALL_NON_Q2_k220_a0.3_agree_747b4692,submission_h050_target_phase_posterior_mid_ALL_NON_Q2_k220_a0.3_agree_747b4692.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_posterior_mid_ALL_NON_Q2_k220_a0.3_agree_747b4692.csv,target_phase,posterior_mid:ALL_NON_Q2:k220:a0.3:agree,1,posterior_mid,ALL_NON_Q2,220,0.3,True,265,141,220,129,0,220,45,0.0015036591312182273,0.037963583998941175,0.03933577658209828,1.3500000000003016,0.0010319095074512775,0.037963583998941175,-0.0006543192629579169,-0.000513651469197798,0.0010561486564098146,-0.0002611890214776649,-0.0005458641341764315,0.2586767895878525
h050_target_phase_route_world_mid_Q3S_k150_a0.3_agree_5dc1f368,submission_h050_target_phase_route_world_mid_Q3S_k150_a0.3_agree_5dc1f368.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_world_mid_Q3S_k150_a0.3_agree_5dc1f368.csv,target_phase,route_world_mid:Q3S:k150:a0.3:agree,1,route_world_mid,Q3S,150,0.3,True,195,116,150,99,0,150,45,0.0014928128654521358,0.04052055793493714,0.03841096109448204,1.3500000000003016,0.0010210632416851858,0.04052055793493714,-0.0006848755047316093,-0.0005442077109714903,0.0013529925323527417,-0.00019522966160781836,-0.0005015801926826505,0.2588123644251627
h050_target_phase_route_phase_S_k220_a0.3_agree_d2328089,submission_h050_target_phase_route_phase_S_k220_a0.3_agree_d2328089.csv,/Users/kbsoo/Downloads/cl2/hitl/h050_target_route_phase_jepa/submission_h050_target_phase_route_phase_S_k220_a0.3_agree_d2328089.csv,target_phase,route_phase:S:k220:a0.3:agree,1,route_phase,S,220,0.3,True,265,150,220,136,0,220,45,0.001721312479253999,0.03750264228826794,0.03807766554130145,1.3500000000003016,0.0012495628554870487,0.028886529826538332,-0.0006927776000305661,-0.0005521098062704472,0.0012136768310768737,-0.00018442046654243384,-0.000510296493707324,0.2590835140997831
