target,changed_cells,posterior_gain,disagree_cells,agree_cells,disagree_gain_share,total_gain_share
S2,207,2.732940594092557,120,87,0.7987652788045903,0.21801110670956328
S1,194,2.5465709975936277,133,61,0.7825230716090799,0.2031441015219744
Q3,141,1.9310750979816456,63,78,0.4501359528827239,0.15404499466994231
Q1,167,1.716407641319828,92,75,0.7399221059953349,0.1369206232501861
S4,192,1.6496122524126233,131,61,0.8402624964203368,0.13159224666921235
S3,194,1.4867055547613652,111,83,0.6821402443959891,0.1185969150026111
Q2,105,0.4724739295335605,64,41,0.6659688507620312,0.03769001217651029
