seed,train_days,val_days,final_train_loss,final_val_loss,best_val_loss,view,device,channels_selected,channel_groups_selected,embedding_dim,embedding_norm_mean,embedding_axis_std_mean,embedding_axis_std_min,embedding_effective_rank,subject_centroid_leakage,adjacent_cosine_mean,random_cosine_mean,temporal_locality_gap,train_sample_mean_l2,train_sample_std_l2
2026,574,126,0.7509908939903206,0.7761653065681458,0.6850390583276749,only_missingness,mps,21,['missingness'],24,4.898591041564941,0.13355033099651337,0.06630243360996246,1.947404865000328,0.26142857142857145,0.9866159927153932,0.9770989055218904,0.00951708719350286,0.09321262687444687,0.16957803070545197
2026,574,126,0.7249809765234226,0.7207385301589966,0.7113086879253387,only_event,mps,11,['event'],24,4.898602485656738,0.073811836540699,0.02616690658032894,3.2420060311529566,0.1957142857142857,0.9948104104270106,0.9930681349574656,0.0017422754695449738,0.01929595321416855,0.021886540576815605
2026,574,126,0.7441732789996609,0.7372863292694092,0.7338055372238159,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.898564338684082,0.0747324526309967,0.027367981150746346,3.0084709685653643,0.2671428571428571,0.9962520136349443,0.9932889427827752,0.0029630708521690696,0.027369920164346695,0.07485131174325943
2027,574,126,0.7271461790031672,0.7556837201118469,0.7352551221847534,only_event,mps,11,['event'],24,4.898371696472168,0.11400210857391357,0.057068053632974625,3.970053340587987,0.22142857142857142,0.986672565125037,0.9836994248887767,0.0029731402362602743,0.03279803693294525,0.023585129529237747
2027,574,126,0.8189666996018812,0.9401369690895081,0.7619109749794006,only_missingness,mps,21,['missingness'],24,4.898496150970459,0.12004927545785904,0.04832051321864128,2.452989574448349,0.26857142857142857,0.9923672226892002,0.9825784989889117,0.009788723700288493,0.06180739775300026,0.14696872234344482
2026,574,126,0.7863716514268403,0.7866068184375763,0.7669889628887177,no_body,mps,79,"['ambience', 'cross_modal', 'event', 'gps_radio', 'light', 'missingness', 'phone']",24,4.898684501647949,0.07316893339157104,0.018486274406313896,1.5416965123147888,0.3628571428571429,0.9973167371922645,0.9931808921737947,0.004135845018469864,0.038707491010427475,0.041265856474637985
2027,574,126,0.778471500200677,0.8275234997272491,0.7768794298171997,event_cross_missing,mps,34,"['cross_modal', 'event', 'missingness']",24,4.898573398590088,0.05224846675992012,0.02283807471394539,3.239275946672414,0.23714285714285716,0.9978909685991812,0.9967459459235702,0.0011450226756110071,0.022879838943481445,0.051257435232400894
2027,574,126,0.7976554906326719,0.8348464369773865,0.8226882517337799,no_body,mps,79,"['ambience', 'cross_modal', 'event', 'gps_radio', 'light', 'missingness', 'phone']",24,4.898770809173584,0.03861822932958603,0.013424006290733814,3.7121356609186935,0.37,0.9989914169346077,0.9982115875983584,0.0007798293362493158,0.014610400423407555,0.0331151969730854
2026,574,126,0.8589827563704514,0.8322248756885529,0.8322248756885529,event_cross_phone_missing,mps,47,"['cross_modal', 'event', 'missingness', 'phone']",24,4.898558616638184,0.08939511328935623,0.02883586287498474,1.5988858852942132,0.29714285714285715,0.993377003894336,0.9883371703002763,0.005039833594059684,0.04092145338654518,0.05825125053524971
2026,574,126,0.8441813704444141,0.8497342467308044,0.8437618315219879,full,mps,110,"['ambience', 'body', 'cross_modal', 'event', 'gps_radio', 'light', 'missingness', 'phone']",24,4.8984808921813965,0.06447900086641312,0.02867516130208969,3.144162343456827,0.3271428571428571,0.9971710184346074,0.994723964083022,0.0024470543515854315,0.05152696743607521,0.04942386597394943
2027,574,126,0.8539112820857908,0.8968437612056732,0.8516001403331757,full,mps,110,"['ambience', 'body', 'cross_modal', 'event', 'gps_radio', 'light', 'missingness', 'phone']",24,4.898742198944092,0.0515080988407135,0.015469971112906933,2.31882455512224,0.32857142857142857,0.9986919031626936,0.9965890178645866,0.0021028852981069823,0.04084291309118271,0.05407152324914932
2027,574,126,0.8415754846579522,0.8817019462585449,0.8581783771514893,event_cross_phone_missing,mps,47,"['cross_modal', 'event', 'missingness', 'phone']",24,4.898758888244629,0.051410168409347534,0.020615020766854286,2.085002013936307,0.2885714285714286,0.998180277451225,0.9967326499413753,0.0014476275098496139,0.026293711736798286,0.026512112468481064
2027,574,126,0.9909355762943574,0.9761764109134674,0.9761764109134674,only_cross_modal,mps,2,['cross_modal'],24,4.898859024047852,0.0978403314948082,0.02965567260980606,2.2441708894961065,0.21142857142857144,0.9936048774615578,0.988674831563148,0.0049300458984098405,0.03940330445766449,0.11161914467811584
2026,574,126,1.0011349216570837,0.9929160177707672,0.9929160177707672,only_cross_modal,mps,2,['cross_modal'],24,4.898625373840332,0.2567974627017975,0.07908457517623901,2.010811362135844,0.2042857142857143,0.9463520628818567,0.9163714344086854,0.02998062847317129,0.05373727157711983,0.11569520831108093
