source_spec,bundle_id,targets,q2_rescue_marginal,full_curv_marginal,h088_cos,bad_weighted_pos,weight
q2_conservation_balanced_b12_a032,r140_minimum_companions_1,"Q2,S3,S2",5.077170373564812e-05,-5.334001106933818e-05,0.2456054795707002,0.014832700759200073,2.980043125576001
q2_conservation_balanced_b12_a032,r140_q_stage_balanced_2,"Q2,Q3,S3,S2",4.9816692477928784e-05,-5.238499981161885e-05,0.24274143515977734,0.014659734285558959,2.943836310730089
q2_conservation_balanced_b12_a032,r129_minimum_companions_1,"Q2,S2,S1",4.8776122588119284e-05,-4.98854641422838e-05,0.24390765075484652,0.014730164827143821,2.882551523505707
q2_conservation_balanced_b12_a032,r129_top_companions_0,"Q2,S2,S1,S3",4.8349879987522786e-05,-4.94592215416873e-05,0.2436093879662097,0.014712152025885527,2.860368913295673
q2_conservation_balanced_b12_a032,r140_combo3_8,"Q2,S3,S2,S1",4.8322842412477614e-05,-5.089114974616768e-05,0.24019143476760324,0.014505733679305901,2.8872926872459552
q2_conservation_balanced_b12_a032,r140_top_companions_0,"Q2,S3,S2,Q3,S1",4.749648808474098e-05,-5.0064795418431045e-05,0.23779299573819984,0.014360886225273076,2.856425357533185
q2_conservation_balanced_b12_a032,r128_combo2_2,"Q2,S2,S1",3.5285459761812956e-05,-3.498211943196651e-05,0.17550003142363158,0.010598865521595965,2.3565923354374174
q2_conservation_balanced_b12_a032,r129_combo2_2,"Q2,S2,S3",3.4733273198077775e-05,-3.584261475224229e-05,0.16831341303450556,0.010164848494684376,2.352491103531079
q2_conservation_balanced_b12_a032,r138_combo2_3,"Q2,S3,S2",3.456162066731096e-05,-3.683882040946148e-05,0.17181483220080965,0.010376307550146393,2.3670827940139936
q2_conservation_balanced_b12_a032,r138_minimum_companions_1,"Q2,S3,S1",3.382764331809969e-05,-3.610484306025021e-05,0.16729576797316398,0.01010339048201975,2.3458300740906766
q2_conservation_strict_b8_a035,r138_minimum_companions_1,"Q2,S3,S1",3.38047901300442e-05,-3.6026941270370875e-05,0.16691941869586258,0.010080661851449657,2.3443276578968173
q2_conservation_antidote_b10_a030,r138_combo2_3,"Q2,S3,S1",3.370016619822641e-05,-3.601403663206588e-05,0.1669194186958465,0.010080661851448687,2.3415525449798866
q2_conservation_balanced_b12_a032,r138_combo3_8,"Q2,S3,S1,S2",3.369819300807456e-05,-3.597539275022508e-05,0.1672777680810611,0.010102303425600135,2.3346899828143717
