target,selected_feature_set,fold,selected_logloss,multi_target_logloss,delta_vs_multi_target,wins_multi_target
Q1,multi_target_predicted,0,0.725141552704237,0.725141552704237,0.0,False
Q1,multi_target_predicted,1,0.6941627865269333,0.6941627865269333,0.0,False
Q1,multi_target_predicted,2,0.6913018861183199,0.6913018861183199,0.0,False
Q1,multi_target_predicted,3,0.7069219247568512,0.7069219247568512,0.0,False
Q1,multi_target_predicted,4,0.6929777795816788,0.6929777795816788,0.0,False
Q2,sleep_pressure_route,0,0.6723475066775435,0.675099828066505,-0.0027523213889615317,True
Q2,sleep_pressure_route,1,0.6647820331257912,0.6677694795938588,-0.0029874464680675894,True
Q2,sleep_pressure_route,2,0.6914384568065858,0.6924390954552948,-0.001000638648709029,True
Q2,sleep_pressure_route,3,0.7444243984995048,0.7427039542077744,0.0017204442917304608,False
Q2,sleep_pressure_route,4,0.6794904623402956,0.6843197733532775,-0.004829311012981896,True
Q3,sleep_cohort_pair,0,0.6381631450907839,0.6370548509788443,0.0011082941119395784,False
Q3,sleep_cohort_pair,1,0.7067052571955135,0.7095872646153205,-0.0028820074198070422,True
Q3,sleep_cohort_pair,2,0.6954686057266438,0.6970352656484102,-0.0015666599217664112,True
Q3,sleep_cohort_pair,3,0.6744815095302602,0.6750891922946355,-0.0006076827643752836,True
Q3,sleep_cohort_pair,4,0.6747477197662023,0.6761272531866991,-0.0013795334204967924,True
S1,sleep_pressure_route,0,0.5632552019031863,0.5646449329030513,-0.0013897309998649465,True
S1,sleep_pressure_route,1,0.8615805092800828,0.8636469450804803,-0.002066435800397559,True
S1,sleep_pressure_route,2,0.5953476177563634,0.5982242486670746,-0.00287663091071122,True
S1,sleep_pressure_route,3,0.5986349962952776,0.6035366811979315,-0.004901684902653858,True
S1,sleep_pressure_route,4,0.5916481596032095,0.5922638452200727,-0.0006156856168632041,True
S2,routine_cohort_pair,0,0.6588057797751805,0.6619824890832123,-0.003176709308031822,True
S2,routine_cohort_pair,1,0.7480501924843463,0.7523039576487252,-0.004253765164378809,True
S2,routine_cohort_pair,2,0.6393928851514985,0.6426547208148145,-0.0032618356633159484,True
S2,routine_cohort_pair,3,0.6833938567011961,0.6837206475946384,-0.00032679089344223033,True
S2,routine_cohort_pair,4,0.5689498407589847,0.5708559155093299,-0.0019060747503452102,True
S3,cohort_relative_route,0,0.7453116800484691,0.7496619181397921,-0.0043502380913229555,True
S3,cohort_relative_route,1,0.6850987780540653,0.6849807375706763,0.00011804048338892592,False
S3,cohort_relative_route,2,0.5528188615684319,0.5599923020356132,-0.00717344046718138,True
S3,cohort_relative_route,3,0.7046471257217519,0.7069488150833027,-0.0023016893615507295,True
S3,cohort_relative_route,4,0.5603221628986376,0.563358248139477,-0.0030360852408394257,True
S4,routine_break_route,0,0.7666617436746886,0.7649445219382557,0.0017172217364329612,False
S4,routine_break_route,1,0.674509257684144,0.6764913023243329,-0.001982044640188807,True
S4,routine_break_route,2,0.7133147377465389,0.7162513097055465,-0.00293657195900765,True
S4,routine_break_route,3,0.6774485943913503,0.6763962794290181,0.001052314962332157,False
S4,routine_break_route,4,0.6684453128727558,0.6709462498690455,-0.0025009369962897265,True
