feature_set,k_basis,alpha,n_x_features,loo_mae,loo_rmse,weighted_loo_mae,weighted_loo_rmse,loo_spearman,loo_pair_acc,h088_loo_pred,h088_loo_error,h088_loo_abs_error,h088_sign_ok,base_loo_abs_error,full_fit_weighted_mae,route_basis_rank_score
signed_meta,40,0.1,45,0.0004773202472775891,0.0007288846230528228,0.00021650893124031332,0.0002932850021972715,0.8971515758942554,0.8763636363636363,0.0008528716074458096,0.00010626360744577217,0.00010626360744577217,1.0,0.000148814415384847,4.025219920324909e-05,4.8992935458841826e-05
signed_meta,70,0.01,75,0.000779029359533719,0.0015572229588779868,0.00023243864888660258,0.0005142365239433617,0.6392694215048741,0.7418181818181818,0.0007436531511149836,-2.954848885053829e-06,2.954848885053829e-06,1.0,0.00021809222445611713,9.35512383914479e-06,6.898658840527231e-05
signed_meta,70,0.03,75,0.0006633889620983781,0.001237175825254726,0.00021414611576371482,0.00040034259507563567,0.6862361545133955,0.7672727272727272,0.0004624050121259402,-0.00028420298787409725,0.00028420298787409725,1.0,0.00016835906955170595,1.2167315187350197e-05,0.0004423803224624465
signed_abs,140,30.0,220,0.0004244199708280101,0.0005982463930460846,0.000249465664766893,0.00037592865539040957,0.9162861708236529,0.8945454545454545,1.6823839741975186e-06,-0.0007449256160258399,0.0007449256160258399,1.0,0.00018151291169517573,5.5113610337552686e-05,0.0012184090419756868
signed_meta,100,0.01,105,0.0008865499881829074,0.00158259199906467,0.0004815382570241903,0.000706683857637824,0.5927375656538392,0.7163636363636363,0.0003878688729187916,-0.00035873912708124587,0.00035873912708124587,1.0,0.0006687626686246722,7.661419891613666e-06,0.0012651847896724096
signed_abs,180,30.0,220,0.000480098591261968,0.000660612593772742,0.00039960556191525004,0.0004952804236595942,0.9088932591463856,0.8763636363636363,0.00019415621957582672,-0.0005524517804242107,0.0005524517804242107,1.0,0.0007530860149266225,6.389498278097762e-05,0.0014129174449429756
signed_meta,40,0.3,45,0.0004989620642644132,0.0006752151217614134,0.00042067591388989266,0.0005087324366637977,0.9110676449338172,0.8763636363636363,0.0002191661527435057,-0.0005274418472565318,0.0005274418472565318,1.0,0.000822143526203971,4.5500573276925274e-05,0.0014353319967240026
signed_abs,180,10.0,220,0.0004267083786525364,0.0005748500382675417,0.0004057412281191436,0.0005149213642382539,0.9062839962014677,0.8727272727272727,0.00015046543613035776,-0.0005961425638696797,0.0005961425638696797,1.0,0.0008185330624749757,3.616123615234366e-05,0.0015389523016335687
signed_meta,100,0.03,105,0.0007671723450794736,0.001291217686918139,0.00046941283581428383,0.000631307925831925,0.6723200854738336,0.7527272727272727,0.00018366585042304065,-0.0005629421495769968,0.0005629421495769968,1.0,0.0007238276172205267,1.0231695786576374e-05,0.001584386275716564
signed_abs,180,0.1,220,0.0005824423731545418,0.0009088010676043723,0.0005762386276923719,0.0008337400657580954,0.7910415494675959,0.8072727272727273,0.0004870645424472041,-0.00025954345755283334,0.00025954345755283334,1.0,0.0015196246331106197,4.648291459803277e-06,0.0016859921230131282
