row,driver_target,bridge_target,candidate_count_for_driver,route_energy_delta,energy_rank_ascending,energy_rank_pct,solver_score,solver_rank_descending,solver_rank_pct,s2hub_rank_pct
182,S3,S2,2,-0.0119758269302195,1.0,0.5,0.0077822876138633,1.0,0.5,0.5
234,S4,S2,25,-0.0398896539909088,1.0,0.04,0.003873938366154,1.0,0.04,0.04
184,S2,S1,25,-0.039157672376621,5.0,0.2,0.0039726275954962,1.0,0.04,0.04
5,S2,S4,24,-0.0369850610939005,1.0,0.041666666666666664,0.0033153422931835,1.0,0.041666666666666664,0.041666666666666664
218,S2,S1,2,-0.0168705150252431,1.0,0.5,0.0030270550242966,1.0,0.5,0.5
25,S4,S2,3,-0.0246425704216506,1.0,0.3333333333333333,0.0026538883935871,1.0,0.3333333333333333,0.3333333333333333
193,S2,S1,16,-0.0270644484900914,1.0,0.0625,0.0026922050599861,1.0,0.0625,0.0625
130,S4,S2,24,-0.0559666712893509,1.0,0.041666666666666664,0.0025051880773911,1.0,0.041666666666666664,0.041666666666666664
8,S2,S4,25,-0.0611902881633744,1.0,0.04,0.0025521814889298,1.0,0.04,0.04
237,S4,S2,16,-0.059810333618064,1.0,0.0625,0.0022945635852611,1.0,0.0625,0.0625
23,S4,S2,4,-0.0260121535051127,1.0,0.25,0.0022356328210072,1.0,0.25,0.25
17,S1,S2,14,-0.0373151555920545,1.0,0.07142857142857142,0.0022001951946957,1.0,0.07142857142857142,0.07142857142857142
109,S2,S4,25,-0.0260145469965553,9.0,0.36,0.0023179366081776,1.0,0.04,0.04
19,S4,S2,4,-0.0325012007086422,1.0,0.25,0.0020346610023341,1.0,0.25,0.25
200,S1,S2,21,-0.0355118533672844,1.0,0.047619047619047616,0.001952846279698,1.0,0.047619047619047616,0.047619047619047616
137,S4,S2,16,-0.0485679411521678,1.0,0.0625,0.0018497284595564,1.0,0.0625,0.0625
112,S1,S2,24,-0.0136243346088829,14.0,0.5833333333333334,0.0018529929559732,5.0,0.20833333333333334,0.16666666666666666
229,S2,S1,23,-0.0386078126674647,2.0,0.08695652173913043,0.0019265219030863,1.0,0.043478260869565216,0.043478260869565216
95,S3,S2,22,-0.0264790161446779,1.0,0.045454545454545456,0.001653902904278,1.0,0.045454545454545456,0.045454545454545456
93,S1,S2,4,-0.0381271402324953,1.0,0.25,0.0016212776294163,1.0,0.25,0.25
212,S2,S1,13,-0.0246091729814659,1.0,0.07692307692307693,0.0014222048990704,1.0,0.07692307692307693,0.07692307692307693
159,S1,S2,8,-0.0217200511983699,1.0,0.125,0.0013072194337092,1.0,0.125,0.125
56,S3,S2,3,-0.0015209860052134,1.0,0.3333333333333333,0.0012640827108297,1.0,0.3333333333333333,0.3333333333333333
94,S4,S2,15,-0.0199978013461721,1.0,0.06666666666666667,0.0011885694632208,1.0,0.06666666666666667,0.06666666666666667
138,S2,S4,20,-0.0266737112233261,1.0,0.05,0.0012027121769953,1.0,0.05,0.05
75,S2,S4,13,-0.0213922374268421,1.0,0.07692307692307693,0.0010745522064396,1.0,0.07692307692307693,0.07692307692307693
185,S4,S2,4,-0.0149122347100772,1.0,0.25,0.0009861702053717,1.0,0.25,0.25
191,S3,S2,20,-0.0127014816578578,3.0,0.15,0.0009700756835449,3.0,0.15,0.05
161,S1,S2,10,-0.0178865127740629,1.0,0.1,0.0009209516820926,1.0,0.1,0.1
150,S2,S4,12,-0.0237978473882437,1.0,0.08333333333333333,0.0009075529595014,1.0,0.08333333333333333,0.08333333333333333
129,S3,S2,22,-0.0065011425358346,11.0,0.5,0.0008453033760289,9.0,0.4090909090909091,0.4090909090909091
189,S3,S2,22,-0.0042546927165592,7.0,0.3181818181818182,0.0007869735939195,5.0,0.22727272727272727,0.18181818181818182
100,S2,S3,14,-0.0140131767519414,1.0,0.07142857142857142,0.0006729070290592,1.0,0.07142857142857142,0.07142857142857142
164,S1,S2,8,-0.0104704431677765,1.0,0.125,0.0005316508673659,1.0,0.125,0.125
